Date,Target,S&P500,Nikkei225,TaiwanWeighted,USD_KRW,Dollar_Index,VIX
2021-05-17,0,4163.290039,27824.83008,15353.88965,1125.530029,90.22000122,19.71999931
2021-05-18,1,4127.830078,28406.83984,16145.98047,1135.51001,89.75,21.34000015
2021-05-20,0,4159.120117,28098.25,16042.36035,1130.369995,89.80999756,20.67000008
2021-05-21,0,4155.859863,28317.83008,16302.05957,1127.050049,90.01999664,20.14999962
2021-05-24,0,4197.049805,28364.60938,16338.29004,1126.790039,89.83000183,18.39999962
2021-05-25,1,4188.129883,28553.98047,16595.66992,1122.189941,89.63999939,18.84000015
2021-05-26,0,4195.990234,28642.18945,16643.68945,1121.380005,90.04000092,17.36000061
2021-05-27,0,4200.879883,28549.00977,16601.60938,1115.52002,89.97000122,16.73999977
2021-05-28,1,4204.109863,29149.41016,16870.85938,1117.300049,90.02999878,16.76000023
2021-05-31,1,4204.109863,28860.08008,17068.42969,1112.849976,90.02999878,16.76000023
2021-06-01,1,4202.040039,28814.33984,17162.38086,1106.97998,89.83000183,17.89999962
2021-06-02,1,4208.120117,28946.14063,17165.03906,1107.209961,89.90000153,17.47999954
2021-06-03,1,4192.850098,29058.10938,17246.16016,1109.880005,90.5,18.04000092
2021-06-04,0,4229.890137,28941.51953,17147.41016,1115.439941,90.13999939,16.42000008
2021-06-07,1,4226.52002,29019.24023,17083.91016,1109.680054,89.94999695,16.42000008
2021-06-08,0,4227.259766,28963.56055,17076.21094,1109.319946,90.08000183,17.06999969
2021-06-09,0,4219.549805,28860.80078,16966.2207,1116.890015,90.12000275,17.88999939
2021-06-10,1,4239.180176,28958.56055,17159.2207,1116.410034,90.08000183,16.10000038
2021-06-11,1,4247.439941,28948.73047,17213.51953,1111.26001,90.55999756,15.64999962
2021-06-14,1,4255.149902,29161.80078,17213.51953,1115.550049,90.51999664,16.38999939
2021-06-15,1,4246.589844,29441.30078,17371.28906,1116.319946,90.54000092,17.02000046
2021-06-16,1,4223.700195,29291.00977,17307.85938,1116.030029,91.12999725,18.14999962
2021-06-17,0,4221.859863,29018.33008,17390.60938,1131.949951,91.88999939,17.75
2021-06-18,1,4166.450195,28964.08008,17318.53906,1133.540039,92.23000336,20.70000076
2021-06-21,0,4224.790039,28010.92969,17062.98047,1134.25,91.86000061,17.88999939
2021-06-22,1,4246.439941,28884.13086,17075.55078,1130.339966,91.73000336,16.65999985
2021-06-23,1,4241.839844,28874.89063,17336.71094,1132.51001,91.80000305,16.31999969
2021-06-24,1,4266.490234,28875.23047,17407.96094,1132.609985,91.81999969,15.97000027
2021-06-25,1,4280.700195,29066.17969,17502.99023,1130.800049,91.80999756,15.61999989
2021-06-28,0,4290.609863,29048.01953,17590.9707,1125.339966,91.87999725,15.76000023
2021-06-29,0,4291.799805,28812.60938,17598.18945,1129.040039,92.05000305,16.02000046
2021-06-30,1,4297.5,28791.5293,17755.46094,1130.51001,92.44000244,15.82999992
2021-07-01,0,4319.939941,28707.03906,17713.93945,1129.599976,92.59999847,15.47999954
2021-07-02,0,4352.339844,28783.2793,17710.15039,1132.410034,92.23000336,15.06999969
2021-07-05,1,4352.339844,28598.18945,17919.33008,1129.77002,92.23000336,15.06999969
2021-07-06,1,4343.540039,28643.21094,17913.07031,1129.439941,92.55000305,16.44000053
2021-07-07,0,4358.129883,28366.94922,17850.68945,1135.47998,92.63999939,16.20000076
2021-07-08,0,4320.819824,28118.0293,17866.08984,1140.52002,92.36000061,19
2021-07-09,0,4369.549805,27940.41992,17661.48047,1146.280029,92.12999725,16.18000031
2021-07-12,1,4384.629883,28569.01953,17814.33008,1144.310059,92.23000336,16.17000008
2021-07-13,1,4369.209961,28718.24023,17847.51953,1141.099976,92.75,17.12000084
2021-07-14,0,4374.299805,28608.49023,17845.75,1148.699951,92.41000366,16.32999992
2021-07-15,1,4360.029785,28279.08984,18034.18945,1143.410034,92.62000275,17.01000023
2021-07-16,0,4327.160156,28003.08008,17895.25,1140.119995,92.69000244,18.45000076
2021-07-19,0,4258.490234,27652.74023,17789.25,1141.5,92.88999939,22.5
2021-07-20,0,4323.060059,27388.16016,17528.74023,1150.069946,92.97000122,19.72999954
2021-07-21,0,4358.689941,27548,17458.78906,1147.47998,92.75,17.90999985
2021-07-22,1,4367.47998,27548,17572.33008,1148.689941,92.81999969,17.69000053
2021-07-23,1,4411.790039,27548,17572.91992,1149.910034,92.91000366,17.20000076
2021-07-26,0,4422.299805,27833.28906,17403.56055,1151.119995,92.65000153,17.57999992
2021-07-27,1,4401.459961,27970.2207,17269.86914,1151.76001,92.43000031,19.36000061
2021-07-28,1,4400.640137,27581.66016,17135.2207,1153.560059,92.31999969,18.30999947
2021-07-29,1,4419.149902,27782.41992,17402.81055,1149.410034,91.86000061,17.70000076
2021-07-30,0,4395.259766,27283.58984,17247.41016,1142.119995,92.16999817,18.23999977
2021-08-02,1,4387.160156,27781.01953,17503.2793,1150.930054,92.05000305,19.45999908
2021-08-03,1,4423.149902,27641.83008,17553.75977,1149.560059,92.08000183,18.04000092
2021-08-04,1,4402.660156,27584.08008,17623.89063,1148.579956,92.26999664,17.96999931
2021-08-05,0,4429.100098,27728.11914,17603.11914,1144.060059,92.23999786,17.28000069
2021-08-06,0,4436.52002,27820.03906,17526.2793,1143.119995,92.80000305,16.14999962
2021-08-09,0,4432.350098,27820.03906,17485.15039,1144.920044,92.94999695,16.71999931
2021-08-10,0,4436.75,27888.15039,17323.64063,1145.890015,93.05999756,16.79000092
2021-08-11,0,4442.410156,28070.50977,17227.17969,1152.47998,92.91000366,16.17000008
2021-08-12,0,4460.830078,28015.01953,17219.93945,1152.849976,93.04000092,15.59000015
2021-08-13,0,4468,27977.15039,16982.10938,1162.060059,92.51999664,15.44999981
2021-08-17,0,4448.080078,27424.4707,16661.35938,1164.5,93.12999725,17.90999985
2021-08-18,1,4400.27002,27585.91016,16826.26953,1176.449951,93.13999939,21.56999969
2021-08-19,0,4405.799805,27281.16992,16375.40039,1169.680054,93.56999969,21.67000008
2021-08-20,0,4441.669922,27013.25,16341.94043,1175.390015,93.5,18.55999947
2021-08-23,1,4479.529785,27494.24023,16741.83984,1174.23999,92.95999908,17.14999962
2021-08-24,1,4486.22998,27732.09961,16818.73047,1167.609985,92.88999939,17.21999931
2021-08-25,1,4496.189941,27724.80078,17045.85938,1163.469971,92.83000183,16.79000092
2021-08-26,0,4470,27742.28906,17066.96094,1163.329956,93.05999756,18.84000015
2021-08-27,1,4509.370117,27641.14063,17209.92969,1170,92.69000244,16.38999939
2021-08-30,1,4528.790039,27789.28906,17396.51953,1161.329956,92.65000153,16.19000053
2021-08-31,1,4522.680176,28089.53906,17490.28906,1165.51001,92.62999725,16.47999954
2021-09-01,1,4524.089844,28451.01953,17473.99023,1158.410034,92.44999695,16.11000061
2021-09-02,0,4536.950195,28543.50977,17319.75977,1155.280029,92.23000336,16.40999985
2021-09-03,1,4535.430176,29128.10938,17516.91992,1157.130005,92.04000092,16.40999985
2021-09-06,1,4535.430176,29659.89063,17495.30078,1154.75,92.04000092,16.40999985
2021-09-07,0,4520.029785,29916.14063,17428.86914,1155.540039,92.51999664,18.13999939
2021-09-08,0,4514.069824,30181.21094,17270.49023,1161,92.65000153,17.95999908
2021-09-09,0,4493.279785,30008.18945,17304.33008,1166.48999,92.48000336,18.79999924
2021-09-10,1,4458.580078,30381.83984,17474.57031,1169.130005,92.58000183,20.95000076
2021-09-13,1,4468.72998,30447.36914,17446.31055,1169.380005,92.62000275,19.37000084
2021-09-14,1,4443.049805,30670.09961,17434.90039,1171.109985,92.65000153,19.45999908
2021-09-15,1,4480.700195,30511.71094,17354,1170.800049,92.48999786,18.18000031
2021-09-16,0,4473.75,30323.33984,17278.69922,1165.219971,92.86000061,18.69000053
2021-09-17,1,4432.990234,30500.05078,17276.78906,1174.420044,93.19999695,20.80999947
2021-09-23,0,4448.97998,29639.40039,17078.2207,1181.030029,93.09999847,18.62999916
2021-09-24,0,4455.47998,30248.81055,17260.18945,1174.699951,93.33000183,17.75
2021-09-27,1,4443.109863,30240.06055,17313.76953,1179.199951,93.37999725,18.76000023
2021-09-28,0,4352.629883,30183.96094,17181.43945,1176.959961,93.76999664,23.25
2021-09-29,0,4359.459961,29544.28906,16855.46094,1186.890015,94.33999634,22.55999947
2021-09-30,1,4307.540039,29452.66016,16934.76953,1187.430054,94.25,23.13999939
2021-10-01,0,4357.040039,28771.07031,16570.89063,1183.719971,94.04000092,21.10000038
2021-10-05,0,4345.720215,27822.11914,16460.75,1183.780029,93.98000336,21.29999924
2021-10-06,0,4363.549805,27528.86914,16393.16016,1187.170044,94.26999664,21
2021-10-07,1,4399.759766,27678.21094,16713.85938,1191.380005,94.22000122,19.54000092
2021-10-08,0,4391.339844,28048.93945,16640.42969,1191.150024,94.06999969,18.77000046
2021-10-12,0,4350.649902,28230.60938,16462.83984,1195.800049,94.51999664,19.85000038
2021-10-13,1,4363.799805,28140.2793,16347.99023,1196.890015,94.08000183,18.63999939
2021-10-14,1,4438.259766,28550.92969,16387.2793,1186.709961,93.95999908,16.86000061
2021-10-15,1,4471.370117,29068.63086,16781.18945,1182.130005,93.94000244,16.29999924
2021-10-18,0,4486.459961,29025.46094,16705.46094,1181.790039,93.94999695,16.30999947
2021-10-19,1,4519.629883,29215.51953,16900.66992,1185.680054,93.79000092,15.69999981
2021-10-20,0,4536.189941,29255.55078,16887.82031,1175.650024,93.55999756,15.48999977
2021-10-21,0,4549.779785,28708.58008,16889.50977,1174.589966,93.76999664,15.01000023
2021-10-22,0,4544.899902,28804.84961,16888.74023,1176.550049,93.61000061,15.43000031
2021-10-25,1,4566.47998,28600.41016,16894.24023,1176.540039,93.80999756,15.23999977
2021-10-26,1,4574.790039,29106.00977,17034.33984,1167.060059,93.94999695,15.97999954
2021-10-27,0,4551.680176,29098.24023,17074.55078,1167.329956,93.86000061,16.97999954
2021-10-28,0,4596.419922,28820.08984,17041.63086,1172.170044,93.34999847,16.53000069
2021-10-29,0,4605.379883,28892.68945,16987.41016,1167.369995,94.12000275,16.26000023
2021-11-01,1,4613.669922,29647.08008,17068.24023,1174.380005,93.87999725,16.40999985
2021-11-02,1,4630.649902,29520.90039,17065.9707,1176.569946,94.08999634,16.03000069
2021-11-03,0,4660.569824,29520.90039,17122.16016,1178.040039,93.86000061,15.10000038
2021-11-04,1,4680.060059,29794.36914,17078.85938,1179.339966,94.34999847,15.43999958
2021-11-05,0,4697.529785,29611.57031,17296.90039,1185.829956,94.31999969,16.47999954
2021-11-08,0,4701.700195,29507.05078,17415.30078,1180.5,94.05000305,17.21999931
2021-11-09,1,4685.25,29285.46094,17541.35938,1199.859985,93.95999908,17.78000069
2021-11-10,0,4646.709961,29106.7793,17559.65039,1177.5,94.84999847,18.72999954
2021-11-11,0,4649.27002,29277.85938,17452.51953,1184.140015,95.18000031,17.65999985
2021-11-12,1,4682.850098,29609.9707,17518.13086,1183.109985,95.12999725,16.29000092
2021-11-15,1,4682.799805,29776.80078,17634.4707,1179.109985,95.41000366,16.48999977
2021-11-16,0,4700.899902,29808.11914,17693.13086,1183.51001,95.91999817,16.37000084
2021-11-17,0,4688.669922,29688.33008,17764.03906,1184.050049,95.83000183,17.11000061
2021-11-18,0,4704.540039,29598.66016,17841.36914,1181.22998,95.54000092,17.59000015
2021-11-19,1,4697.959961,29745.86914,17818.31055,1182.900024,96.06999969,17.90999985
2021-11-22,1,4682.939941,29774.10938,17803.53906,1191.630005,96.5,19.17000008
2021-11-23,0,4690.700195,29774.10938,17666.11914,1189.5,96.48999786,19.37999916
2021-11-24,0,4701.459961,29302.66016,17642.51953,1189.949951,96.83999634,18.57999992
2021-11-25,0,4701.459961,29499.2793,17654.18945,1187.880005,96.83999634,18.57999992
2021-11-26,0,4594.620117,28751.61914,17369.39063,1190.219971,96.08999634,28.62000084
2021-11-29,0,4655.27002,28283.91992,17328.08984,1194.609985,96.33999634,22.95999908
2021-11-30,0,4567,27821.75977,17427.75977,1190.73999,95.98999786,27.19000053
2021-12-01,1,4513.040039,27935.61914,17585.99023,1182.859985,96.05000305,31.12000084
2021-12-02,1,4577.100098,27753.36914,17724.88086,1177.109985,96.12999725,27.95000076
2021-12-03,1,4538.430176,28029.57031,17697.14063,1176.77002,96.12000275,30.67000008
2021-12-06,1,4591.669922,27927.36914,17688.21094,1183.140015,96.29000092,27.18000031
2021-12-07,1,4686.75,28455.59961,17796.91992,1180.560059,96.37000275,21.88999939
2021-12-08,1,4701.209961,28860.61914,17832.41992,1176.839966,95.88999939,19.89999962
2021-12-09,1,4667.450195,28725.4707,17914.11914,1172.560059,96.26999664,21.57999992
2021-12-10,0,4712.02002,28437.76953,17826.25977,1177.329956,96.05000305,18.69000053
2021-12-13,0,4668.970215,28640.49023,17767.59961,1178.969971,96.31999969,20.30999947
2021-12-14,0,4634.089844,28432.64063,17599.36914,1185.099976,96.56999969,21.88999939
2021-12-15,1,4709.850098,28459.7207,17660.09961,1184.22998,96.51000214,19.29000092
2021-12-16,1,4668.669922,29066.32031,17785.74023,1184.400024,96.04000092,20.56999969
2021-12-17,1,4620.640137,28545.67969,17812.58984,1186.150024,96.56999969,21.56999969
2021-12-20,0,4568.02002,27937.81055,17669.10938,1186.390015,96.55000305,22.87000084
2021-12-21,1,4649.22998,28517.58984,17789.26953,1190.119995,96.48999786,21.01000023
2021-12-22,1,4696.560059,28562.21094,17826.83008,1191.27002,96.08000183,18.62999916
2021-12-23,1,4725.790039,28798.36914,17946.66016,1187.77002,96.01999664,17.95999908
2021-12-24,1,4725.790039,28782.58984,17961.64063,1185.5,96.01999664,17.95999908
2021-12-27,0,4791.189941,28676.46094,18048.93945,1185.920044,96.08999634,17.68000031
2021-12-28,1,4786.350098,29069.16016,18196.81055,1185.650024,96.19999695,17.54000092
2021-12-29,0,4793.060059,28906.88086,18248.2793,1187.849976,95.93000031,16.95000076
2021-12-30,0,4778.72998,28791.71094,18218.83984,1183.670044,95.97000122,17.32999992
2022-01-04,1,4793.540039,29301.78906,18526.34961,1194.680054,96.29000092,16.90999985
2022-01-05,0,4700.580078,29332.16016,18499.96094,1196.5,96.19000244,19.72999954
2022-01-06,0,4696.049805,28487.86914,18367.91992,1199.25,96.25,19.61000061
2022-01-07,1,4677.029785,28478.56055,18169.75977,1205.780029,95.73999786,18.76000023
2022-01-10,0,4670.290039,28478.56055,18239.38086,1196.880005,95.98999786,19.39999962
2022-01-11,1,4713.069824,28222.48047,18288.21094,1198.089966,95.62000275,18.40999985
2022-01-12,1,4726.350098,28765.66016,18375.40039,1189.430054,95,17.62000084
2022-01-13,0,4659.029785,28489.13086,18436.92969,1185.880005,94.79000092,20.30999947
2022-01-14,0,4662.850098,28124.2793,18403.33008,1186.609985,95.16999817,19.19000053
2022-01-17,0,4662.850098,28333.51953,18525.43945,1188.959961,95.16999817,19.19000053
2022-01-18,0,4577.109863,28257.25,18378.64063,1190.060059,95.73000336,22.79000092
2022-01-19,0,4532.759766,27467.23047,18227.46094,1192.97998,95.51000214,23.85000038
2022-01-20,1,4482.72998,27772.92969,18218.2793,1188.160034,95.73999786,25.59000015
2022-01-21,0,4397.939941,27522.25977,17899.30078,1192.430054,95.63999939,28.85000038
2022-01-24,0,4410.129883,27588.36914,17989.03906,1191.5,95.91999817,29.89999962
2022-01-25,0,4356.450195,27131.33984,17701.11914,1195.660034,95.94999695,31.15999985
2022-01-26,0,4349.930176,27011.33008,17674.40039,1196.099976,96.48999786,31.95999908
2022-01-27,0,4326.509766,26170.30078,17674.40039,1200.630005,97.26000214,30.48999977
2022-01-28,1,4431.850098,26717.33984,17674.40039,1203.459961,97.26999664,27.65999985
2022-02-03,1,4477.439941,27241.31055,17674.40039,1199.959961,95.37999725,24.35000038
2022-02-04,1,4500.529785,27439.99023,17674.40039,1200.329956,95.48000336,23.21999931
2022-02-07,0,4483.870117,27248.86914,17900.30078,1197.089966,95.40000153,22.86000061
2022-02-08,1,4521.540039,27284.51953,17966.56055,1196.849976,95.63999939,21.44000053
2022-02-09,1,4587.180176,27579.86914,18151.75977,1196.359985,95.48999786,19.95999908
2022-02-10,1,4504.080078,27696.08008,18338.05078,1194.030029,95.55000305,23.90999985
2022-02-11,0,4418.640137,27696.08008,18310.93945,1199.349976,96.08000183,27.36000061
2022-02-14,0,4401.669922,27079.58984,17997.66992,1199.23999,96.37000275,28.32999992
2022-02-15,0,4471.069824,26865.18945,17951.81055,1197.359985,95.98999786,25.70000076
2022-02-16,1,4475.009766,27460.40039,18231.4707,1196.829956,95.69999695,24.29000092
2022-02-17,1,4380.259766,27232.86914,18268.57031,1196.75,95.80000305,28.11000061
2022-02-18,1,4348.870117,27122.07031,18232.34961,1198.660034,96.04000092,27.75
2022-02-21,0,4348.870117,26910.86914,18221.49023,1195.069946,96.04000092,27.75
2022-02-22,0,4304.759766,26449.60938,17969.28906,1194.680054,96.02999878,28.80999947
2022-02-23,1,4225.5,26449.60938,18055.73047,1192.680054,96.19000244,31.02000046
2022-02-24,0,4288.700195,25970.82031,17594.55078,1192.400024,97.13999939,30.31999969
2022-02-25,1,4384.649902,26476.5,17652.17969,1206,96.62000275,27.59000015
2022-02-28,1,4373.939941,26526.82031,17652.17969,1197.589966,96.70999908,30.14999962
2022-03-02,1,4386.540039,26393.0293,17867.59961,1205.369995,97.38999939,30.73999977
2022-03-03,1,4363.490234,26577.26953,17934.40039,1203.150024,97.79000092,30.47999954
2022-03-04,0,4328.870117,25985.4707,17736.51953,1205.98999,98.65000153,31.97999954
2022-03-07,0,4201.089844,25221.41016,17178.68945,1216.709961,99.29000092,36.45000076
2022-03-08,0,4170.700195,24790.94922,16825.25,1232.300049,99.05999756,35.13000107
2022-03-10,1,4259.52002,25690.40039,17433.19922,1223.22998,98.51000214,30.22999954
2022-03-11,0,4204.310059,25162.7793,17264.74023,1228.599976,99.12000275,30.75
2022-03-14,0,4173.109863,25307.84961,17263.03906,1236.890015,99.05999756,31.77000046
2022-03-15,0,4262.450195,25346.48047,16926.06055,1242.050049,99.06999969,29.82999992
2022-03-16,1,4357.859863,25762.00977,16940.83008,1241.680054,98.37999725,26.67000008
2022-03-17,1,4411.669922,26652.89063,17448.2207,1223,98.01000214,25.67000008
2022-03-18,1,4463.120117,26827.42969,17456.51953,1210.329956,98.23000336,23.87000084
2022-03-21,0,4461.180176,26827.42969,17560.35938,1210.369995,98.5,23.53000069
2022-03-22,1,4511.609863,27224.10938,17559.71094,1219.780029,98.48999786,22.94000053
2022-03-23,1,4456.240234,28040.16016,17731.36914,1214.949951,98.62000275,23.56999969
2022-03-24,0,4520.160156,28110.39063,17699.06055,1218.01001,98.79000092,21.67000008
2022-03-25,1,4543.060059,28149.83984,17676.94922,1217.550049,98.80999756,20.80999947
2022-03-28,0,4575.52002,27943.89063,17520.00977,1224.380005,99.08999634,19.62999916
2022-03-29,1,4631.600098,28252.41992,17548.66016,1223.660034,98.40000153,18.89999962
2022-03-30,1,4602.450195,28027.25,17740.56055,1209.130005,97.79000092,19.32999992
2022-03-31,1,4530.410156,27821.42969,17693.4707,1210.439941,98.30999756,20.55999947
2022-04-01,0,4545.859863,27665.98047,17625.58984,1214.5,98.62999725,19.62999916
2022-04-04,1,4582.640137,27736.4707,17625.58984,1218.780029,98.98999786,18.56999969
2022-04-05,1,4525.120117,27787.98047,17625.58984,1213.900024,99.47000122,21.03000069
2022-04-06,0,4481.149902,27350.30078,17522.5,1218.75,99.59999847,22.10000038
