Date,Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2021-05-17,0,771305645,1.45525E+13,0.019237212,-6.02211E+11,-89333134255,-11110077289,6377605324
2021-05-18,1,786143415,1.38986E+13,0.019237212,-3.50012E+11,9.63421E+11,20903911949,21982306938
2021-05-20,0,774252245,1.37197E+13,-0.015125955,-5.15825E+11,-89663104703,-13354130145,-37324887396
2021-05-21,0,797262205,1.47895E+13,0.029718945,-1.30376E+11,1.11994E+11,-1411358719,-24386777205
2021-05-24,0,587968268,1.1604E+13,-0.262515814,-2.20748E+11,68222464174,14328516188,27536500405
2021-05-25,1,612976970,1.1728E+13,0.042534102,71409301708,7.95297E+11,8887584790,24219020276
2021-05-26,0,1269999045,1.3173E+13,1.071854421,-17487854129,2.62614E+11,31359371001,-21283929175
2021-05-27,0,1082006090,2.06823E+13,-0.14802606,-2.42881E+11,2.73517E+11,46442014655,19782821274
2021-05-28,1,966367978,1.35333E+13,-0.106873809,1.42857E+11,5.77877E+11,44203028082,48899316583
2021-05-31,1,1123524809,1.40174E+13,0.162626282,5.20446E+11,-6.69312E+11,17632478084,-98412986613
2021-06-01,1,1472570767,1.52708E+13,0.31067045,-53072513283,6.16183E+11,-15671866078,53577534239
2021-06-02,1,1495671343,1.77408E+13,0.015687243,33590106865,-2.2793E+11,19211081478,-20944470431
2021-06-03,1,1584799068,1.68905E+13,0.059590448,2.42042E+11,3.49888E+11,-8191099696,1.08431E+11
2021-06-04,0,1392319539,1.6051E+13,-0.121453585,1.75444E+11,-6.1305E+11,-57279397704,17727143617
2021-06-07,1,1733348139,1.90232E+13,0.244935584,-1.87347E+11,1.3145E+11,-26847715030,26215014056
2021-06-08,0,1951319356,1.93522E+13,0.125751551,-2.03701E+11,3.73506E+11,7059807953,-89992888228
2021-06-09,0,1964923269,1.71647E+13,0.006971649,-3.24763E+11,-2.60529E+11,-58266548343,-48159158792
2021-06-10,1,1896766322,1.91705E+13,-0.034686824,7.1721E+11,-8.48516E+11,306780245,-3.25183E+11
2021-06-11,1,1645508762,1.79563E+13,-0.13246627,1.76537E+11,-31327611036,1.04072E+11,1.71995E+11
2021-06-14,1,1664527170,1.52625E+13,0.011557768,-10128752286,-2.6252E+11,-11314789723,-17287362717
2021-06-15,1,1734497293,1.48383E+13,0.042036035,-1.2105E+11,-45326434042,15394900708,82451170055
2021-06-16,1,2345810978,1.6298E+13,0.3524443,2.8749E+11,28700318768,-17973720444,50013725923
2021-06-17,0,1848671013,1.46721E+13,-0.211926694,-3.21655E+11,-5.03321E+11,-98338270839,-28792851743
2021-06-18,1,1627658120,1.74927E+13,-0.119552312,-7.1105E+11,1.97274E+11,-37292533187,-17090679275
2021-06-21,0,1508634470,1.72913E+13,-0.073125707,-9.01896E+11,-6.15506E+11,-32492598062,-2.32965E+11
2021-06-22,1,1666696733,1.5512E+13,0.104771743,3.62941E+11,-19690436577,14491174619,30694758288
2021-06-23,1,1069174741,1.78653E+13,-0.358506728,-9624757444,1.28709E+11,-75640799123,12102556228
2021-06-24,1,1301271218,2.14265E+13,0.217080023,-1.01632E+11,3.39712E+11,-38810722863,-39545631810
2021-06-25,1,1198187970,1.86186E+13,-0.079217343,2.48467E+11,5.66754E+11,-13802120931,47529596847
2021-06-28,0,1428764468,1.37961E+13,0.192437667,-86753852283,-1.86767E+11,-40174369235,-78867363410
2021-06-29,0,1213046625,1.55095E+13,-0.150982088,67905293320,-4.12607E+11,-23577225658,41611244136
2021-06-30,1,1610375510,1.56467E+13,0.32754626,7018476232,-44630686882,23578735044,32406647880
2021-07-01,0,1159231481,1.6076E+13,-0.280148342,-4.08829E+11,-5.87137E+11,-34953871762,-2.06602E+11
2021-07-02,0,1019998165,1.54379E+13,-0.120108294,-1.21558E+11,-98659682214,15876478533,-75879205953
2021-07-05,1,850406170,1.45299E+13,-0.166266961,1502627218,2.11014E+11,294422140,40500961104
2021-07-06,1,1029465279,1.46864E+13,0.210557161,2.23784E+11,1.3989E+11,25745969130,-96460495807
2021-07-07,0,1147641017,1.45071E+13,0.114793321,-3.40498E+11,-4.01209E+11,-74941699657,-1.97577E+11
2021-07-08,0,1516034403,1.68706E+13,0.32100054,-4.98288E+11,-2.2149E+11,-33715394123,-2.80862E+11
2021-07-09,0,1308364633,1.64731E+13,-0.136982228,-1.34215E+12,-4.32249E+11,-4799192116,-26594298637
2021-07-12,1,1135042856,1.12801E+13,-0.132472074,37207303791,1.37042E+11,30242143340,49719136557
2021-07-13,1,1150101046,1.34944E+13,0.013266627,2.6517E+11,2.69452E+11,25426246024,44228803245
2021-07-14,0,908953938,1.29931E+13,-0.209674714,-2.7403E+11,-1.96724E+11,-11427150075,-51982527587
2021-07-15,1,1172430582,1.36839E+13,0.289867982,1.00636E+11,2.2217E+11,34457350866,-24101485010
2021-07-16,0,1066507087,1.47813E+13,-0.090345217,-92540524234,-3.53108E+11,-80135660001,-24267140085
2021-07-19,0,1095559262,1.28553E+13,0.027240489,-4.58191E+11,-2.44215E+11,-63155167134,-97038084973
2021-07-20,0,979670175,1.52924E+13,-0.105780756,-1.72989E+11,1.70254E+11,1856527725,-15007940147
2021-07-21,0,990326915,1.48647E+13,0.010877886,-4.98545E+11,-1.77328E+11,12644971480,-1.0075E+11
2021-07-22,1,712983404,1.30392E+13,-0.280052482,59859468295,8.30728E+11,671985915,6069902594
2021-07-23,1,805048259,1.32094E+13,0.129126224,1.1165E+11,3.86739E+11,-34439268621,-64912956743
2021-07-26,0,826066626,1.22125E+13,0.026108208,-3.77964E+11,-70011365281,-1.11263E+11,-69131916368
2021-07-27,1,991938990,1.23485E+13,0.200797803,46132578069,2.33409E+11,7194879810,25434744438
2021-07-28,1,868602620,1.19793E+13,-0.124338665,-4.22234E+11,4.09241E+11,-18646221715,-67389286855
2021-07-29,1,694823189,1.04913E+13,-0.200067818,-2.29157E+11,2.35956E+11,49331236276,-44195690300
2021-07-30,0,687861015,1.28082E+13,-0.010020066,-7.18353E+11,-2.88009E+11,-86499495235,-1.71324E+11
