Date,Target,Volume_ROC,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,Volume,Transaction_Value__logdiff1
2023-05-02,1,-0.097920415,1195030937.0,20220427019.0,192000000000.0,345000000000.0,701398536,
2023-05-03,0,0.268336491,-24640022215.0,-19957725851.0,-192000000000.0,-91428316585.0,889609358,-0.0070671672230915306
2023-05-04,0,-0.089287632,7450229244.0,-63699621016.0,-261000000000.0,39620053616.0,810178245,0.013085239548654926
2023-05-08,1,-0.190874254,35558512859.0,-112000000000.0,446000000000.0,253000000000.0,655536077,-0.08229524272682909
2023-05-09,0,0.146614126,7424806742.0,28258174569.0,14371563962.0,115000000000.0,751646926,0.015086493033379611
2023-05-10,0,-0.154343594,-4684242130.0,-61461501851.0,-111000000000.0,116000000000.0,635635038,-0.04820210181787843
2023-05-11,0,0.019664347,26152016461.0,17623274813.0,13706685978.0,1829048943.0,648134386,0.0100503358535029
2023-05-12,0,0.231580992,-13548821653.0,-34266627.0,-61425594326.0,-247000000000.0,798229990,-0.046625841340055985
2023-05-15,1,-0.392950908,4991779430.0,48066738562.0,91931794877.0,-49794741705.0,484564791,-0.2161829663665884
2023-05-16,1,0.297543248,-1689197625.0,902871183.0,-12011852011.0,228000000000.0,628743773,0.15621296144082564
2023-05-17,1,-0.102318618,36099119311.0,57824376465.0,39718012319.0,164000000000.0,564411579,-0.11377377816566892
2023-05-18,1,0.014799487,17219251298.0,10270990698.0,-84102266428.0,538000000000.0,572764581,0.07470138528556802
2023-05-19,1,-0.004656601,16815142051.0,-116000000000.0,657000000000.0,558000000000.0,570097445,0.1676471458646951
2023-05-22,1,0.041260532,-8779370836.0,17149190029.0,517000000000.0,299000000000.0,593619969,-0.11385056059065946
2023-05-23,1,-0.029605827,-16820874351.0,45130308340.0,354000000000.0,-53533549246.0,576045359,-0.09848207461933711
2023-05-24,0,0.861728423,-32629028741.0,39268859617.0,-139000000000.0,93525128152.0,1072440018,0.05999191062797493
2023-05-25,0,-0.144424424,-12419225686.0,-83975340772.0,-485000000000.0,224000000000.0,917553486,0.1759723291152966
2023-05-26,1,-0.308204793,-35711185502.0,-103000000000.0,-316000000000.0,911000000000.0,634759104,-0.0021253993123124815
2023-05-30,1,0.010850512,-70407557933.0,-23858403022.0,52958933936.0,675000000000.0,641646565,0.16623541904233008
2023-05-31,0,0.069415523,-37316050290.0,-74439754507.0,-34180566216.0,216000000000.0,686186797,0.3077496355025886
2023-06-01,0,-0.01596265,-64976192345.0,-89826988954.0,-152000000000.0,-8205036565.0,675233437,-0.4987574575525038
2023-06-02,1,-0.156410938,50570760983.0,-41529220660.0,186000000000.0,373000000000.0,569619542,0.022642476749759055
2023-06-05,1,-0.041676651,39623511662.0,32891565367.0,299000000000.0,-19511906838.0,545879707,-0.0903120304084446
2023-06-07,1,-0.015137005,-5509195087.0,-27170606428.0,403000000000.0,-40297072056.0,537616723,0.1741199876805375
2023-06-08,0,0.081300399,31205733976.0,22177453652.0,229000000000.0,-384000000000.0,581325177,0.1199593150789795
2023-06-09,1,0.003257829,94071048993.0,-2906622654.0,272000000000.0,481000000000.0,583219035,-0.03540192705091627
2023-06-12,0,-0.044859037,-24320651857.0,-154000000000.0,241000000000.0,-342000000000.0,557056391,-0.16943201206795777
2023-06-13,1,0.246409784,-10779867124.0,-231000000000.0,429000000000.0,137000000000.0,694320536,0.17840068205071802
2023-06-14,0,-0.057489419,27831824145.0,-168000000000.0,-6524523412.0,113000000000.0,654404452,0.15669845190605614
2023-06-15,0,-0.109973442,-16651753314.0,-210000000000.0,78906405394.0,-64115208893.0,582437342,-0.1302651948379001
2023-06-16,1,0.156644673,6384164616.0,-108000000000.0,-122000000000.0,428000000000.0,673673049,0.09134977858822779
2023-06-19,0,0.068098308,-23908851758.0,-197000000000.0,230000000000.0,-360000000000.0,719549044,-0.12675170563914406
2023-06-20,0,0.004157817,-12371268810.0,-92494181083.0,54014798597.0,-281000000000.0,722540797,-0.018182319083191345
2023-06-21,0,-0.086835688,-21982924145.0,-96729857377.0,49997720039.0,-200000000000.0,659798470,-0.01851904776723856
2023-06-22,1,-0.070592905,13416725259.0,140000000000.0,79027112090.0,-107000000000.0,613221379,-0.17970815228243708
2023-06-23,0,-0.138472062,-26957872725.0,-14954388654.0,-391000000000.0,-188000000000.0,528307350,-0.04460430623675293
2023-06-26,1,-0.088124536,-16122451726.0,-20915421468.0,276000000000.0,15003253159.0,481750510,-0.012948974340801556
2023-06-27,0,0.117817694,10904615920.0,118000000000.0,-162000000000.0,-108000000000.0,538509244,0.017616427388297495
2023-06-28,0,-0.092368485,-8638474844.0,10069135500.0,87539481672.0,-392000000000.0,488767961,0.025288703951922287
2023-06-29,0,0.236800851,16699257815.0,24163096986.0,-229000000000.0,55313840334.0,604508630,0.0011344300706142008
2023-06-30,1,-0.154794885,10497416523.0,48310428301.0,190000000000.0,-178000000000.0,510933786,-0.07166894655436451
2023-07-03,1,0.209562174,64401304737.0,-218000000000.0,876000000000.0,-13324597690.0,618006181,0.08853275260636906
2023-07-04,0,0.091268348,-1532098821.0,-270000000000.0,-3805616772.0,-59437290111.0,674410584,0.020960502615334775
2023-07-05,0,-0.108719971,3462530865.0,-56753342379.0,-579000000000.0,256000000000.0,601088685,0.11729771654955101
2023-07-06,0,-0.115105098,-54386264848.0,243000000000.0,-560000000000.0,-168000000000.0,531900313,0.0
2023-07-07,0,0.152969889,-190000000000.0,16867127198.0,-351000000000.0,-45069398717.0,613265045,0.00966191091173485
2023-07-10,0,-0.083885241,29933482880.0,15771050352.0,-172000000000.0,-156000000000.0,561821159,-0.06967992063798789
2023-07-11,1,0.057516052,18476209359.0,69080511617.0,82297714481.0,269000000000.0,594134894,0.08872811560868143
2023-07-12,1,0.173006656,40968801970.0,29429726291.0,-74975559341.0,219000000000.0,696924185,0.21936282847430633
2023-07-13,1,-0.159649228,131000000000.0,-52237443665.0,349000000000.0,217000000000.0,585660777,0.007547205635383136
2023-07-14,1,-0.027056051,14593734525.0,50471717790.0,789000000000.0,615000000000.0,569815109,0.07249550203815147
2023-07-17,0,-0.033774371,-58337179548.0,-132000000000.0,5687841480.0,-165000000000.0,550569962,-0.20067069546215066
2023-07-18,0,-0.104197068,-27827559934.0,-2606983094.0,-253000000000.0,-155000000000.0,493202186,0.025317807984290397
2023-07-19,1,-0.107721209,-31643799987.0,48754019427.0,-212000000000.0,-40280153577.0,440073850,-0.06899287148695166
2023-07-20,0,-0.153858585,-19656863803.0,44302897232.0,-271000000000.0,163000000000.0,372364710,-0.16778487110306273
2023-07-21,1,0.347796807,-7849825643.0,-7713771300.0,17545949523.0,-290000000000.0,501871967,0.26147035518038564
2023-07-24,1,0.054777519,1892885189.0,-37238109281.0,-223000000000.0,-171000000000.0,529363268,0.44008907267421193
2023-07-25,1,0.366682565,-99706387904.0,-39124282022.0,43905183219.0,-1350000000000.0,723471549,0.005221943981151611
2023-07-26,0,0.15292233,-132000000000.0,-18026845243.0,248000000000.0,-947000000000.0,834106504,0.636907462237069
2023-07-27,1,-0.287665707,-38620439415.0,-68439674010.0,493000000000.0,82278490784.0,594162667,-0.4096059007741957
2023-07-28,1,-0.152980613,-31609777270.0,-84250387368.0,-283000000000.0,60211856009.0,503267298,-0.360832954087396
2023-07-31,1,-0.097412767,-5869470172.0,-37728782982.0,-83756810865.0,-292000000000.0,454242638,-0.06771817405494929
2023-08-01,1,0.086739127,67499779327.0,-40045355102.0,266000000000.0,198000000000.0,493643248,0.012658396871923827
2023-08-02,0,0.427496162,-98655960387.0,-56359337376.0,-435000000000.0,-70146532016.0,704673842,0.0062696130135933
2023-08-03,0,0.120257665,-2610524450.0,-157000000000.0,-491000000000.0,-151000000000.0,789416273,-0.07122750928836652
2023-08-04,0,-0.181990312,29789231937.0,-99918483580.0,-148000000000.0,-245000000000.0,645750159,-0.3034659401530426
2023-08-07,0,-0.219402809,-27169783821.0,-111000000000.0,-169000000000.0,281000000000.0,504070760,0.07864312731911127
2023-08-08,0,0.266525977,-25243400368.0,-127000000000.0,-273000000000.0,-142000000000.0,638418712,0.041158072493509223
2023-08-09,1,-0.267680093,-64682010361.0,-26623506531.0,-159000000000.0,366000000000.0,467526732,-0.18555257737540032
2023-08-10,0,0.215235558,-47709033284.0,-57959444574.0,8214190140.0,-233000000000.0,568155109,0.09265883048270496
2023-08-11,0,0.188742198,52357085949.0,-61792240669.0,9618551605.0,-191000000000.0,675389953,-0.07342746855481863
2023-08-14,0,-0.075530152,-2502191745.0,-34198056616.0,-265000000000.0,-120000000000.0,624377647,-0.04879016416943216
2023-08-16,0,0.09730965,-102000000000.0,18237382266.0,-176000000000.0,-1898044111.0,685135617,0.1823215567939549
2023-08-17,0,0.072974059,34867160839.0,-21794190917.0,-135000000000.0,-1229151556.0,735132744,-0.11466290832014181
2023-08-18,0,-0.241246377,-6884108879.0,-29293162299.0,-186000000000.0,-108000000000.0,557784633,0.009302392662316805
2023-08-21,1,-0.283847766,13796593680.0,-23363288732.0,36200932204.0,-34008655799.0,399458711,-0.23712979328895045
