Date,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
2021-05-17,771305645,14552523724082,0.019237211728172943,-602211401604,-89333134255,-11110077289,6377605324
2021-05-18,786143415,13898610218787,0.019237211728172943,-350011955199,963421079159,20903911949,21982306938
2021-05-20,774252245,13719656585417,-0.015125955103242883,-515824658601,-89663104703,-13354130145,-37324887396
2021-05-21,797262205,14789457191323,0.029718945148166753,-130375658375,111994449586,-1411358719,-24386777205
2021-05-24,587968268,11604047358277,-0.2625158143549524,-220747806116,68222464174,14328516188,27536500405
2021-05-25,612976970,11728027229513,0.042534101517192724,71409301708,795297151637,8887584790,24219020276
2021-05-26,1269999045,13173015885449,1.071854420566567,-17487854129,262613885234,31359371001,-21283929175
2021-05-27,1082006090,20682335393904,-0.14802606012983266,-242880845968,273516701106,46442014655,19782821274
2021-05-28,966367978,13533299075577,-0.10687380881562325,142857297682,577877259578,44203028082,48899316583
2021-05-31,1123524809,14017446050339,0.1626262816833528,520446004132,-669312049332,17632478084,-98412986613
2021-06-01,1472570767,15270803742087,0.3106704500016073,-53072513283,616182547052,-15671866078,53577534239
2021-06-02,1495671343,17740841975268,0.015687243368997184,33590106865,-227929823621,19211081478,-20944470431
2021-06-03,1584799068,16890461822422,0.05959044773915956,242041662471,349888394094,-8191099696,108430830431
2021-06-04,1392319539,16051031275689,-0.12145358543333018,175443737827,-613050220280,-57279397704,17727143617
2021-06-07,1733348139,19023221710305,0.2449355844312402,-187347266710,131449947543,-26847715030,26215014056
2021-06-08,1951319356,19352173579005,0.12575155105641467,-203701047226,373505769488,7059807953,-89992888228
2021-06-09,1964923269,17164709655058,0.006971648673586017,-324763476596,-260528637715,-58266548343,-48159158792
2021-06-10,1896766322,19170539861596,-0.034686823691943314,717210391251,-848516280902,306780245,-325182681546
2021-06-11,1645508762,17956256842935,-0.13246627013867873,176536714280,-31327611036,104072059616,171995022551
2021-06-14,1664527170,15262485462973,0.011557767688143095,-10128752286,-262519529792,-11314789723,-17287362717
2021-06-15,1734497293,14838275276764,0.04203603537453815,-121050344350,-45326434042,15394900708,82451170055
2021-06-16,2345810978,16297981235711,0.35244430041321495,287490222647,28700318768,-17973720444,50013725923
2021-06-17,1848671013,14672132506589,-0.21192669386510132,-321655229264,-503320607072,-98338270839,-28792851743
2021-06-18,1627658120,17492731865668,-0.11955231160429303,-711050008644,197274289786,-37292533187,-17090679275
2021-06-21,1508634470,17291259635405,-0.07312570652121952,-901895605835,-615505806340,-32492598062,-232964994185
2021-06-22,1666696733,15512033241198,0.10477174301870495,362940809627,-19690436577,14491174619,30694758288
2021-06-23,1069174741,17865268589384,-0.35850672781033166,-9624757444,128708746749,-75640799123,12102556228
2021-06-24,1301271218,21426510325089,0.21708002265646487,-101632141063,339712292926,-38810722863,-39545631810
2021-06-25,1198187970,18618608315198,-0.07921734268313008,248467425445,566753931875,-13802120931,47529596847
2021-06-28,1428764468,13796055583387,0.19243766735531498,-86753852283,-186767468590,-40174369235,-78867363410
2021-06-29,1213046625,15509502688918,-0.15098208825277137,67905293320,-412606771064,-23577225658,41611244136
2021-06-30,1610375510,15646662100364,0.3275462598150338,7018476232,-44630686882,23578735044,32406647880
2021-07-01,1159231481,16075974682786,-0.2801483419230587,-408829358677,-587137459106,-34953871762,-206602099678
2021-07-02,1019998165,15437887450990,-0.12010829440198756,-121557811968,-98659682214,15876478533,-75879205953
2021-07-05,850406170,14529926270282,-0.1662669608822287,1502627218,211013868884,294422140,40500961104
2021-07-06,1029465279,14686383269810,0.21055716117393652,223784164541,139889522430,25745969130,-96460495807
2021-07-07,1147641017,14507060037927,0.1147933207759988,-340497619729,-401209341494,-74941699657,-197577189715
2021-07-08,1516034403,16870624131454,0.32100053984041255,-498287807432,-221490035877,-33715394123,-280861818314
2021-07-09,1308364633,16473105860696,-0.1369822278366858,-1342149136077,-432248519611,-4799192116,-26594298637
2021-07-12,1135042856,11280079226180,-0.13247207439609843,37207303791,137041608847,30242143340,49719136557
2021-07-13,1150101046,13494445819170,0.013266626824177008,265170242335,269452323305,25426246024,44228803245
2021-07-14,908953938,12993100764877,-0.2096747140946431,-274029668234,-196724273485,-11427150075,-51982527587
2021-07-15,1172430582,13683900975965,0.28986798228712884,100636263856,222169798027,34457350866,-24101485010
2021-07-16,1066507087,14781318750668,-0.09034521670298767,-92540524234,-353107977589,-80135660001,-24267140085
2021-07-19,1095559262,12855281198924,0.027240489401454848,-458190929018,-244214638725,-63155167134,-97038084973
2021-07-20,979670175,15292372447870,-0.10578075602084591,-172988943545,170253827459,1856527725,-15007940147
2021-07-21,990326915,14864747567296,0.01087788550876323,-498545092711,-177327712908,12644971480,-100749921293
2021-07-22,712983404,13039249952509,-0.2800524824673679,59859468295,830727811494,671985915,6069902594
2021-07-23,805048259,13209383405119,0.12912622437422128,111649746566,386738797311,-34439268621,-64912956743
2021-07-26,826066626,12212490543815,0.02610820750809184,-377963894447,-70011365281,-111263276310,-69131916368
2021-07-27,991938990,12348469240739,0.2007978034449729,46132578069,233409101232,7194879810,25434744438
2021-07-28,868602620,11979296757213,-0.12433866522375536,-422234442765,409241365434,-18646221715,-67389286855
