Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,1,0.5398,0,FP
2023-08-24,1,1,0.5761,1,TP
2023-08-25,0,1,0.641,0,FP
2023-08-28,1,0,0.6584,0,FN
2023-08-29,1,1,0.6606,1,TP
2023-08-30,1,1,0.6497,1,TP
2023-08-31,0,1,0.5988,0,FP
2023-09-01,1,1,0.5946,1,TP
2023-09-04,1,1,0.5673,1,TP
2023-09-05,0,1,0.5787,0,FP
2023-09-06,0,1,0.5902,0,FP
2023-09-07,0,0,0.5481,1,TN
2023-09-08,0,1,0.5727,0,FP
2023-09-11,1,1,0.5141,1,TP
2023-09-12,0,1,0.5384,0,FP
2023-09-13,0,1,0.5668,0,FP
2023-09-14,1,0,0.5434,0,FN
2023-09-15,1,1,0.5668,1,TP
2023-09-18,0,1,0.5313,0,FP
2023-09-19,0,0,0.5432,1,TN
2023-09-20,1,0,0.6101,0,FN
2023-09-21,0,0,0.6153,1,TN
2023-09-22,0,0,0.7133,1,TN
2023-09-25,0,0,0.6065,1,TN
2023-09-26,0,0,0.7087,1,TN
2023-09-27,1,0,0.5856,0,FN
2023-10-04,0,0,0.5717,1,TN
2023-10-05,0,0,0.5813,1,TN
2023-10-06,1,0,0.5905,0,FN
2023-10-10,0,0,0.5769,1,TN
2023-10-11,1,0,0.586,0,FN
2023-10-12,1,0,0.5728,0,FN
2023-10-13,0,0,0.5601,1,TN
2023-10-16,0,0,0.5695,1,TN
2023-10-17,1,0,0.5785,0,FN
2023-10-18,1,0,0.5657,0,FN
2023-10-19,0,0,0.5536,1,TN
2023-10-20,0,0,0.5628,1,TN
2023-10-23,0,0,0.5721,1,TN
2023-10-24,1,0,0.581,0,FN
2023-10-25,0,0,0.5684,1,TN
2023-10-26,0,0,0.5771,1,TN
2023-10-27,1,0,0.5851,0,FN
2023-10-30,1,0,0.5736,0,FN
2023-10-31,0,0,0.5614,1,TN
2023-11-01,1,0,0.5695,0,FN
2023-11-02,1,0,0.5588,0,FN
2023-11-03,1,0,0.5464,0,FN
2023-11-06,1,0,0.5355,0,FN
2023-11-07,0,0,0.5249,1,TN
2023-11-08,0,1,0.7094,0,FP
2023-11-09,1,0,0.5931,0,FN
2023-11-10,0,1,0.6327,0,FP
2023-11-13,0,0,0.6594,1,TN
2023-11-14,1,0,0.8088,0,FN
2023-11-15,1,1,0.8056,1,TP
2023-11-16,1,0,0.9015,0,FN
2023-11-17,0,0,0.7092,1,TN
2023-11-20,1,0,0.8754,0,FN
2023-11-21,1,1,0.7819,1,TP
2023-11-22,1,1,0.766,1,TP
2023-11-23,1,0,0.8362,0,FN
2023-11-24,0,1,0.5982,0,FP
2023-11-27,0,1,0.6428,0,FP
2023-11-28,1,1,0.8139,1,TP
2023-11-29,0,1,0.7037,0,FP
2023-11-30,1,1,0.7641,1,TP
2023-12-01,0,0,0.593,1,TN
2023-12-04,1,1,0.8858,1,TP
2023-12-05,0,0,0.8268,1,TN
2023-12-06,1,0,0.8886,0,FN
2023-12-07,0,1,0.6627,0,FP
2023-12-08,1,1,0.571,1,TP
2023-12-11,1,0,0.8411,0,FN
2023-12-12,1,1,0.6334,1,TP
2023-12-13,0,0,0.5436,1,TN
2023-12-14,1,1,0.6484,1,TP
2023-12-15,1,1,0.7758,1,TP
2023-12-18,1,1,0.6227,1,TP
2023-12-19,1,0,0.6803,0,FN
2023-12-20,1,1,0.7719,1,TP
2023-12-21,0,1,0.7152,0,FP
2023-12-22,0,0,0.7423,1,TN
2023-12-26,1,0,0.5668,0,FN
2023-12-27,1,1,0.6994,1,TP
2023-12-28,1,1,0.8068,1,TP
2024-01-02,1,1,0.5879,1,TP
2024-01-03,0,0,0.7327,1,TN
2024-01-04,0,1,0.6304,0,FP
2024-01-05,0,0,0.8223,1,TN
2024-01-08,0,0,0.8126,1,TN
2024-01-09,0,1,0.7177,0,FP
2024-01-10,0,1,0.5022,0,FP
2024-01-11,0,0,0.6721,1,TN
2024-01-12,0,0,0.5667,1,TN
2024-01-15,1,0,0.7828,0,FN
2024-01-16,0,0,0.7365,1,TN
2024-01-17,0,0,0.8806,1,TN
2024-01-18,1,0,0.9453,0,FN
2024-01-19,1,0,0.7891,0,FN
2024-01-22,0,0,0.6723,1,TN
