Variable,Correlation,AbsCorrelation,Direction
Return,0.33738064546376734,0.33738064546376734,Positive
Log_Return,0.33678575691913293,0.33678575691913293,Positive
Net_Purchase_Financial_Investment,0.18444270158710305,0.18444270158710305,Positive
Net_Purchase_Foreigner,0.1584919271510215,0.1584919271510215,Positive
RSI_14,0.12890655320428682,0.12890655320428682,Positive
Net_Purchase_Investment_Trust,0.11000714849665434,0.11000714849665434,Positive
MACD,0.05904585321031952,0.05904585321031952,Positive
Close,0.05803550199669478,0.05803550199669478,Positive
TaiwanWeighted,0.05466431541258543,0.05466431541258543,Positive
S&P500,0.0535063699935527,0.0535063699935527,Positive
US_GDP,0.048616863248188306,0.048616863248188306,Positive
US_M2,0.04779248383706388,0.04779248383706388,Positive
Net_Purchase_Pension_Fund,0.04586001889410361,0.04586001889410361,Positive
Transaction_Value,0.044287584523496674,0.044287584523496674,Positive
MACD_Signal,0.04409672796396747,0.04409672796396747,Positive
VIX,-0.03895513975512738,0.03895513975512738,Negative
ATR_14,0.03864008589870433,0.03864008589870433,Positive
USD_KRW,0.030073808417122778,0.030073808417122778,Positive
Volatility_20,0.0298598518220862,0.0298598518220862,Positive
Dollar_Index,-0.02687196045180413,0.02687196045180413,Negative
Volume_ROC,-0.024898206458725546,0.024898206458725546,Negative
KR_GDP,0.022683333655014962,0.022683333655014962,Positive
US_Spread_10Y_3Y,0.022629359993239954,0.022629359993239954,Positive
US_Interest_Rate_10Y,0.021277264611121654,0.021277264611121654,Positive
US_UNRATE,0.01824143287148611,0.01824143287148611,Positive
KR_Spread_10Y_3Y,0.017208156362291917,0.017208156362291917,Positive
Volume,-0.013591869940447863,0.013591869940447863,Negative
US_Interest_Rate_3Y,0.009770618580043815,0.009770618580043815,Positive
KR_Interest_Rate_3Y,-0.009472778445786482,0.009472778445786482,Negative
KR_Interest_Rate_10Y,-0.005796604588865654,0.005796604588865654,Negative
