Variable,VIF,Status
US_CPI,40.47540872021619,High
KR_CPI,17.63933333077431,High
Nikkei225,11.093143679135173,High
TaiwanWeighted,11.04377505137845,High
S&P500,9.943014866095412,Watch
US_Interest_Rate_10Y,2.254353142538381,Good
USD_KRW,2.088169338708499,Good
US_GDP,1.801106092986392,Good
Transaction_Value,1.6965757153776297,Good
US_Interest_Rate_3Y,1.5421576107864485,Good
Volume,1.3406214965540766,Good
VIX,1.2765890177500046,Good
KR_Interest_Rate_10Y,1.1853122256522224,Good
Net_Purchase_Foreigner,1.1687504361243748,Good
Net_Purchase_Investment_Trust,1.1656856342080195,Good
KR_Interest_Rate_3Y,1.1438989588731738,Good
Net_Purchase_Financial_Investment,1.113687033682477,Good
Net_Purchase_Pension_Fund,1.1033746386500882,Good
Volume_ROC,1.0930292239748465,Good
KR_GDP,1.0890644631021535,Good
Dollar_Index,1.0251474223961639,Good
US_Spread_10Y_3Y,1.0130147670943455,Good
Close,1.012197766101171,Good
ATR_14,1.0111386516817054,Good
Volatility_20,1.008510914205288,Good
MACD_Signal,1.004892033382345,Good
MACD,1.0045960513174537,Good
RSI_14,1.0007746470598353,Good
Return,1.0000617516868624,Good
Log_Return,1.000039267332951,Good
KR_Spread_10Y_3Y,1.0,Good
US_M2,1.0,Good
US_UNRATE,1.0,Good
