Target,US_GDP,US_M2,US_Interest_Rate_10Y,US_Interest_Rate_3Y,US_UNRATE,KR_GDP,KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,US_Spread_10Y_3Y,KR_Spread_10Y_3Y,S&P500,TaiwanWeighted,USD_KRW,Dollar_Index,VIX,Close,Return,Log_Return,Volatility_20,ATR_14,RSI_14,MACD,MACD_Signal,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,23982.379,20477.1,1.64,0.34,5.9,524124000000000.0,2.117,1.107,1.3,1.0100001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.64,0.34,5.9,524124000000000.0,2.118,1.099,1.3,1.019,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.63,0.34,5.9,524124000000000.0,2.135,1.103,1.29,1.032,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.63,0.34,5.9,524124000000000.0,2.123,1.095,1.29,1.0279999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.61,0.32,5.9,524124000000000.0,2.12,1.116,1.29,1.0039998,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.56,0.3,5.9,524124000000000.0,2.129,1.142,1.26,0.987,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.58,0.31,5.9,524124000000000.0,2.128,1.161,1.27,0.967,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
0,23982.379,20477.1,1.61,0.31,5.9,524124000000000.0,2.111,1.124,1.3,0.9870001,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.58,0.3,5.9,524124000000000.0,2.132,1.162,1.28,0.97,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.58,0.3,5.9,524124000000000.0,2.179,1.227,1.28,0.9519999,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.62,0.31,5.9,524124000000000.0,2.186,1.213,1.31,0.97300005,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
1,23982.379,20477.1,1.59,0.3,5.9,524124000000000.0,2.202,1.206,1.29,0.99599993,4686.75,17826.25977,1335.22998,102.3000031,17.93000031,2640.570068,0.0008887585000000001,0.000888363,0.010631608,35.009286065,51.96724936,5.645369297,4.926984709,519351593.0,10595400000000.0,-0.004480721,-10128752286.0,41853533217.0,-7157583100.0,-6761836838.0
