Variable1,Variable2,Correlation,AbsCorrelation,Flag
US_UNRATE,KR_Spread_10Y_3Y,0.8135060246416138,0.8135060246416138,High
KR_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7982448869785402,0.7982448869785402,High
US_UNRATE,KR_Interest_Rate_3Y,-0.7438424113331508,0.7438424113331508,High
US_GDP,US_M2,0.5643990871294811,0.5643990871294811,Normal
US_GDP,KR_Interest_Rate_3Y,0.31866523184801326,0.31866523184801326,Normal
US_M2,KR_Spread_10Y_3Y,0.2213362483104624,0.2213362483104624,Normal
US_GDP,KR_Spread_10Y_3Y,-0.153099257216856,0.153099257216856,Normal
US_M2,US_UNRATE,0.03726368772483592,0.03726368772483592,Normal
US_GDP,US_UNRATE,-0.029933754775254222,0.029933754775254222,Normal
US_M2,KR_Interest_Rate_3Y,-0.01929893777403589,0.01929893777403589,Normal
