Variable1,Variable2,Correlation,AbsCorrelation,Flag
US_GDP,US_CPI,0.9882021636810975,0.9882021636810975,High
KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,0.9767425285238635,0.9767425285238635,High
US_Interest_Rate_10Y,KR_CPI,0.9685575808471941,0.9685575808471941,High
KR_GDP,KR_CPI,0.968297498772184,0.968297498772184,High
US_Interest_Rate_10Y,US_Interest_Rate_3Y,0.9466062667854189,0.9466062667854189,High
US_CPI,KR_CPI,0.9350327164022844,0.9350327164022844,High
US_CPI,KR_GDP,0.9312782315623759,0.9312782315623759,High
US_Interest_Rate_10Y,KR_GDP,0.9236319078426456,0.9236319078426456,High
US_GDP,KR_GDP,0.9125702031875492,0.9125702031875492,High
US_Interest_Rate_3Y,KR_CPI,0.9106869964910304,0.9106869964910304,High
US_Spread_10Y_3Y,KR_Spread_10Y_3Y,0.9096323108014993,0.9096323108014993,High
US_Interest_Rate_10Y,US_CPI,0.8979900972781342,0.8979900972781342,High
US_GDP,KR_CPI,0.8917915658947476,0.8917915658947476,High
US_UNRATE,US_Spread_10Y_3Y,0.850846313661457,0.850846313661457,High
US_GDP,US_Interest_Rate_10Y,0.8490463404938347,0.8490463404938347,High
KR_Interest_Rate_3Y,US_Spread_10Y_3Y,-0.8337870305228441,0.8337870305228441,High
US_Interest_Rate_3Y,KR_Interest_Rate_3Y,0.8270074279036844,0.8270074279036844,High
US_Interest_Rate_3Y,KR_GDP,0.8240439490715347,0.8240439490715347,High
US_UNRATE,KR_Spread_10Y_3Y,0.8135060246416138,0.8135060246416138,High
KR_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7982448869785402,0.7982448869785402,High
US_Interest_Rate_3Y,KR_Interest_Rate_10Y,0.7836807666495466,0.7836807666495466,High
US_Interest_Rate_3Y,US_CPI,0.757846588598506,0.757846588598506,High
US_UNRATE,KR_Interest_Rate_3Y,-0.7438424113331508,0.7438424113331508,High
US_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7278349240516925,0.7278349240516925,High
KR_Interest_Rate_10Y,US_Spread_10Y_3Y,-0.7275138106455405,0.7275138106455405,High
US_Interest_Rate_3Y,US_Spread_10Y_3Y,-0.687656128261996,0.687656128261996,Normal
US_GDP,US_Interest_Rate_3Y,0.6733964555445088,0.6733964555445088,Normal
US_Interest_Rate_10Y,KR_Interest_Rate_3Y,0.6651387303547528,0.6651387303547528,Normal
US_Interest_Rate_10Y,KR_Interest_Rate_10Y,0.6580856273947839,0.6580856273947839,Normal
KR_Interest_Rate_10Y,KR_Spread_10Y_3Y,-0.6505301507021976,0.6505301507021976,Normal
US_UNRATE,KR_Interest_Rate_10Y,-0.6483213992876702,0.6483213992876702,Normal
KR_CPI,KR_Interest_Rate_3Y,0.6107260334959912,0.6107260334959912,Normal
KR_CPI,KR_Interest_Rate_10Y,0.5891061575332545,0.5891061575332545,Normal
US_Interest_Rate_3Y,US_UNRATE,-0.5791559734241647,0.5791559734241647,Normal
US_GDP,US_M2,0.5643990871294811,0.5643990871294811,Normal
US_M2,US_CPI,0.5363650712943571,0.5363650712943571,Normal
KR_CPI,KR_Spread_10Y_3Y,-0.5083416801302786,0.5083416801302786,Normal
