Variable,Correlation,AbsCorrelation,Direction
US_GDP,0.09758371384505625,0.09758371384505625,Positive
US_M2,0.09562204983505453,0.09562204983505453,Positive
US_CPI,0.08874988674823708,0.08874988674823708,Positive
KR_CPI,0.056381424776322166,0.056381424776322166,Positive
KR_GDP,0.05489911985959819,0.05489911985959819,Positive
US_Interest_Rate_10Y,0.0455639809542982,0.0455639809542982,Positive
US_Spread_10Y_3Y,0.045361616064295236,0.045361616064295236,Positive
US_UNRATE,0.03661395339426556,0.03661395339426556,Positive
KR_Spread_10Y_3Y,0.03503012344766411,0.03503012344766411,Positive
US_Interest_Rate_3Y,0.020305384209957974,0.020305384209957974,Positive
KR_Interest_Rate_3Y,-0.019206844399948877,0.019206844399948877,Negative
KR_Interest_Rate_10Y,-0.011748018818629781,0.011748018818629781,Negative
