Target,US_GDP,US_M2,US_UNRATE,KR_Interest_Rate_3Y,KR_Spread_10Y_3Y
0,23982.379,20477.1,5.9,1.107,1.0100001
1,23982.379,20477.1,5.9,1.099,1.019
0,23982.379,20477.1,5.9,1.103,1.032
0,23982.379,20477.1,5.9,1.095,1.0279999
0,23982.379,20477.1,5.9,1.116,1.0039998
1,23982.379,20477.1,5.9,1.142,0.987
0,23982.379,20477.1,5.9,1.161,0.967
0,23982.379,20477.1,5.9,1.124,0.9870001
1,23982.379,20477.1,5.9,1.162,0.97
1,23982.379,20477.1,5.9,1.227,0.9519999
1,23982.379,20477.1,5.9,1.213,0.97300005
1,23982.379,20477.1,5.9,1.206,0.99599993
1,23982.379,20477.1,5.9,1.191,1.004
0,23982.379,20477.1,5.9,1.22,0.95300007
1,23982.379,20477.1,5.9,1.201,0.9549999
0,23982.379,20477.1,5.9,1.174,0.9419999
0,23982.379,20477.1,5.9,1.137,0.96599996
1,23982.379,20477.1,5.9,1.282,0.8030001
1,23982.379,20477.1,5.9,1.276,0.82500005
1,23982.379,20477.1,5.9,1.287,0.809
1,23982.379,20477.1,5.9,1.307,0.76400006
1,23982.379,20477.1,5.9,1.286,0.7839999
0,23982.379,20477.1,5.9,1.327,0.752
1,23982.379,20477.1,5.9,1.313,0.7279999
0,23982.379,20477.1,5.9,1.351,0.6550001
1,23982.379,20477.1,5.9,1.331,0.719
1,23982.379,20477.1,5.9,1.338,0.70299983
1,23982.379,20477.1,5.9,1.384,0.676
1,23982.379,20477.1,5.9,1.441,0.6589999
0,23982.379,20477.1,5.9,1.47,0.66700006
0,23982.379,20477.1,5.9,1.459,0.65
1,23982.379,20477.1,5.9,1.448,0.64400005
0,23982.379,20633.3,5.4,1.469,0.62099993
0,23982.379,20633.3,5.4,1.484,0.6170001
1,23982.379,20633.3,5.4,1.462,0.627
1,23982.379,20633.3,5.4,1.465,0.6539999
0,23982.379,20633.3,5.4,1.41,0.62900007
0,23982.379,20633.3,5.4,1.358,0.64400005
0,23982.379,20633.3,5.4,1.375,0.658
1,23982.379,20633.3,5.4,1.384,0.63800013
1,23982.379,20633.3,5.4,1.424,0.61100006
0,23982.379,20633.3,5.4,1.39,0.6179999
1,23982.379,20633.3,5.4,1.497,0.52699995
0,23982.379,20633.3,5.4,1.451,0.5569999
0,23982.379,20633.3,5.4,1.459,0.513
0,23982.379,20633.3,5.4,1.41,0.48300004
0,23982.379,20633.3,5.4,1.383,0.495
1,23982.379,20633.3,5.4,1.397,0.52400005
1,23982.379,20633.3,5.4,1.393,0.495
0,23982.379,20633.3,5.4,1.369,0.49400008
1,23982.379,20633.3,5.4,1.38,0.48800004
1,23982.379,20633.3,5.4,1.419,0.44299996
1,23982.379,20633.3,5.4,1.431,0.45800006
0,23982.379,20633.3,5.4,1.417,0.4569999
1,23982.379,20840.7,5.1,1.435,0.472
1,23982.379,20840.7,5.1,1.442,0.44799995
1,23982.379,20840.7,5.1,1.418,0.44800007
0,23982.379,20840.7,5.1,1.414,0.464
0,23982.379,20840.7,5.1,1.433,0.467
0,23982.379,20840.7,5.1,1.436,0.47800004
0,23982.379,20840.7,5.1,1.432,0.48399997
0,23982.379,20840.7,5.1,1.419,0.515
0,23982.379,20840.7,5.1,1.413,0.50900006
0,23982.379,20840.7,5.1,1.407,0.5170001
0,23982.379,20840.7,5.1,1.402,0.4840001
1,23982.379,20840.7,5.1,1.389,0.49199998
0,23982.379,20840.7,5.1,1.36,0.508
0,23982.379,20840.7,5.1,1.364,0.48900008
1,23982.379,20840.7,5.1,1.389,0.5
1,23982.379,20840.7,5.1,1.438,0.50100005
1,23982.379,20840.7,5.1,1.435,0.50100005
0,23982.379,20840.7,5.1,1.398,0.53
1,23982.379,20840.7,5.1,1.408,0.531
1,23982.379,20840.7,5.1,1.398,0.515
1,23982.379,20840.7,5.1,1.395,0.51699996
1,23982.379,20981.0,4.7,1.417,0.525
0,23982.379,20981.0,4.7,1.422,0.51899993
1,23982.379,20981.0,4.7,1.437,0.5059999
1,23982.379,20981.0,4.7,1.459,0.51100004
0,23982.379,20981.0,4.7,1.464,0.51100004
0,23982.379,20981.0,4.7,1.489,0.52700007
0,23982.379,20981.0,4.7,1.499,0.50100005
1,23982.379,20981.0,4.7,1.501,0.505
1,23982.379,20981.0,4.7,1.525,0.51199996
1,23982.379,20981.0,4.7,1.535,0.525
1,23982.379,20981.0,4.7,1.492,0.5330001
0,23982.379,20981.0,4.7,1.51,0.533
1,23982.379,20981.0,4.7,1.535,0.5330001
0,23982.379,20981.0,4.7,1.558,0.541
0,23982.379,20981.0,4.7,1.575,0.5769999
1,23982.379,20981.0,4.7,1.566,0.602
0,23982.379,20981.0,4.7,1.609,0.6470001
0,23982.379,20981.0,4.7,1.603,0.62
1,23982.379,20981.0,4.7,1.593,0.64399993
0,24813.6,21160.7,4.5,1.633,0.6249999
0,24813.6,21160.7,4.5,1.65,0.6409999
0,24813.6,21160.7,4.5,1.719,0.67999995
1,24813.6,21160.7,4.5,1.704,0.6830001
0,24813.6,21160.7,4.5,1.701,0.6730001
0,24813.6,21160.7,4.5,1.815,0.63199997
1,24813.6,21160.7,4.5,1.824,0.577
1,24813.6,21160.7,4.5,1.813,0.5380001
1,24813.6,21160.7,4.5,1.795,0.561
0,24813.6,21160.7,4.5,1.875,0.5250001
1,24813.6,21160.7,4.5,1.866,0.5129999
0,24813.6,21160.7,4.5,1.847,0.54499996
0,24813.6,21160.7,4.5,1.836,0.55200005
0,24813.6,21160.7,4.5,1.889,0.52199996
1,24813.6,21160.7,4.5,1.919,0.5070001
1,24813.6,21160.7,4.5,1.947,0.51
0,24813.6,21160.7,4.5,2.044,0.44300008
0,24813.6,21160.7,4.5,2.017,0.3800001
0,24813.6,21160.7,4.5,2.103,0.47200012
1,24813.6,21335.9,4.1,2.108,0.398
1,24813.6,21335.9,4.1,2.038,0.4419999
0,24813.6,21335.9,4.1,2.036,0.43400002
1,24813.6,21335.9,4.1,2.04,0.388
0,24813.6,21335.9,4.1,1.944,0.4059999
0,24813.6,21335.9,4.1,1.906,0.42299998
1,24813.6,21335.9,4.1,1.865,0.42799997
0,24813.6,21335.9,4.1,1.877,0.43200004
0,24813.6,21335.9,4.1,1.913,0.4280001
1,24813.6,21335.9,4.1,1.968,0.37600005
1,24813.6,21335.9,4.1,1.912,0.38600016
0,24813.6,21335.9,4.1,1.963,0.3699999
0,24813.6,21335.9,4.1,1.974,0.385
0,24813.6,21335.9,4.1,1.953,0.3850001
1,24813.6,21335.9,4.1,1.966,0.40600002
1,24813.6,21335.9,4.1,2.018,0.36800003
0,24813.6,21335.9,4.1,2.031,0.3690002
0,24813.6,21335.9,4.1,2.013,0.38100004
0,24813.6,21335.9,4.1,1.933,0.41500008
0,24813.6,21335.9,4.1,1.863,0.39200008
0,24813.6,21335.9,4.1,1.844,0.42200005
0,24813.6,21335.9,4.1,1.799,0.41400003
1,24813.6,21498.8,3.9,1.813,0.36899996
1,24813.6,21498.8,3.9,1.845,0.35299993
1,24813.6,21498.8,3.9,1.9,0.334
1,24813.6,21498.8,3.9,1.865,0.34800005
1,24813.6,21498.8,3.9,1.872,0.36800003
1,24813.6,21498.8,3.9,1.831,0.35399997
1,24813.6,21498.8,3.9,1.794,0.39399993
0,24813.6,21498.8,3.9,1.805,0.39600003
0,24813.6,21498.8,3.9,1.79,0.37899995
0,24813.6,21498.8,3.9,1.784,0.38499987
1,24813.6,21498.8,3.9,1.808,0.35799992
1,24813.6,21498.8,3.9,1.766,0.38100004
1,24813.6,21498.8,3.9,1.767,0.38600016
0,24813.6,21498.8,3.9,1.74,0.3670001
1,24813.6,21498.8,3.9,1.72,0.37899995
1,24813.6,21498.8,3.9,1.757,0.3900001
1,24813.6,21498.8,3.9,1.805,0.40699995
1,24813.6,21498.8,3.9,1.798,0.4080001
0,24813.6,21498.8,3.9,1.776,0.43499994
1,24813.6,21498.8,3.9,1.786,0.41199994
0,24813.6,21498.8,3.9,1.783,0.39700007
0,24813.6,21498.8,3.9,1.799,0.44899988
1,25250.347,21650.0,4.0,1.868,0.4519999
0,25250.347,21650.0,4.0,1.913,0.462
0,25250.347,21650.0,4.0,2.013,0.46799994
1,25250.347,21650.0,4.0,2.015,0.44299984
0,25250.347,21650.0,4.0,2.058,0.42599988
1,25250.347,21650.0,4.0,2.038,0.4469998
1,25250.347,21650.0,4.0,1.998,0.42999995
0,25250.347,21650.0,4.0,1.953,0.44400012
0,25250.347,21650.0,4.0,2.044,0.40900016
0,25250.347,21650.0,4.0,2.148,0.42000008
0,25250.347,21650.0,4.0,2.127,0.42599988
0,25250.347,21650.0,4.0,2.073,0.464
1,25250.347,21650.0,4.0,2.119,0.43900013
0,25250.347,21650.0,4.0,2.132,0.408
0,25250.347,21650.0,4.0,2.112,0.42799997
0,25250.347,21650.0,4.0,2.174,0.40199995
0,25250.347,21650.0,4.0,2.156,0.41700006
0,25250.347,21650.0,4.0,2.217,0.39499998
1,25250.347,21650.0,4.0,2.189,0.39700007
1,25250.347,21724.8,3.9,2.158,0.408
1,25250.347,21724.8,3.9,2.194,0.42499995
0,25250.347,21724.8,3.9,2.237,0.40100002
1,25250.347,21724.8,3.9,2.303,0.43000007
1,25250.347,21724.8,3.9,2.279,0.41199994
1,25250.347,21724.8,3.9,2.264,0.42200017
0,25250.347,21724.8,3.9,2.343,0.40400004
0,25250.347,21724.8,3.9,2.347,0.3670001
0,25250.347,21724.8,3.9,2.345,0.365
1,25250.347,21724.8,3.9,2.325,0.37699986
1,25250.347,21724.8,3.9,2.295,0.41299987
1,25250.347,21724.8,3.9,2.322,0.4059999
0,25250.347,21724.8,3.9,2.363,0.40700006
0,25250.347,21724.8,3.9,2.327,0.3900001
1,25250.347,21724.8,3.9,2.317,0.40499997
0,25250.347,21724.8,3.9,2.226,0.398
1,25250.347,21724.8,3.9,2.244,0.42700005
1,25250.347,21724.8,3.9,2.242,0.43299985
1,25250.347,21786.8,3.7,2.187,0.42599988
1,25250.347,21786.8,3.7,2.195,0.45300007
0,25250.347,21786.8,3.7,2.214,0.444
0,25250.347,21786.8,3.7,2.288,0.4189999
0,25250.347,21786.8,3.7,2.287,0.43499994
1,25250.347,21786.8,3.7,2.267,0.4590001
0,25250.347,21786.8,3.7,2.255,0.44499993
0,25250.347,21786.8,3.7,2.283,0.4560001
0,25250.347,21786.8,3.7,2.285,0.46799994
1,25250.347,21786.8,3.7,2.268,0.5
1,25250.347,21786.8,3.7,2.217,0.487
