Variable1,Variable2,Correlation,AbsCorrelation,Flag
Nikkei225,TaiwanWeighted,0.9598429842063193,0.9598429842063193,High
S&P500,Nikkei225,0.9353415876962986,0.9353415876962986,High
S&P500,TaiwanWeighted,0.9332962505905755,0.9332962505905755,High
Nikkei225,USD_KRW,0.7278444412706631,0.7278444412706631,High
S&P500,USD_KRW,0.6769386481650681,0.6769386481650681,Normal
TaiwanWeighted,USD_KRW,0.6319924309373599,0.6319924309373599,Normal
USD_KRW,Dollar_Index,0.5075289034542981,0.5075289034542981,Normal
Nikkei225,VIX,-0.3006534555946607,0.3006534555946607,Normal
S&P500,VIX,-0.2944536218298779,0.2944536218298779,Normal
TaiwanWeighted,Dollar_Index,-0.21942558236397738,0.21942558236397738,Normal
TaiwanWeighted,VIX,-0.1938668687853632,0.1938668687853632,Normal
S&P500,Dollar_Index,-0.18388439892838088,0.18388439892838088,Normal
Dollar_Index,VIX,0.10968123275797424,0.10968123275797424,Normal
Nikkei225,Dollar_Index,-0.09411523031221852,0.09411523031221852,Normal
USD_KRW,VIX,-0.013242032277498459,0.013242032277498459,Normal
