Target,TaiwanWeighted,USD_KRW,Dollar_Index,VIX
0,15353.88965,1125.530029,90.22000122,19.71999931
1,16145.98047,1135.51001,89.75,21.34000015
0,16042.36035,1130.369995,89.80999756,20.67000008
0,16302.05957,1127.050049,90.01999664,20.14999962
0,16338.29004,1126.790039,89.83000183,18.39999962
1,16595.66992,1122.189941,89.63999939,18.84000015
0,16643.68945,1121.380005,90.04000092,17.36000061
0,16601.60938,1115.52002,89.97000122,16.73999977
1,16870.85938,1117.300049,90.02999878,16.76000023
1,17068.42969,1112.849976,90.02999878,16.76000023
1,17162.38086,1106.97998,89.83000183,17.89999962
1,17165.03906,1107.209961,89.90000153,17.47999954
1,17246.16016,1109.880005,90.5,18.04000092
0,17147.41016,1115.439941,90.13999939,16.42000008
1,17083.91016,1109.680054,89.94999695,16.42000008
0,17076.21094,1109.319946,90.08000183,17.06999969
0,16966.2207,1116.890015,90.12000275,17.88999939
1,17159.2207,1116.410034,90.08000183,16.10000038
1,17213.51953,1111.26001,90.55999756,15.64999962
1,17213.51953,1115.550049,90.51999664,16.38999939
1,17371.28906,1116.319946,90.54000092,17.02000046
1,17307.85938,1116.030029,91.12999725,18.14999962
0,17390.60938,1131.949951,91.88999939,17.75
1,17318.53906,1133.540039,92.23000336,20.70000076
0,17062.98047,1134.25,91.86000061,17.88999939
1,17075.55078,1130.339966,91.73000336,16.65999985
1,17336.71094,1132.51001,91.80000305,16.31999969
1,17407.96094,1132.609985,91.81999969,15.97000027
1,17502.99023,1130.800049,91.80999756,15.61999989
0,17590.9707,1125.339966,91.87999725,15.76000023
0,17598.18945,1129.040039,92.05000305,16.02000046
1,17755.46094,1130.51001,92.44000244,15.82999992
0,17713.93945,1129.599976,92.59999847,15.47999954
0,17710.15039,1132.410034,92.23000336,15.06999969
1,17919.33008,1129.77002,92.23000336,15.06999969
1,17913.07031,1129.439941,92.55000305,16.44000053
0,17850.68945,1135.47998,92.63999939,16.20000076
0,17866.08984,1140.52002,92.36000061,19.0
0,17661.48047,1146.280029,92.12999725,16.18000031
1,17814.33008,1144.310059,92.23000336,16.17000008
1,17847.51953,1141.099976,92.75,17.12000084
0,17845.75,1148.699951,92.41000366,16.32999992
1,18034.18945,1143.410034,92.62000275,17.01000023
0,17895.25,1140.119995,92.69000244,18.45000076
0,17789.25,1141.5,92.88999939,22.5
0,17528.74023,1150.069946,92.97000122,19.72999954
0,17458.78906,1147.47998,92.75,17.90999985
1,17572.33008,1148.689941,92.81999969,17.69000053
1,17572.91992,1149.910034,92.91000366,17.20000076
0,17403.56055,1151.119995,92.65000153,17.57999992
1,17269.86914,1151.76001,92.43000031,19.36000061
1,17135.2207,1153.560059,92.31999969,18.30999947
1,17402.81055,1149.410034,91.86000061,17.70000076
0,17247.41016,1142.119995,92.16999817,18.23999977
1,17503.2793,1150.930054,92.05000305,19.45999908
1,17553.75977,1149.560059,92.08000183,18.04000092
1,17623.89063,1148.579956,92.26999664,17.96999931
0,17603.11914,1144.060059,92.23999786,17.28000069
0,17526.2793,1143.119995,92.80000305,16.14999962
0,17485.15039,1144.920044,92.94999695,16.71999931
0,17323.64063,1145.890015,93.05999756,16.79000092
0,17227.17969,1152.47998,92.91000366,16.17000008
0,17219.93945,1152.849976,93.04000092,15.59000015
0,16982.10938,1162.060059,92.51999664,15.44999981
0,16661.35938,1164.5,93.12999725,17.90999985
1,16826.26953,1176.449951,93.13999939,21.56999969
0,16375.40039,1169.680054,93.56999969,21.67000008
0,16341.94043,1175.390015,93.5,18.55999947
1,16741.83984,1174.23999,92.95999908,17.14999962
1,16818.73047,1167.609985,92.88999939,17.21999931
1,17045.85938,1163.469971,92.83000183,16.79000092
0,17066.96094,1163.329956,93.05999756,18.84000015
1,17209.92969,1170.0,92.69000244,16.38999939
1,17396.51953,1161.329956,92.65000153,16.19000053
1,17490.28906,1165.51001,92.62999725,16.47999954
1,17473.99023,1158.410034,92.44999695,16.11000061
0,17319.75977,1155.280029,92.23000336,16.40999985
1,17516.91992,1157.130005,92.04000092,16.40999985
1,17495.30078,1154.75,92.04000092,16.40999985
0,17428.86914,1155.540039,92.51999664,18.13999939
0,17270.49023,1161.0,92.65000153,17.95999908
0,17304.33008,1166.48999,92.48000336,18.79999924
1,17474.57031,1169.130005,92.58000183,20.95000076
1,17446.31055,1169.380005,92.62000275,19.37000084
1,17434.90039,1171.109985,92.65000153,19.45999908
1,17354.0,1170.800049,92.48999786,18.18000031
0,17278.69922,1165.219971,92.86000061,18.69000053
1,17276.78906,1174.420044,93.19999695,20.80999947
0,17078.2207,1181.030029,93.09999847,18.62999916
0,17260.18945,1174.699951,93.33000183,17.75
1,17313.76953,1179.199951,93.37999725,18.76000023
0,17181.43945,1176.959961,93.76999664,23.25
0,16855.46094,1186.890015,94.33999634,22.55999947
1,16934.76953,1187.430054,94.25,23.13999939
0,16570.89063,1183.719971,94.04000092,21.10000038
0,16460.75,1183.780029,93.98000336,21.29999924
0,16393.16016,1187.170044,94.26999664,21.0
1,16713.85938,1191.380005,94.22000122,19.54000092
0,16640.42969,1191.150024,94.06999969,18.77000046
0,16462.83984,1195.800049,94.51999664,19.85000038
1,16347.99023,1196.890015,94.08000183,18.63999939
1,16387.2793,1186.709961,93.95999908,16.86000061
1,16781.18945,1182.130005,93.94000244,16.29999924
0,16705.46094,1181.790039,93.94999695,16.30999947
1,16900.66992,1185.680054,93.79000092,15.69999981
0,16887.82031,1175.650024,93.55999756,15.48999977
0,16889.50977,1174.589966,93.76999664,15.01000023
0,16888.74023,1176.550049,93.61000061,15.43000031
1,16894.24023,1176.540039,93.80999756,15.23999977
1,17034.33984,1167.060059,93.94999695,15.97999954
0,17074.55078,1167.329956,93.86000061,16.97999954
0,17041.63086,1172.170044,93.34999847,16.53000069
0,16987.41016,1167.369995,94.12000275,16.26000023
1,17068.24023,1174.380005,93.87999725,16.40999985
1,17065.9707,1176.569946,94.08999634,16.03000069
0,17122.16016,1178.040039,93.86000061,15.10000038
1,17078.85938,1179.339966,94.34999847,15.43999958
0,17296.90039,1185.829956,94.31999969,16.47999954
0,17415.30078,1180.5,94.05000305,17.21999931
1,17541.35938,1199.859985,93.95999908,17.78000069
0,17559.65039,1177.5,94.84999847,18.72999954
0,17452.51953,1184.140015,95.18000031,17.65999985
1,17518.13086,1183.109985,95.12999725,16.29000092
1,17634.4707,1179.109985,95.41000366,16.48999977
0,17693.13086,1183.51001,95.91999817,16.37000084
0,17764.03906,1184.050049,95.83000183,17.11000061
0,17841.36914,1181.22998,95.54000092,17.59000015
1,17818.31055,1182.900024,96.06999969,17.90999985
1,17803.53906,1191.630005,96.5,19.17000008
0,17666.11914,1189.5,96.48999786,19.37999916
0,17642.51953,1189.949951,96.83999634,18.57999992
0,17654.18945,1187.880005,96.83999634,18.57999992
0,17369.39063,1190.219971,96.08999634,28.62000084
0,17328.08984,1194.609985,96.33999634,22.95999908
0,17427.75977,1190.73999,95.98999786,27.19000053
1,17585.99023,1182.859985,96.05000305,31.12000084
1,17724.88086,1177.109985,96.12999725,27.95000076
1,17697.14063,1176.77002,96.12000275,30.67000008
1,17688.21094,1183.140015,96.29000092,27.18000031
1,17796.91992,1180.560059,96.37000275,21.88999939
1,17832.41992,1176.839966,95.88999939,19.89999962
1,17914.11914,1172.560059,96.26999664,21.57999992
0,17826.25977,1177.329956,96.05000305,18.69000053
0,17767.59961,1178.969971,96.31999969,20.30999947
0,17599.36914,1185.099976,96.56999969,21.88999939
1,17660.09961,1184.22998,96.51000214,19.29000092
1,17785.74023,1184.400024,96.04000092,20.56999969
1,17812.58984,1186.150024,96.56999969,21.56999969
0,17669.10938,1186.390015,96.55000305,22.87000084
1,17789.26953,1190.119995,96.48999786,21.01000023
1,17826.83008,1191.27002,96.08000183,18.62999916
1,17946.66016,1187.77002,96.01999664,17.95999908
1,17961.64063,1185.5,96.01999664,17.95999908
0,18048.93945,1185.920044,96.08999634,17.68000031
1,18196.81055,1185.650024,96.19999695,17.54000092
0,18248.2793,1187.849976,95.93000031,16.95000076
0,18218.83984,1183.670044,95.97000122,17.32999992
1,18526.34961,1194.680054,96.29000092,16.90999985
0,18499.96094,1196.5,96.19000244,19.72999954
0,18367.91992,1199.25,96.25,19.61000061
1,18169.75977,1205.780029,95.73999786,18.76000023
0,18239.38086,1196.880005,95.98999786,19.39999962
1,18288.21094,1198.089966,95.62000275,18.40999985
1,18375.40039,1189.430054,95.0,17.62000084
0,18436.92969,1185.880005,94.79000092,20.30999947
0,18403.33008,1186.609985,95.16999817,19.19000053
0,18525.43945,1188.959961,95.16999817,19.19000053
0,18378.64063,1190.060059,95.73000336,22.79000092
0,18227.46094,1192.97998,95.51000214,23.85000038
1,18218.2793,1188.160034,95.73999786,25.59000015
0,17899.30078,1192.430054,95.63999939,28.85000038
0,17989.03906,1191.5,95.91999817,29.89999962
0,17701.11914,1195.660034,95.94999695,31.15999985
0,17674.40039,1196.099976,96.48999786,31.95999908
0,17674.40039,1200.630005,97.26000214,30.48999977
1,17674.40039,1203.459961,97.26999664,27.65999985
1,17674.40039,1199.959961,95.37999725,24.35000038
1,17674.40039,1200.329956,95.48000336,23.21999931
0,17900.30078,1197.089966,95.40000153,22.86000061
1,17966.56055,1196.849976,95.63999939,21.44000053
1,18151.75977,1196.359985,95.48999786,19.95999908
1,18338.05078,1194.030029,95.55000305,23.90999985
0,18310.93945,1199.349976,96.08000183,27.36000061
0,17997.66992,1199.23999,96.37000275,28.32999992
0,17951.81055,1197.359985,95.98999786,25.70000076
1,18231.4707,1196.829956,95.69999695,24.29000092
1,18268.57031,1196.75,95.80000305,28.11000061
1,18232.34961,1198.660034,96.04000092,27.75
0,18221.49023,1195.069946,96.04000092,27.75
0,17969.28906,1194.680054,96.02999878,28.80999947
1,18055.73047,1192.680054,96.19000244,31.02000046
0,17594.55078,1192.400024,97.13999939,30.31999969
1,17652.17969,1206.0,96.62000275,27.59000015
1,17652.17969,1197.589966,96.70999908,30.14999962
1,17867.59961,1205.369995,97.38999939,30.73999977
1,17934.40039,1203.150024,97.79000092,30.47999954
0,17736.51953,1205.98999,98.65000153,31.97999954
0,17178.68945,1216.709961,99.29000092,36.45000076
0,16825.25,1232.300049,99.05999756,35.13000107
1,17433.19922,1223.22998,98.51000214,30.22999954
0,17264.74023,1228.599976,99.12000275,30.75
0,17263.03906,1236.890015,99.05999756,31.77000046
0,16926.06055,1242.050049,99.06999969,29.82999992
1,16940.83008,1241.680054,98.37999725,26.67000008
1,17448.2207,1223.0,98.01000214,25.67000008
1,17456.51953,1210.329956,98.23000336,23.87000084
0,17560.35938,1210.369995,98.5,23.53000069
1,17559.71094,1219.780029,98.48999786,22.94000053
1,17731.36914,1214.949951,98.62000275,23.56999969
0,17699.06055,1218.01001,98.79000092,21.67000008
1,17676.94922,1217.550049,98.80999756,20.80999947
0,17520.00977,1224.380005,99.08999634,19.62999916
1,17548.66016,1223.660034,98.40000153,18.89999962
1,17740.56055,1209.130005,97.79000092,19.32999992
1,17693.4707,1210.439941,98.30999756,20.55999947
0,17625.58984,1214.5,98.62999725,19.62999916
1,17625.58984,1218.780029,98.98999786,18.56999969
1,17625.58984,1213.900024,99.47000122,21.03000069
0,17522.5,1218.75,99.59999847,22.10000038
0,17178.63086,1217.599976,99.75,21.54999924
1,17284.53906,1222.660034,99.80000305,21.15999985
0,17048.36914,1228.23999,99.93000031,24.37000084
0,16990.91016,1235.050049,100.2900009,24.26000023
1,17301.65039,1228.599976,99.87999725,21.81999969
1,17245.65039,1223.119995,100.3199997,22.70000076
0,17004.17969,1230.099976,100.3199997,22.70000076
0,16898.86914,1228.089966,100.7799988,22.17000008
1,16993.40039,1235.349976,100.9599991,21.37000084
0,17148.88086,1239.599976,100.3899994,20.31999969
1,17127.94922,1234.089966,100.5800018,22.68000031
0,17025.08984,1242.48999,101.2200012,28.20999908
0,16620.90039,1243.160034,101.75,27.02000046
1,16644.78906,1249.209961,102.3000031,33.52000046
0,16303.34961,1260.709961,102.9499969,31.60000038
1,16419.38086,1266.280029,103.6200027,29.98999977
1,16592.17969,1272.290039,102.9599991,33.40000153
0,16592.17969,1262.530029,103.7399979,32.34000015
0,16498.90039,1266.75,103.4700012,29.25
0,16565.83008,1261.060059,102.5899963,25.42000008
0,16408.19922,1268.699951,103.6600037,30.19000053
0,16061.7002,1274.859985,103.9199982,32.99000168
0,16006.25,1276.550049,103.8499985,32.56000137
0,15616.67969,1278.150024,104.8499985,31.77000046
1,15832.54004,1290.75,104.5599976,28.87000084
0,15901.04004,1277.569946,104.1900024,27.46999931
1,16056.08984,1279.849976,103.3600006,26.10000038
1,16296.86035,1266.660034,103.8099976,30.95999908
