Variable1,Variable2,Correlation,AbsCorrelation,Flag
Return,Log_Return,0.9996704630757671,0.9996704630757671,High
KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,0.9767425285238635,0.9767425285238635,High
MACD,MACD_Signal,0.9686510979738743,0.9686510979738743,High
US_GDP,KR_GDP,0.9125711127522285,0.9125711127522285,High
US_Spread_10Y_3Y,KR_Spread_10Y_3Y,0.909632310799295,0.909632310799295,High
USD_KRW,US_GDP,0.8951183090138132,0.8951183090138132,High
Open,Transaction_Value,0.882722639000339,0.882722639000339,High
Volatility_20,ATR_14,0.8811203017083514,0.8811203017083514,High
Open,ATR_14,0.8593765692937082,0.8593765692937082,High
US_UNRATE,US_Spread_10Y_3Y,0.8508463136614572,0.8508463136614572,High
S&P500,US_GDP,0.8449479916617256,0.8449479916617256,High
KR_Interest_Rate_3Y,US_Spread_10Y_3Y,-0.8337870305228439,0.8337870305228439,High
US_Interest_Rate_3Y,KR_Interest_Rate_3Y,0.8270074279036844,0.8270074279036844,High
US_Interest_Rate_3Y,KR_GDP,0.8240376645581141,0.8240376645581141,High
US_UNRATE,KR_Spread_10Y_3Y,0.8135060246415265,0.8135060246415265,High
Dollar_Index,KR_Spread_10Y_3Y,-0.8117010067201171,0.8117010067201171,High
USD_KRW,KR_GDP,0.803218641084834,0.803218641084834,High
Open,MACD_Signal,0.8019656867573071,0.8019656867573071,High
KR_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7982448869767962,0.7982448869767962,High
Open,MACD,0.7972575190387793,0.7972575190387793,High
MACD,Transaction_Value,0.7935112026227319,0.7935112026227319,High
MACD_Signal,Transaction_Value,0.7911691032788041,0.7911691032788041,High
Dollar_Index,US_Spread_10Y_3Y,-0.7843101775148379,0.7843101775148379,High
US_Interest_Rate_3Y,KR_Interest_Rate_10Y,0.7836807666495466,0.7836807666495466,High
Dollar_Index,KR_Interest_Rate_3Y,0.7790090925096628,0.7790090925096628,High
Dollar_Index,US_Interest_Rate_3Y,0.7781080966848786,0.7781080966848786,High
US_UNRATE,KR_Interest_Rate_3Y,-0.7438424113331508,0.7438424113331508,High
USD_KRW,US_Interest_Rate_3Y,0.732188625419882,0.732188625419882,High
ATR_14,Transaction_Value,0.7312368109309724,0.7312368109309724,High
US_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7278349240529121,0.7278349240529121,High
KR_Interest_Rate_10Y,US_Spread_10Y_3Y,-0.7275138106455404,0.7275138106455404,High
Dollar_Index,US_UNRATE,-0.6938312671038501,0.6938312671038501,Normal
Dollar_Index,KR_Interest_Rate_10Y,0.6933055235844456,0.6933055235844456,Normal
US_Interest_Rate_3Y,US_Spread_10Y_3Y,-0.6876561282619963,0.6876561282619963,Normal
S&P500,US_M2,0.6857520679800644,0.6857520679800644,Normal
S&P500,USD_KRW,0.6769386481374559,0.6769386481374559,Normal
US_GDP,US_Interest_Rate_3Y,0.6733964555445088,0.6733964555445088,Normal
Open,S&P500,0.665641680837139,0.665641680837139,Normal
ATR_14,US_M2,0.6602991201872626,0.6602991201872626,Normal
KR_Interest_Rate_10Y,KR_Spread_10Y_3Y,-0.6505301507000009,0.6505301507000009,Normal
US_UNRATE,KR_Interest_Rate_10Y,-0.6483213992876702,0.6483213992876702,Normal
Open,US_M2,0.6442193209107016,0.6442193209107016,Normal
S&P500,KR_GDP,0.6437136901424464,0.6437136901424464,Normal
ATR_14,MACD_Signal,0.6352672805956523,0.6352672805956523,Normal
MACD_Signal,S&P500,0.634885033678216,0.634885033678216,Normal
Open,Volatility_20,0.622968066794028,0.622968066794028,Normal
MACD,S&P500,0.616841835363303,0.616841835363303,Normal
RSI_14,MACD,0.6055548530777377,0.6055548530777377,Normal
US_Interest_Rate_3Y,US_UNRATE,-0.5791559734241647,0.5791559734241647,Normal
Volatility_20,US_M2,0.5780867571079509,0.5780867571079509,Normal
ATR_14,MACD,0.5763066606063365,0.5763066606063365,Normal
USD_KRW,US_M2,0.5723048929439457,0.5723048929439457,Normal
US_GDP,US_M2,0.5643990871294811,0.5643990871294811,Normal
Transaction_Value,S&P500,0.560671335029011,0.560671335029011,Normal
ATR_14,S&P500,0.5581828972351555,0.5581828972351555,Normal
MACD_Signal,US_GDP,0.5493525637963077,0.5493525637963077,Normal
MACD_Signal,US_M2,0.5416854757790545,0.5416854757790545,Normal
MACD,US_M2,0.5223868655451697,0.5223868655451697,Normal
MACD,US_GDP,0.5209331243520304,0.5209331243520304,Normal
USD_KRW,Dollar_Index,0.5075289035027637,0.5075289035027637,Normal
USD_KRW,KR_Interest_Rate_10Y,0.500001261366119,0.500001261366119,Normal
Return,Net_Purchase_Financial_Investment,0.4983265293664542,0.4983265293664542,Normal
Log_Return,Net_Purchase_Financial_Investment,0.49639046872410303,0.49639046872410303,Normal
RSI_14,MACD_Signal,0.494274589521639,0.494274589521639,Normal
Volatility_20,Transaction_Value,0.4940934600447488,0.4940934600447488,Normal
Open,US_Spread_10Y_3Y,0.49139396174033423,0.49139396174033423,Normal
Transaction_Value,US_M2,0.4892193464248356,0.4892193464248356,Normal
USD_KRW,KR_Interest_Rate_3Y,0.4821966993303625,0.4821966993303625,Normal
KR_GDP,KR_Interest_Rate_3Y,0.4806436023257836,0.4806436023257836,Normal
KR_GDP,KR_Interest_Rate_10Y,0.4762291028214639,0.4762291028214639,Normal
Volatility_20,USD_KRW,0.4681627084550055,0.4681627084550055,Normal
ATR_14,US_GDP,0.4653948430007421,0.4653948430007421,Normal
Volume,Transaction_Value,0.4616187819726855,0.4616187819726855,Normal
S&P500,US_Spread_10Y_3Y,0.46070670779125045,0.46070670779125045,Normal
ATR_14,USD_KRW,0.451126342262922,0.451126342262922,Normal
Volatility_20,S&P500,0.45042131297949417,0.45042131297949417,Normal
Volatility_20,US_GDP,0.44981676357629824,0.44981676357629824,Normal
Volume,KR_Spread_10Y_3Y,0.4428965990386806,0.4428965990386806,Normal
Open,KR_Spread_10Y_3Y,0.4419003604143374,0.4419003604143374,Normal
Log_Return,Net_Purchase_Foreigner,0.44096214098678016,0.44096214098678016,Normal
Return,Net_Purchase_Foreigner,0.4391066913147891,0.4391066913147891,Normal
Open,Dollar_Index,-0.4363654580126936,0.4363654580126936,Normal
Open,US_GDP,0.43272782149722044,0.43272782149722044,Normal
MACD_Signal,USD_KRW,0.43126783568616617,0.43126783568616617,Normal
Dollar_Index,KR_GDP,0.4121552346027563,0.4121552346027563,Normal
Volume,US_UNRATE,0.4111270009600082,0.4111270009600082,Normal
Volume,US_Interest_Rate_3Y,-0.4087569538854572,0.4087569538854572,Normal
Open,US_UNRATE,0.4073600503812544,0.4073600503812544,Normal
Volume,Dollar_Index,-0.40150472711640317,0.40150472711640317,Normal
MACD,USD_KRW,0.39973786278336576,0.39973786278336576,Normal
Transaction_Value,US_Spread_10Y_3Y,0.3983169524884927,0.3983169524884927,Normal
Transaction_Value,KR_Spread_10Y_3Y,0.38636635514614187,0.38636635514614187,Normal
Volatility_20,MACD_Signal,0.3710602419269707,0.3710602419269707,Normal
Transaction_Value,Dollar_Index,-0.37037748434451984,0.37037748434451984,Normal
Transaction_Value,US_UNRATE,0.36537441632967976,0.36537441632967976,Normal
KR_GDP,KR_Spread_10Y_3Y,-0.36466983347279547,0.36466983347279547,Normal
RSI_14,S&P500,0.3631872250913443,0.3631872250913443,Normal
Transaction_Value,US_GDP,0.36081624894102915,0.36081624894102915,Normal
S&P500,US_UNRATE,0.3602222018195793,0.3602222018195793,Normal
Open,Volume,0.35622947585535636,0.35622947585535636,Normal
Volume,KR_GDP,-0.35593745564805485,0.35593745564805485,Normal
US_GDP,KR_Interest_Rate_10Y,0.34730478189886066,0.34730478189886066,Normal
VIX,KR_GDP,-0.3470593850737779,0.3470593850737779,Normal
Transaction_Value,Net_Purchase_Foreigner,-0.34563120062743286,0.34563120062743286,Normal
MACD_Signal,KR_GDP,0.33763778433952063,0.33763778433952063,Normal
US_M2,US_Spread_10Y_3Y,0.3358259628091633,0.3358259628091633,Normal
RSI_14,Transaction_Value,0.3341406453078204,0.3341406453078204,Normal
Open,USD_KRW,0.33274558670367155,0.33274558670367155,Normal
Open,RSI_14,0.33059971530621574,0.33059971530621574,Normal
Volume,US_Spread_10Y_3Y,0.3230982365909169,0.3230982365909169,Normal
MACD_Signal,Net_Purchase_Foreigner,-0.3229653650961121,0.3229653650961121,Normal
ATR_14,Net_Purchase_Foreigner,-0.321259037851621,0.321259037851621,Normal
RSI_14,US_GDP,0.3203722357417698,0.3203722357417698,Normal
US_GDP,KR_Interest_Rate_3Y,0.31866523184801326,0.31866523184801326,Normal
MACD,KR_GDP,0.3174707007379337,0.3174707007379337,Normal
RSI_14,VIX,-0.3173958650607974,0.3173958650607974,Normal
Open,Net_Purchase_Foreigner,-0.3164400479115044,0.3164400479115044,Normal
VIX,US_M2,0.3149837151189855,0.3149837151189855,Normal
Volatility_20,MACD,0.3094668216190788,0.3094668216190788,Normal
USD_KRW,KR_Spread_10Y_3Y,-0.30339063063582594,0.30339063063582594,Normal
ATR_14,Volume,0.2968157210238996,0.2968157210238996,Normal
Open,Net_Purchase_Financial_Investment,0.2965166901532154,0.2965166901532154,Normal
S&P500,VIX,-0.2944536218580435,0.2944536218580435,Normal
ATR_14,US_Spread_10Y_3Y,0.294061367054669,0.294061367054669,Normal
MACD,Net_Purchase_Foreigner,-0.29023345388976757,0.29023345388976757,Normal
MACD,Net_Purchase_Investment_Trust,-0.28969647769237417,0.28969647769237417,Normal
S&P500,KR_Spread_10Y_3Y,0.2858155012572439,0.2858155012572439,Normal
Volume,USD_KRW,-0.2806997192189503,0.2806997192189503,Normal
Volatility_20,KR_GDP,0.27585042267367726,0.27585042267367726,Normal
Volatility_20,VIX,0.27054099665814174,0.27054099665814174,Normal
Volatility_20,Net_Purchase_Foreigner,-0.2702898801359024,0.2702898801359024,Normal
US_M2,KR_GDP,0.2694138463887331,0.2694138463887331,Normal
Transaction_Value,USD_KRW,0.2671257163128313,0.2671257163128313,Normal
Volume,US_GDP,-0.26626002740502663,0.26626002740502663,Normal
Volume,KR_Interest_Rate_3Y,-0.2606976396231141,0.2606976396231141,Normal
Log_Return,Net_Purchase_Investment_Trust,0.2605305322022296,0.2605305322022296,Normal
Return,Net_Purchase_Investment_Trust,0.26013361086360076,0.26013361086360076,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,0.25891551540617574,0.25891551540617574,Normal
Log_Return,RSI_14,0.256134387433545,0.256134387433545,Normal
Return,RSI_14,0.2558057889434491,0.2558057889434491,Normal
Volume,Volume_ROC,0.25338274613556633,0.25338274613556633,Normal
ATR_14,Net_Purchase_Financial_Investment,0.2531395930437617,0.2531395930437617,Normal
MACD,Net_Purchase_Financial_Investment,0.25060741028369476,0.25060741028369476,Normal
MACD_Signal,US_Spread_10Y_3Y,0.2474468434430558,0.2474468434430558,Normal
Transaction_Value,Net_Purchase_Investment_Trust,-0.24707611274129068,0.24707611274129068,Normal
KR_GDP,US_Spread_10Y_3Y,-0.2432866565657753,0.2432866565657753,Normal
RSI_14,US_M2,0.24180240707935255,0.24180240707935255,Normal
MACD_Signal,Net_Purchase_Investment_Trust,-0.24144562632697855,0.24144562632697855,Normal
VIX,US_GDP,-0.23975752970408395,0.23975752970408395,Normal
ATR_14,KR_GDP,0.23565864858937427,0.23565864858937427,Normal
Dollar_Index,US_GDP,0.23382763703051912,0.23382763703051912,Normal
MACD,US_Spread_10Y_3Y,0.23307818279122083,0.23307818279122083,Normal
US_UNRATE,KR_GDP,-0.23221318940083116,0.23221318940083116,Normal
Volatility_20,KR_Interest_Rate_10Y,0.23061927503114432,0.23061927503114432,Normal
MACD_Signal,US_UNRATE,0.2280393289896695,0.2280393289896695,Normal
MACD_Signal,Volume,0.226559683717318,0.226559683717318,Normal
MACD_Signal,Net_Purchase_Financial_Investment,0.22567923567883208,0.22567923567883208,Normal
MACD_Signal,Dollar_Index,-0.22237905987632492,0.22237905987632492,Normal
US_M2,KR_Spread_10Y_3Y,0.22133624831045828,0.22133624831045828,Normal
ATR_14,KR_Spread_10Y_3Y,0.22110565705027427,0.22110565705027427,Normal
Net_Purchase_Financial_Investment,S&P500,0.21980843009123852,0.21980843009123852,Normal
Transaction_Value,Net_Purchase_Financial_Investment,0.2196246584738299,0.2196246584738299,Normal
S&P500,US_Interest_Rate_3Y,0.2189768153328569,0.2189768153328569,Normal
MACD,Net_Purchase_Pension_Fund,-0.2162626588964609,0.2162626588964609,Normal
MACD,Dollar_Index,-0.21588115300964264,0.21588115300964264,Normal
RSI_14,KR_GDP,0.2148621744794127,0.2148621744794127,Normal
MACD_Signal,KR_Spread_10Y_3Y,0.21431477864263132,0.21431477864263132,Normal
Open,Net_Purchase_Pension_Fund,-0.21366170953127775,0.21366170953127775,Normal
MACD,Volume,0.21148792491113552,0.21148792491113552,Normal
MACD,KR_Spread_10Y_3Y,0.2095304761781134,0.2095304761781134,Normal
MACD,VIX,-0.2094940773692816,0.2094940773692816,Normal
Open,Net_Purchase_Investment_Trust,-0.20894183367280936,0.20894183367280936,Normal
MACD,US_UNRATE,0.207983588638824,0.207983588638824,Normal
ATR_14,KR_Interest_Rate_10Y,0.2072924083160417,0.2072924083160417,Normal
MACD_Signal,Net_Purchase_Pension_Fund,-0.20153814958060942,0.20153814958060942,Normal
Net_Purchase_Financial_Investment,US_M2,0.20143921067034096,0.20143921067034096,Normal
RSI_14,USD_KRW,0.19628885731964366,0.19628885731964366,Normal
Net_Purchase_Foreigner,US_M2,-0.18987572211814074,0.18987572211814074,Normal
Transaction_Value,Net_Purchase_Pension_Fund,-0.18976627297451756,0.18976627297451756,Normal
ATR_14,Dollar_Index,-0.18814933082693192,0.18814933082693192,Normal
Volatility_20,US_Spread_10Y_3Y,0.18761253121421873,0.18761253121421873,Normal
Volatility_20,Net_Purchase_Financial_Investment,0.18761251865313355,0.18761251865313355,Normal
Net_Purchase_Pension_Fund,Dollar_Index,0.18647019781323182,0.18647019781323182,Normal
S&P500,Dollar_Index,-0.18388439895315722,0.18388439895315722,Normal
ATR_14,US_UNRATE,0.18386294812846457,0.18386294812846457,Normal
VIX,US_Interest_Rate_3Y,-0.18313777757750038,0.18313777757750038,Normal
Volatility_20,Volume,0.18230235069253836,0.18230235069253836,Normal
USD_KRW,US_UNRATE,-0.181450693792887,0.181450693792887,Normal
VIX,US_UNRATE,-0.18021884614818098,0.18021884614818098,Normal
Net_Purchase_Financial_Investment,US_GDP,0.17673103187462436,0.17673103187462436,Normal
RSI_14,Net_Purchase_Investment_Trust,-0.1733544115130347,0.1733544115130347,Normal
Net_Purchase_Investment_Trust,S&P500,-0.17294456523231988,0.17294456523231988,Normal
MACD_Signal,VIX,-0.1722894907025063,0.1722894907025063,Normal
Volume,KR_Interest_Rate_10Y,-0.17105293413881825,0.17105293413881825,Normal
RSI_14,Net_Purchase_Financial_Investment,0.1702135681109976,0.1702135681109976,Normal
Net_Purchase_Foreigner,VIX,-0.16767522694333323,0.16767522694333323,Normal
MACD_Signal,KR_Interest_Rate_10Y,0.16102242966545796,0.16102242966545796,Normal
Open,KR_GDP,0.160432243831162,0.160432243831162,Normal
ATR_14,VIX,0.15896432927750714,0.15896432927750714,Normal
Volatility_20,KR_Interest_Rate_3Y,0.1586117742782282,0.1586117742782282,Normal
Net_Purchase_Foreigner,S&P500,-0.15774929490541234,0.15774929490541234,Normal
MACD,KR_Interest_Rate_10Y,0.1543071001512239,0.1543071001512239,Normal
Net_Purchase_Foreigner,Net_Purchase_Investment_Trust,0.15365455714814702,0.15365455714814702,Normal
US_GDP,KR_Spread_10Y_3Y,-0.1530992572217869,0.1530992572217869,Normal
Net_Purchase_Financial_Investment,USD_KRW,0.1522401092642214,0.1522401092642214,Normal
RSI_14,Net_Purchase_Pension_Fund,-0.15214736088234426,0.15214736088234426,Normal
Transaction_Value,KR_GDP,0.14890457216147013,0.14890457216147013,Normal
USD_KRW,US_Spread_10Y_3Y,-0.14508124764253133,0.14508124764253133,Normal
Volume,Net_Purchase_Foreigner,-0.14479867402531768,0.14479867402531768,Normal
MACD_Signal,US_Interest_Rate_3Y,0.14429069885395274,0.14429069885395274,Normal
Open,Return,0.14204483420837188,0.14204483420837188,Normal
S&P500,KR_Interest_Rate_3Y,-0.14183340879705206,0.14183340879705206,Normal
Return,MACD,0.14071602359944269,0.14071602359944269,Normal
Volume,Net_Purchase_Pension_Fund,-0.13794587547341217,0.13794587547341217,Normal
MACD,US_Interest_Rate_3Y,0.13691003797775203,0.13691003797775203,Normal
Return,S&P500,0.1350191213902919,0.1350191213902919,Normal
Log_Return,MACD,0.13465930829843487,0.13465930829843487,Normal
Open,Log_Return,0.13396863090434627,0.13396863090434627,Normal
Net_Purchase_Investment_Trust,US_GDP,-0.13142341219446632,0.13142341219446632,Normal
Volatility_20,US_Interest_Rate_3Y,0.13103858137767208,0.13103858137767208,Normal
Log_Return,S&P500,0.12962723320197597,0.12962723320197597,Normal
Open,US_Interest_Rate_3Y,-0.12793126962929946,0.12793126962929946,Normal
RSI_14,US_Interest_Rate_3Y,0.12541067427914698,0.12541067427914698,Normal
Net_Purchase_Foreigner,US_Spread_10Y_3Y,-0.1220155447029004,0.1220155447029004,Normal
Log_Return,VIX,-0.12178662261390427,0.12178662261390427,Normal
Net_Purchase_Pension_Fund,US_Interest_Rate_3Y,0.11929442024021332,0.11929442024021332,Normal
Net_Purchase_Pension_Fund,KR_GDP,0.11907255440866732,0.11907255440866732,Normal
Return,VIX,-0.11802021758208399,0.11802021758208399,Normal
Net_Purchase_Foreigner,USD_KRW,-0.11713101952658897,0.11713101952658897,Normal
ATR_14,Net_Purchase_Pension_Fund,-0.11595270039545098,0.11595270039545098,Normal
Net_Purchase_Investment_Trust,US_M2,-0.11580747736222506,0.11580747736222506,Normal
Return,ATR_14,0.1155529299370209,0.1155529299370209,Normal
ATR_14,RSI_14,0.11539798666030178,0.11539798666030178,Normal
Volume,VIX,0.11469884498090006,0.11469884498090006,Normal
Net_Purchase_Pension_Fund,USD_KRW,0.11438228471115093,0.11438228471115093,Normal
Return,US_GDP,0.11366495360649041,0.11366495360649041,Normal
RSI_14,Dollar_Index,-0.113187200532444,0.113187200532444,Normal
Net_Purchase_Investment_Trust,VIX,0.11295024365441474,0.11295024365441474,Normal
Net_Purchase_Foreigner,KR_Spread_10Y_3Y,-0.11053700283150389,0.11053700283150389,Normal
Net_Purchase_Foreigner,US_GDP,-0.10971545687779583,0.10971545687779583,Normal
Dollar_Index,VIX,0.10968123278886698,0.10968123278886698,Normal
Net_Purchase_Foreigner,US_UNRATE,-0.1085146327369657,0.1085146327369657,Normal
Log_Return,US_GDP,0.1084764864155068,0.1084764864155068,Normal
Net_Purchase_Financial_Investment,US_Spread_10Y_3Y,0.10734305274395832,0.10734305274395832,Normal
Return,US_M2,0.10684228005864738,0.10684228005864738,Normal
Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,0.10680533807119909,0.10680533807119909,Normal
Net_Purchase_Pension_Fund,VIX,0.1053738917343825,0.1053738917343825,Normal
Log_Return,ATR_14,0.10512235656844879,0.10512235656844879,Normal
Net_Purchase_Financial_Investment,KR_GDP,0.10498836629665625,0.10498836629665625,Normal
RSI_14,US_UNRATE,0.10298315277451318,0.10298315277451318,Normal
ATR_14,Net_Purchase_Investment_Trust,-0.10281613257367098,0.10281613257367098,Normal
ATR_14,KR_Interest_Rate_3Y,0.1019783661029408,0.1019783661029408,Normal
Open,KR_Interest_Rate_3Y,-0.10087919298849966,0.10087919298849966,Normal
Log_Return,US_M2,0.10014353946371546,0.10014353946371546,Normal
Return,MACD_Signal,0.0980816452387625,0.0980816452387625,Normal
RSI_14,KR_Spread_10Y_3Y,0.09785916161807864,0.09785916161807864,Normal
Transaction_Value,US_Interest_Rate_3Y,-0.09743969490916195,0.09743969490916195,Normal
Net_Purchase_Investment_Trust,KR_GDP,-0.0965327033678115,0.0965327033678115,Normal
Dollar_Index,US_M2,-0.0955797774237457,0.0955797774237457,Normal
Net_Purchase_Pension_Fund,KR_Spread_10Y_3Y,-0.09468146075377888,0.09468146075377888,Normal
Net_Purchase_Investment_Trust,USD_KRW,-0.09400585645273891,0.09400585645273891,Normal
Return,Transaction_Value,0.09083916566282572,0.09083916566282572,Normal
Log_Return,MACD_Signal,0.0903274920558807,0.0903274920558807,Normal
RSI_14,Net_Purchase_Foreigner,0.08904512456861265,0.08904512456861265,Normal
RSI_14,US_Spread_10Y_3Y,0.08851373475640095,0.08851373475640095,Normal
Volatility_20,KR_Spread_10Y_3Y,0.08603419568390208,0.08603419568390208,Normal
Transaction_Value,Volume_ROC,0.08534524512930959,0.08534524512930959,Normal
Volume,S&P500,-0.08482858510733036,0.08482858510733036,Normal
Net_Purchase_Financial_Investment,US_UNRATE,0.08314601766541067,0.08314601766541067,Normal
Net_Purchase_Financial_Investment,Dollar_Index,-0.08285427692143969,0.08285427692143969,Normal
Volatility_20,US_UNRATE,0.0822728012396441,0.0822728012396441,Normal
Transaction_Value,KR_Interest_Rate_3Y,-0.0796470273202899,0.0796470273202899,Normal
Log_Return,Transaction_Value,0.07924841713903617,0.07924841713903617,Normal
Net_Purchase_Financial_Investment,KR_Spread_10Y_3Y,0.07915877113222809,0.07915877113222809,Normal
Return,USD_KRW,0.07878998162166106,0.07878998162166106,Normal
Net_Purchase_Pension_Fund,US_GDP,0.07730260673220803,0.07730260673220803,Normal
S&P500,KR_Interest_Rate_10Y,-0.07709423150347675,0.07709423150347675,Normal
Volume,Net_Purchase_Investment_Trust,-0.07376322164249627,0.07376322164249627,Normal
Log_Return,USD_KRW,0.07357385657976741,0.07357385657976741,Normal
Net_Purchase_Foreigner,Dollar_Index,0.07342458982669169,0.07342458982669169,Normal
Log_Return,Volume_ROC,-0.07154124077371378,0.07154124077371378,Normal
Transaction_Value,VIX,-0.07128521491120274,0.07128521491120274,Normal
Net_Purchase_Financial_Investment,VIX,-0.0711268069451419,0.0711268069451419,Normal
Return,KR_GDP,0.07105175220928965,0.07105175220928965,Normal
Return,Volume_ROC,-0.07072430544083234,0.07072430544083234,Normal
Return,Volatility_20,0.07019021791717193,0.07019021791717193,Normal
Log_Return,KR_GDP,0.06799480413641308,0.06799480413641308,Normal
MACD_Signal,KR_Interest_Rate_3Y,0.06719949830783524,0.06719949830783524,Normal
RSI_14,Volume,0.06578742992731555,0.06578742992731555,Normal
US_M2,US_Interest_Rate_3Y,0.0634426773094752,0.0634426773094752,Normal
MACD,KR_Interest_Rate_3Y,0.06322436576567743,0.06322436576567743,Normal
Open,VIX,-0.06130106557661765,0.06130106557661765,Normal
Net_Purchase_Financial_Investment,KR_Interest_Rate_10Y,0.061129723987313894,0.061129723987313894,Normal
Log_Return,Volatility_20,0.05949618930225093,0.05949618930225093,Normal
US_M2,KR_Interest_Rate_10Y,0.05445620481351263,0.05445620481351263,Normal
Volume_ROC,Net_Purchase_Foreigner,0.05441889965503913,0.05441889965503913,Normal
Return,Dollar_Index,-0.052693648360784,0.052693648360784,Normal
Net_Purchase_Pension_Fund,US_UNRATE,-0.05177447555412288,0.05177447555412288,Normal
Log_Return,Dollar_Index,-0.051676813968009556,0.051676813968009556,Normal
Return,US_Spread_10Y_3Y,0.05149501169037659,0.05149501169037659,Normal
Net_Purchase_Pension_Fund,US_Spread_10Y_3Y,-0.05036746980495068,0.05036746980495068,Normal
Net_Purchase_Pension_Fund,KR_Interest_Rate_10Y,-0.05034543604729642,0.05034543604729642,Normal
Log_Return,US_Spread_10Y_3Y,0.04904781380037922,0.04904781380037922,Normal
Net_Purchase_Investment_Trust,US_UNRATE,-0.046252042924554954,0.046252042924554954,Normal
Net_Purchase_Investment_Trust,US_Spread_10Y_3Y,-0.045716407937044214,0.045716407937044214,Normal
Return,KR_Spread_10Y_3Y,0.045367185420779624,0.045367185420779624,Normal
Net_Purchase_Investment_Trust,US_Interest_Rate_3Y,-0.044315448599470675,0.044315448599470675,Normal
Log_Return,KR_Spread_10Y_3Y,0.043779948885158085,0.043779948885158085,Normal
Net_Purchase_Foreigner,KR_Interest_Rate_10Y,-0.04268643788221529,0.04268643788221529,Normal
ATR_14,US_Interest_Rate_3Y,0.0422164865010571,0.0422164865010571,Normal
Net_Purchase_Foreigner,KR_GDP,-0.04085633772324008,0.04085633772324008,Normal
Volatility_20,Dollar_Index,-0.03965346534617071,0.03965346534617071,Normal
US_M2,US_UNRATE,0.03726368772483592,0.03726368772483592,Normal
Transaction_Value,KR_Interest_Rate_10Y,0.037110034451900475,0.037110034451900475,Normal
Return,US_UNRATE,0.03652701803238877,0.03652701803238877,Normal
