Variable,VIF,Status
US_GDP,8.818905142227596,Watch
US_Interest_Rate_3Y,8.760826397577755,Watch
Open,7.847586744982999,Watch
USD_KRW,7.069357569849966,Watch
S&P500,6.407687415643486,Watch
Transaction_Value,5.61755921462189,Watch
ATR_14,5.211632913725614,Watch
KR_Interest_Rate_3Y,4.313016620741535,Good
MACD_Signal,3.9839480501273004,Good
KR_Interest_Rate_10Y,3.851008739067783,Good
MACD,3.826148765154356,Good
US_Spread_10Y_3Y,3.5866134389787017,Good
KR_GDP,3.123158383103084,Good
KR_Spread_10Y_3Y,3.0039376108739866,Good
VIX,2.8914779598431375,Good
Dollar_Index,2.840954262843907,Good
US_UNRATE,2.2405048421680918,Good
Volatility_20,2.185752977057401,Good
Return,1.960076766500708,Good
Log_Return,1.944102174382188,Good
Volume,1.7695209393534121,Good
RSI_14,1.2991508284273336,Good
US_M2,1.2607928953960041,Good
Net_Purchase_Pension_Fund,1.195935038258198,Good
Net_Purchase_Foreigner,1.1836680221239844,Good
Net_Purchase_Investment_Trust,1.178294748784635,Good
Net_Purchase_Financial_Investment,1.1696914025389407,Good
Volume_ROC,1.1310144603043697,Good
