Variable1,Variable2,Correlation,AbsCorrelation,Flag
Return,Log_Return,0.9996704630757671,0.9996704630757671,High
High,Open,0.9996438915554874,0.9996438915554874,High
Low,Open,0.999339138294026,0.999339138294026,High
High,Low,0.9993070705220385,0.9993070705220385,High
US_GDP,US_CPI,0.9882021636810975,0.9882021636810975,High
KR_Interest_Rate_10Y,KR_Interest_Rate_3Y,0.9767425285238635,0.9767425285238635,High
MACD,MACD_Signal,0.9686510979738743,0.9686510979738743,High
US_Interest_Rate_10Y,KR_CPI,0.9685575811108222,0.9685575811108222,High
KR_GDP,KR_CPI,0.9682952793178917,0.9682952793178917,High
Nikkei225,TaiwanWeighted,0.9598429842111331,0.9598429842111331,High
US_Interest_Rate_10Y,US_Interest_Rate_3Y,0.9466062667854189,0.9466062667854189,High
S&P500,Nikkei225,0.9353415877001875,0.9353415877001875,High
US_CPI,KR_CPI,0.9350327163249814,0.9350327163249814,High
S&P500,TaiwanWeighted,0.9332962505875795,0.9332962505875795,High
US_CPI,KR_GDP,0.9312774536839994,0.9312774536839994,High
US_Interest_Rate_10Y,KR_GDP,0.9236286979178295,0.9236286979178295,High
USD_KRW,US_CPI,0.9181910056421897,0.9181910056421897,High
US_GDP,KR_GDP,0.9125711127522285,0.9125711127522285,High
US_Interest_Rate_3Y,KR_CPI,0.9106869969104484,0.9106869969104484,High
US_Spread_10Y_3Y,KR_Spread_10Y_3Y,0.909632310799295,0.909632310799295,High
US_Interest_Rate_10Y,US_CPI,0.8979900972781342,0.8979900972781342,High
USD_KRW,US_GDP,0.8951183090138132,0.8951183090138132,High
US_GDP,KR_CPI,0.8917915657243021,0.8917915657243021,High
High,Transaction_Value,0.8853150312674786,0.8853150312674786,High
Open,Transaction_Value,0.882722639000339,0.882722639000339,High
Volatility_20,ATR_14,0.8811203017083514,0.8811203017083514,High
Low,Transaction_Value,0.8764010308820054,0.8764010308820054,High
High,ATR_14,0.8616925188031659,0.8616925188031659,High
Open,ATR_14,0.8593765692937082,0.8593765692937082,High
Nikkei225,US_GDP,0.8567635318846142,0.8567635318846142,High
Low,ATR_14,0.8554772397003914,0.8554772397003914,High
High,TaiwanWeighted,0.8546828733636176,0.8546828733636176,High
Low,TaiwanWeighted,0.8542771986717373,0.8542771986717373,High
Open,TaiwanWeighted,0.8539649235723794,0.8539649235723794,High
USD_KRW,US_Interest_Rate_10Y,0.8522452691476042,0.8522452691476042,High
US_UNRATE,US_Spread_10Y_3Y,0.8508463136614572,0.8508463136614572,High
US_GDP,US_Interest_Rate_10Y,0.8490463404938347,0.8490463404938347,High
S&P500,US_GDP,0.8449479916617256,0.8449479916617256,High
USD_KRW,KR_CPI,0.8432166509777065,0.8432166509777065,High
KR_Interest_Rate_3Y,US_Spread_10Y_3Y,-0.8337870305228439,0.8337870305228439,High
US_Interest_Rate_3Y,KR_Interest_Rate_3Y,0.8270074279036844,0.8270074279036844,High
US_Interest_Rate_3Y,KR_GDP,0.8240376645581141,0.8240376645581141,High
US_UNRATE,KR_Spread_10Y_3Y,0.8135060246415265,0.8135060246415265,High
Dollar_Index,KR_Spread_10Y_3Y,-0.8117010067201171,0.8117010067201171,High
Nikkei225,US_CPI,0.807522492292622,0.807522492292622,High
High,MACD_Signal,0.8042945930892572,0.8042945930892572,High
USD_KRW,KR_GDP,0.803218641084834,0.803218641084834,High
Open,MACD_Signal,0.8019656867573071,0.8019656867573071,High
Low,MACD_Signal,0.7997411737762931,0.7997411737762931,High
High,MACD,0.7992692016795426,0.7992692016795426,High
KR_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7982448869767962,0.7982448869767962,High
Open,MACD,0.7972575190387793,0.7972575190387793,High
Low,MACD,0.7971527544222753,0.7971527544222753,High
MACD,Transaction_Value,0.7935112026227319,0.7935112026227319,High
MACD_Signal,Transaction_Value,0.7911691032788041,0.7911691032788041,High
Dollar_Index,US_Spread_10Y_3Y,-0.7843101775148379,0.7843101775148379,High
US_Interest_Rate_3Y,KR_Interest_Rate_10Y,0.7836807666495466,0.7836807666495466,High
High,Nikkei225,0.7828912771503388,0.7828912771503388,High
Low,Nikkei225,0.7826442089614929,0.7826442089614929,High
Open,Nikkei225,0.7821178911698854,0.7821178911698854,High
Dollar_Index,KR_Interest_Rate_3Y,0.7790090925096628,0.7790090925096628,High
Dollar_Index,US_Interest_Rate_3Y,0.7781080966848786,0.7781080966848786,High
S&P500,US_CPI,0.775954553117803,0.775954553117803,High
TaiwanWeighted,US_GDP,0.7654939751766604,0.7654939751766604,High
US_Interest_Rate_3Y,US_CPI,0.757846588598506,0.757846588598506,High
ATR_14,TaiwanWeighted,0.7517153299240239,0.7517153299240239,High
Transaction_Value,TaiwanWeighted,0.7467169218247357,0.7467169218247357,High
US_UNRATE,KR_Interest_Rate_3Y,-0.7438424113331508,0.7438424113331508,High
MACD_Signal,Nikkei225,0.7432776377492923,0.7432776377492923,High
MACD_Signal,TaiwanWeighted,0.74035540161003,0.74035540161003,High
USD_KRW,US_Interest_Rate_3Y,0.732188625419882,0.732188625419882,High
ATR_14,Transaction_Value,0.7312368109309724,0.7312368109309724,High
MACD,TaiwanWeighted,0.7298975306764297,0.7298975306764297,High
Nikkei225,USD_KRW,0.7278444412542265,0.7278444412542265,High
US_Interest_Rate_3Y,KR_Spread_10Y_3Y,-0.7278349240529121,0.7278349240529121,High
KR_Interest_Rate_10Y,US_Spread_10Y_3Y,-0.7275138106455404,0.7275138106455404,High
MACD,Nikkei225,0.7256859615734348,0.7256859615734348,High
TaiwanWeighted,US_M2,0.712425255165451,0.712425255165451,High
TaiwanWeighted,US_CPI,0.7063078445345825,0.7063078445345825,High
ATR_14,Nikkei225,0.694843288476645,0.694843288476645,Normal
Dollar_Index,US_UNRATE,-0.6938312671038501,0.6938312671038501,Normal
Dollar_Index,KR_Interest_Rate_10Y,0.6933055235844456,0.6933055235844456,Normal
US_Interest_Rate_3Y,US_Spread_10Y_3Y,-0.6876561282619963,0.6876561282619963,Normal
S&P500,US_M2,0.6857520679800644,0.6857520679800644,Normal
