Variable,Correlation,AbsCorrelation,Direction
Low,0.9995908010692838,0.9995908010692838,Positive
High,0.9994434197859814,0.9994434197859814,Positive
Open,0.9989230874467034,0.9989230874467034,Positive
Transaction_Value,0.8793961344405938,0.8793961344405938,Positive
ATR_14,0.8573264558787741,0.8573264558787741,Positive
TaiwanWeighted,0.8546583401539156,0.8546583401539156,Positive
MACD_Signal,0.8028703573760236,0.8028703573760236,Positive
MACD,0.8002048898482281,0.8002048898482281,Positive
Nikkei225,0.7830057562407303,0.7830057562407303,Positive
S&P500,0.6660806332951289,0.6660806332951289,Positive
US_M2,0.6445161533488997,0.6445161533488997,Positive
Volatility_20,0.6199910012737295,0.6199910012737295,Positive
US_Spread_10Y_3Y,0.48981174244459486,0.48981174244459486,Positive
KR_Spread_10Y_3Y,0.44087849159278275,0.44087849159278275,Positive
Dollar_Index,-0.434962160474126,0.434962160474126,Negative
US_GDP,0.43381592902244415,0.43381592902244415,Positive
US_UNRATE,0.4058601149709244,0.4058601149709244,Positive
US_CPI,0.3713980609853216,0.3713980609853216,Positive
Volume,0.35293158740503683,0.35293158740503683,Positive
RSI_14,0.33820893641286776,0.33820893641286776,Positive
USD_KRW,0.33373266308958704,0.33373266308958704,Positive
Net_Purchase_Financial_Investment,0.3112670793531287,0.3112670793531287,Positive
Net_Purchase_Foreigner,-0.30211406156544124,0.30211406156544124,Negative
Net_Purchase_Pension_Fund,-0.21072102120852076,0.21072102120852076,Negative
Net_Purchase_Investment_Trust,-0.20098194895905394,0.20098194895905394,Negative
Return,0.17463285953242264,0.17463285953242264,Positive
Log_Return,0.16671753251318253,0.16671753251318253,Positive
KR_GDP,0.16161809207981703,0.16161809207981703,Positive
US_Interest_Rate_3Y,-0.12590932037654806,0.12590932037654806,Negative
KR_Interest_Rate_3Y,-0.09989016020734494,0.09989016020734494,Negative
KR_CPI,0.09620455384932006,0.09620455384932006,Positive
VIX,-0.06293212858466393,0.06293212858466393,Negative
US_Interest_Rate_10Y,0.059864940767700305,0.059864940767700305,Positive
KR_Interest_Rate_10Y,0.030990480289166296,0.030990480289166296,Positive
Volume_ROC,0.00074338821530264,0.00074338821530264,Positive
