Variable,VIF,Status
High,2108.5103218491245,High
Open,1825.1018502078666,High
Low,1401.4571091938162,High
US_CPI,143.82352125120917,High
KR_CPI,62.00438820936842,High
Nikkei225,39.27504762643281,High
TaiwanWeighted,39.228251176219814,High
S&P500,20.53961620859795,High
US_Interest_Rate_10Y,16.94932124639101,High
US_GDP,13.516968228005558,High
US_Interest_Rate_3Y,11.860390372613253,High
USD_KRW,9.065292976956417,Watch
KR_GDP,7.59065042198049,Watch
KR_Interest_Rate_3Y,6.44022086357647,Watch
Transaction_Value,5.634424761881904,Watch
ATR_14,5.6063603393315935,Watch
KR_Interest_Rate_10Y,5.421248477678183,Watch
Dollar_Index,4.734854032102819,Good
US_Spread_10Y_3Y,4.537753443229485,Good
MACD_Signal,4.429267265921481,Good
MACD,4.095664590231174,Good
KR_Spread_10Y_3Y,3.729806985069086,Good
VIX,3.3395395581814467,Good
US_UNRATE,2.4870150087181733,Good
Volatility_20,2.3693899837550427,Good
US_M2,2.027760498394934,Good
Return,1.978761685864299,Good
Log_Return,1.9629391215141259,Good
Volume,1.7953853606348342,Good
RSI_14,1.3582518648841289,Good
Net_Purchase_Pension_Fund,1.2242778504905443,Good
Net_Purchase_Foreigner,1.2054772797030224,Good
Net_Purchase_Financial_Investment,1.1792781998152069,Good
Net_Purchase_Investment_Trust,1.1787137462080304,Good
Volume_ROC,1.1359942377216294,Good
