Variable1,Variable2,Correlation,AbsCorrelation,Flag
KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,0.9066861190104415,0.9066861190104415,High
US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,0.8690521148008286,0.8690521148008286,High
Log_Return,TaiwanWeighted__logdiff1,0.6417200424610953,0.6417200424610953,Normal
Nikkei225__logdiff1,TaiwanWeighted__logdiff1,0.6252388241156727,0.6252388241156727,Normal
Log_Return,Nikkei225__logdiff1,0.6202222226412145,0.6202222226412145,Normal
Log_Return,MACD__diff1,0.6099584108583435,0.6099584108583435,Normal
Volume_ROC,Transaction_Value__logdiff1,0.5325196543531868,0.5325196543531868,Normal
Log_Return,Net_Purchase_Financial_Investment,0.5114914305408881,0.5114914305408881,Normal
S&P500__logdiff1,TaiwanWeighted__logdiff1,0.5071055504603642,0.5071055504603642,Normal
US_Interest_Rate_3Y__diff1,Dollar_Index__logdiff1,0.47472448801725076,0.47472448801725076,Normal
KR_Interest_Rate_10Y__diff1,KR_Spread_10Y_3Y__diff1,0.4617938313377366,0.4617938313377366,Normal
Log_Return,Net_Purchase_Foreigner,0.44464265901226346,0.44464265901226346,Normal
S&P500__logdiff1,Nikkei225__logdiff1,0.42787175530334975,0.42787175530334975,Normal
US_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,-0.4202134207795038,0.4202134207795038,Normal
ATR_14__logdiff1,Volatility_20__logdiff1,0.4183531432798048,0.4183531432798048,Normal
RSI_14,MACD__diff1,0.41775944825894695,0.41775944825894695,Normal
US_Interest_Rate_10Y__diff1,Dollar_Index__logdiff1,0.4167595615732229,0.4167595615732229,Normal
MACD__diff1,Net_Purchase_Financial_Investment,0.409357580023947,0.409357580023947,Normal
MACD__diff1,TaiwanWeighted__logdiff1,0.39569948812842654,0.39569948812842654,Normal
Log_Return,S&P500__logdiff1,0.37975553935143896,0.37975553935143896,Normal
Net_Purchase_Financial_Investment,Nikkei225__logdiff1,0.3505873941605333,0.3505873941605333,Normal
Net_Purchase_Foreigner,TaiwanWeighted__logdiff1,0.3450828585299662,0.3450828585299662,Normal
MACD__diff1,Nikkei225__logdiff1,0.3443415674240651,0.3443415674240651,Normal
Net_Purchase_Financial_Investment,TaiwanWeighted__logdiff1,0.32569461118205484,0.32569461118205484,Normal
S&P500__logdiff1,USD_KRW__logdiff1,-0.31958759965942485,0.31958759965942485,Normal
Log_Return,USD_KRW__logdiff1,-0.29164340106219744,0.29164340106219744,Normal
Volume_ROC,Volume,0.2910889898978148,0.2910889898978148,Normal
MACD__diff1,S&P500__logdiff1,0.2683432681168124,0.2683432681168124,Normal
Log_Return,Net_Purchase_Investment_Trust,0.2680319703766505,0.2680319703766505,Normal
Net_Purchase_Foreigner,VIX,-0.2660158489472115,0.2660158489472115,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,0.2606437640049916,0.2606437640049916,Normal
KR_Interest_Rate_3Y__diff1,USD_KRW__logdiff1,0.2605111878871362,0.2605111878871362,Normal
Net_Purchase_Financial_Investment,KR_Interest_Rate_3Y__diff1,-0.2537593562154121,0.2537593562154121,Normal
RSI_14,Net_Purchase_Pension_Fund,-0.25113222667956125,0.25113222667956125,Normal
KR_Interest_Rate_10Y__diff1,USD_KRW__logdiff1,0.24615268057745116,0.24615268057745116,Normal
Net_Purchase_Foreigner,Nikkei225__logdiff1,0.2458993654836619,0.2458993654836619,Normal
Log_Return,RSI_14,0.23945641278803909,0.23945641278803909,Normal
Net_Purchase_Foreigner,S&P500__logdiff1,0.23708181449076626,0.23708181449076626,Normal
MACD__diff1,Net_Purchase_Foreigner,0.23311595482515796,0.23311595482515796,Normal
VIX,S&P500__logdiff1,-0.23177953653244482,0.23177953653244482,Normal
Log_Return,KR_Interest_Rate_3Y__diff1,-0.223741659325523,0.223741659325523,Normal
TaiwanWeighted__logdiff1,USD_KRW__logdiff1,-0.22275715418365977,0.22275715418365977,Normal
Volume,VIX,0.2202359543554714,0.2202359543554714,Normal
Net_Purchase_Foreigner,Volume,-0.21991481150879688,0.21991481150879688,Normal
US_Interest_Rate_10Y__diff1,KR_Interest_Rate_10Y__diff1,0.21655479319267884,0.21655479319267884,Normal
Net_Purchase_Financial_Investment,KR_Interest_Rate_10Y__diff1,-0.21145859861937236,0.21145859861937236,Normal
RSI_14,Net_Purchase_Financial_Investment,0.2059661960472554,0.2059661960472554,Normal
Log_Return,KR_Interest_Rate_10Y__diff1,-0.20462066850888766,0.20462066850888766,Normal
Net_Purchase_Financial_Investment,S&P500__logdiff1,0.20382145274261193,0.20382145274261193,Normal
MACD__diff1,USD_KRW__logdiff1,-0.19751395375677208,0.19751395375677208,Normal
RSI_14,VIX,-0.19252234283053854,0.19252234283053854,Normal
ATR_14__logdiff1,Transaction_Value__logdiff1,0.19223488866948643,0.19223488866948643,Normal
US_Spread_10Y_3Y__diff1,Dollar_Index__logdiff1,-0.19178327731279377,0.19178327731279377,Normal
Net_Purchase_Investment_Trust,Nikkei225__logdiff1,0.18722283512207266,0.18722283512207266,Normal
MACD__diff1,VIX,-0.18636291373211203,0.18636291373211203,Normal
Net_Purchase_Financial_Investment,USD_KRW__logdiff1,-0.18502880447477923,0.18502880447477923,Normal
US_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,0.183933584090827,0.183933584090827,Normal
RSI_14,TaiwanWeighted__logdiff1,0.18172756560512474,0.18172756560512474,Normal
Net_Purchase_Pension_Fund,Volume,-0.1751842842510221,0.1751842842510221,Normal
Net_Purchase_Pension_Fund,VIX,0.1747644187310891,0.1747644187310891,Normal
Net_Purchase_Foreigner,USD_KRW__logdiff1,-0.1715656438440706,0.1715656438440706,Normal
RSI_14,Net_Purchase_Investment_Trust,-0.16772532776102356,0.16772532776102356,Normal
ATR_14__logdiff1,Volume,0.16351325867115662,0.16351325867115662,Normal
Net_Purchase_Investment_Trust,TaiwanWeighted__logdiff1,0.16130874933367917,0.16130874933367917,Normal
RSI_14,Nikkei225__logdiff1,0.15477428177073788,0.15477428177073788,Normal
Volume,Transaction_Value__logdiff1,0.15168460864064898,0.15168460864064898,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Financial_Investment,0.15137993782760883,0.15137993782760883,Normal
VIX,TaiwanWeighted__logdiff1,-0.14997284959787197,0.14997284959787197,Normal
RSI_14,S&P500__logdiff1,0.14940822339425508,0.14940822339425508,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Foreigner,0.14617747057748742,0.14617747057748742,Normal
