Variable,Correlation,AbsCorrelation,Direction
Dollar_Index__logdiff1,-0.1375938412789622,0.1375938412789622,Negative
US_Interest_Rate_10Y__diff1,-0.11863914096346573,0.11863914096346573,Negative
US_Interest_Rate_3Y__diff1,-0.09336472754566585,0.09336472754566585,Negative
Net_Purchase_Investment_Trust,-0.06298045447874497,0.06298045447874497,Negative
VIX,0.061224928804010176,0.061224928804010176,Positive
RSI_14,0.054333852080117415,0.054333852080117415,Positive
Volume,0.04242459802190104,0.04242459802190104,Positive
Volume_ROC,0.0398140911508099,0.0398140911508099,Positive
US_Spread_10Y_3Y__diff1,-0.029550660824693063,0.029550660824693063,Negative
TaiwanWeighted__logdiff1,-0.02623586387899385,0.02623586387899385,Negative
Nikkei225__logdiff1,-0.024982336198983254,0.024982336198983254,Negative
Net_Purchase_Financial_Investment,0.021540463953587295,0.021540463953587295,Positive
ATR_14__logdiff1,0.017673499173385107,0.017673499173385107,Positive
MACD__diff1,0.015675117823435367,0.015675117823435367,Positive
USD_KRW__logdiff1,-0.01519180444695725,0.01519180444695725,Negative
KR_Spread_10Y_3Y__diff1,-0.01413194717810445,0.01413194717810445,Negative
Net_Purchase_Foreigner,-0.012741463448892688,0.012741463448892688,Negative
Log_Return,-0.011705372235254911,0.011705372235254911,Negative
Volatility_20__logdiff1,0.011268591415614997,0.011268591415614997,Positive
Transaction_Value__logdiff1,0.003795414623987628,0.003795414623987628,Positive
KR_Interest_Rate_3Y__diff1,0.0036301386727736118,0.0036301386727736118,Positive
Net_Purchase_Pension_Fund,-0.0033433781531461604,0.0033433781531461604,Negative
KR_Interest_Rate_10Y__diff1,-0.002743940981912958,0.002743940981912958,Negative
S&P500__logdiff1,0.0016771505282313513,0.0016771505282313513,Positive
