Variable,VIF,Status
Log_Return,2.6764772318011723,Good
Volume_ROC,1.5374311304835244,Good
MACD__diff1,1.5336868748375383,Good
Transaction_Value__logdiff1,1.4410868381074469,Good
TaiwanWeighted__logdiff1,1.4160240115080636,Good
RSI_14,1.3149026850646472,Good
Net_Purchase_Financial_Investment,1.3143545609108969,Good
Nikkei225__logdiff1,1.3113850469861734,Good
Volume,1.2936432488991987,Good
Net_Purchase_Foreigner,1.224695845086706,Good
VIX,1.2235284387351746,Good
Net_Purchase_Investment_Trust,1.206681657390811,Good
Net_Purchase_Pension_Fund,1.204135009369211,Good
S&P500__logdiff1,1.192760529470925,Good
KR_Interest_Rate_3Y__diff1,1.1234568060335288,Good
KR_Interest_Rate_10Y__diff1,1.0865649172703382,Good
USD_KRW__logdiff1,1.0791508965530032,Good
ATR_14__logdiff1,1.077322045880044,Good
Volatility_20__logdiff1,1.0530480502742448,Good
US_Interest_Rate_3Y__diff1,1.0162810084853067,Good
US_Spread_10Y_3Y__diff1,1.0157184569830429,Good
Dollar_Index__logdiff1,1.0144067567153354,Good
US_Interest_Rate_10Y__diff1,1.0131684059415338,Good
KR_Spread_10Y_3Y__diff1,1.0043438079492482,Good
