Variable1,Variable2,Correlation,AbsCorrelation,Flag
Open,MACD_Signal,0.801965686757241,0.801965686757241,High
Open,Volatility_20,0.6229680664455773,0.6229680664455773,Normal
RSI_14,MACD_Signal,0.49427458951912234,0.49427458951912234,Normal
Volatility_20,MACD_Signal,0.3710602413082168,0.3710602413082168,Normal
Open,RSI_14,0.33059971531513116,0.33059971531513116,Normal
Return,RSI_14,0.25580578858276104,0.25580578858276104,Normal
Open,Return,0.14204483920801092,0.14204483920801092,Normal
Return,MACD_Signal,0.09808164674008868,0.09808164674008868,Normal
Return,Volatility_20,0.07019021930869422,0.07019021930869422,Normal
Volatility_20,RSI_14,0.027491527850638783,0.027491527850638783,Normal
