Variable1,Variable2,Correlation,AbsCorrelation,Flag
Return,Log_Return,0.9996704631070628,0.9996704631070628,High
High,Open,0.9996438915552314,0.9996438915552314,High
Close,Low,0.9995908010698449,0.9995908010698449,High
Close,High,0.9994434197858366,0.9994434197858366,High
Low,Open,0.9993391382945003,0.9993391382945003,High
High,Low,0.9993070705222254,0.9993070705222254,High
Close,Open,0.9989230874466417,0.9989230874466417,High
MACD,MACD_Signal,0.968651097975524,0.968651097975524,High
Volatility_20,ATR_14,0.8811203019281449,0.8811203019281449,High
High,ATR_14,0.8616925187887768,0.8616925187887768,High
Open,ATR_14,0.8593765692806127,0.8593765692806127,High
Close,ATR_14,0.8573264558618956,0.8573264558618956,High
Low,ATR_14,0.855477239691394,0.855477239691394,High
High,MACD_Signal,0.8042945930817786,0.8042945930817786,High
Close,MACD_Signal,0.8028703573650957,0.8028703573650957,High
Open,MACD_Signal,0.801965686757241,0.801965686757241,High
Close,MACD,0.8002048898387182,0.8002048898387182,High
Low,MACD_Signal,0.7997411737779893,0.7997411737779893,High
High,MACD,0.7992692016726647,0.7992692016726647,High
Open,MACD,0.797257519036955,0.797257519036955,High
Low,MACD,0.7971527544192187,0.7971527544192187,High
ATR_14,MACD_Signal,0.6352672805773261,0.6352672805773261,Normal
High,Volatility_20,0.6259690160618387,0.6259690160618387,Normal
Open,Volatility_20,0.6229680664455773,0.6229680664455773,Normal
Close,Volatility_20,0.6199910009014706,0.6199910009014706,Normal
Low,Volatility_20,0.6178753889706391,0.6178753889706391,Normal
RSI_14,MACD,0.6055548530726209,0.6055548530726209,Normal
ATR_14,MACD,0.5763066605902385,0.5763066605902385,Normal
RSI_14,MACD_Signal,0.49427458951912234,0.49427458951912234,Normal
Volatility_20,MACD_Signal,0.3710602413082168,0.3710602413082168,Normal
Close,RSI_14,0.3382089364054343,0.3382089364054343,Normal
Low,RSI_14,0.3373172525533959,0.3373172525533959,Normal
High,RSI_14,0.3309833738675024,0.3309833738675024,Normal
Open,RSI_14,0.33059971531513116,0.33059971531513116,Normal
Volatility_20,MACD,0.30946682125981795,0.30946682125981795,Normal
Log_Return,RSI_14,0.25613438614413825,0.25613438614413825,Normal
Return,RSI_14,0.25580578858276104,0.25580578858276104,Normal
Close,Return,0.1746328643843674,0.1746328643843674,Normal
Close,Log_Return,0.16671753625852656,0.16671753625852656,Normal
Low,Return,0.1627911106213148,0.1627911106213148,Normal
Low,Log_Return,0.15505335803734643,0.15505335803734643,Normal
High,Return,0.15407327060980786,0.15407327060980786,Normal
High,Log_Return,0.14576393256414108,0.14576393256414108,Normal
Open,Return,0.14204483920801092,0.14204483920801092,Normal
Return,MACD,0.1407160267221996,0.1407160267221996,Normal
Log_Return,MACD,0.13465931034550713,0.13465931034550713,Normal
Open,Log_Return,0.133968634807483,0.133968634807483,Normal
Return,ATR_14,0.11555293222937275,0.11555293222937275,Normal
ATR_14,RSI_14,0.11539798665277358,0.11539798665277358,Normal
Log_Return,ATR_14,0.10512235746063199,0.10512235746063199,Normal
Return,MACD_Signal,0.09808164674008868,0.09808164674008868,Normal
Log_Return,MACD_Signal,0.09032749250401467,0.09032749250401467,Normal
Return,Volatility_20,0.07019021930869422,0.07019021930869422,Normal
Log_Return,Volatility_20,0.059496189317692266,0.059496189317692266,Normal
Volatility_20,RSI_14,0.027491527850638783,0.027491527850638783,Normal
