Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,771305645,14552500000000.0,0.019237212,-602211000000.0,-89333134255.0,-11110077289.0,6377605324.0
1,786143415,13898600000000.0,0.019237212,-350012000000.0,963421000000.0,20903911949.0,21982306938.0
0,774252245,13719700000000.0,-0.015125955,-515825000000.0,-89663104703.0,-13354130145.0,-37324887396.0
0,797262205,14789500000000.0,0.029718945,-130376000000.0,111994000000.0,-1411358719.0,-24386777205.0
0,587968268,11604000000000.0,-0.262515814,-220748000000.0,68222464174.0,14328516188.0,27536500405.0
1,612976970,11728000000000.0,0.042534102,71409301708.0,795297000000.0,8887584790.0,24219020276.0
0,1269999045,13173000000000.0,1.071854421,-17487854129.0,262614000000.0,31359371001.0,-21283929175.0
0,1082006090,20682300000000.0,-0.14802606,-242881000000.0,273517000000.0,46442014655.0,19782821274.0
1,966367978,13533300000000.0,-0.106873809,142857000000.0,577877000000.0,44203028082.0,48899316583.0
1,1123524809,14017400000000.0,0.162626282,520446000000.0,-669312000000.0,17632478084.0,-98412986613.0
1,1472570767,15270800000000.0,0.31067045,-53072513283.0,616183000000.0,-15671866078.0,53577534239.0
1,1495671343,17740800000000.0,0.015687243,33590106865.0,-227930000000.0,19211081478.0,-20944470431.0
1,1584799068,16890500000000.0,0.059590448,242042000000.0,349888000000.0,-8191099696.0,108431000000.0
0,1392319539,16051000000000.0,-0.121453585,175444000000.0,-613050000000.0,-57279397704.0,17727143617.0
1,1733348139,19023200000000.0,0.244935584,-187347000000.0,131450000000.0,-26847715030.0,26215014056.0
0,1951319356,19352200000000.0,0.125751551,-203701000000.0,373506000000.0,7059807953.0,-89992888228.0
0,1964923269,17164700000000.0,0.006971649,-324763000000.0,-260529000000.0,-58266548343.0,-48159158792.0
1,1896766322,19170500000000.0,-0.034686824,717210000000.0,-848516000000.0,306780245.0,-325183000000.0
1,1645508762,17956300000000.0,-0.13246627,176537000000.0,-31327611036.0,104072000000.0,171995000000.0
1,1664527170,15262500000000.0,0.011557768,-10128752286.0,-262520000000.0,-11314789723.0,-17287362717.0
1,1734497293,14838300000000.0,0.042036035,-121050000000.0,-45326434042.0,15394900708.0,82451170055.0
1,2345810978,16298000000000.0,0.3524443,287490000000.0,28700318768.0,-17973720444.0,50013725923.0
0,1848671013,14672100000000.0,-0.211926694,-321655000000.0,-503321000000.0,-98338270839.0,-28792851743.0
1,1627658120,17492700000000.0,-0.119552312,-711050000000.0,197274000000.0,-37292533187.0,-17090679275.0
0,1508634470,17291300000000.0,-0.073125707,-901896000000.0,-615506000000.0,-32492598062.0,-232965000000.0
1,1666696733,15512000000000.0,0.104771743,362941000000.0,-19690436577.0,14491174619.0,30694758288.0
1,1069174741,17865300000000.0,-0.358506728,-9624757444.0,128709000000.0,-75640799123.0,12102556228.0
1,1301271218,21426500000000.0,0.217080023,-101632000000.0,339712000000.0,-38810722863.0,-39545631810.0
1,1198187970,18618600000000.0,-0.079217343,248467000000.0,566754000000.0,-13802120931.0,47529596847.0
0,1428764468,13796100000000.0,0.192437667,-86753852283.0,-186767000000.0,-40174369235.0,-78867363410.0
0,1213046625,15509500000000.0,-0.150982088,67905293320.0,-412607000000.0,-23577225658.0,41611244136.0
1,1610375510,15646700000000.0,0.32754626,7018476232.0,-44630686882.0,23578735044.0,32406647880.0
0,1159231481,16076000000000.0,-0.280148342,-408829000000.0,-587137000000.0,-34953871762.0,-206602000000.0
0,1019998165,15437900000000.0,-0.120108294,-121558000000.0,-98659682214.0,15876478533.0,-75879205953.0
1,850406170,14529900000000.0,-0.166266961,1502627218.0,211014000000.0,294422140.0,40500961104.0
1,1029465279,14686400000000.0,0.210557161,223784000000.0,139890000000.0,25745969130.0,-96460495807.0
0,1147641017,14507100000000.0,0.114793321,-340498000000.0,-401209000000.0,-74941699657.0,-197577000000.0
0,1516034403,16870600000000.0,0.32100054,-498288000000.0,-221490000000.0,-33715394123.0,-280862000000.0
0,1308364633,16473100000000.0,-0.136982228,-1342150000000.0,-432249000000.0,-4799192116.0,-26594298637.0
1,1135042856,11280100000000.0,-0.132472074,37207303791.0,137042000000.0,30242143340.0,49719136557.0
1,1150101046,13494400000000.0,0.013266627,265170000000.0,269452000000.0,25426246024.0,44228803245.0
0,908953938,12993100000000.0,-0.209674714,-274030000000.0,-196724000000.0,-11427150075.0,-51982527587.0
1,1172430582,13683900000000.0,0.289867982,100636000000.0,222170000000.0,34457350866.0,-24101485010.0
