Variable1,Variable2,Correlation,AbsCorrelation,Flag
KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,0.9066861190104415,0.9066861190104415,High
US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,0.8690521148008286,0.8690521148008286,High
KR_Interest_Rate_10Y__diff1,KR_Spread_10Y_3Y__diff1,0.4617938313377366,0.4617938313377366,Normal
US_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,-0.4202134207795038,0.4202134207795038,Normal
US_Interest_Rate_10Y__diff1,KR_Interest_Rate_10Y__diff1,0.21655479319267884,0.21655479319267884,Normal
US_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,0.183933584090827,0.183933584090827,Normal
US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,0.13606865209265365,0.13606865209265365,Normal
US_Interest_Rate_3Y__diff1,KR_Interest_Rate_3Y__diff1,0.1272028488182677,0.1272028488182677,Normal
US_Interest_Rate_10Y__diff1,KR_Spread_10Y_3Y__diff1,0.12610735945862864,0.12610735945862864,Normal
KR_Interest_Rate_10Y__diff1,US_Spread_10Y_3Y__diff1,0.1231331654455256,0.1231331654455256,Normal
US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,0.1209705445638353,0.1209705445638353,Normal
US_Interest_Rate_10Y__diff1,US_Spread_10Y_3Y__diff1,0.08373458235354006,0.08373458235354006,Normal
KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,0.08115665325405716,0.08115665325405716,Normal
US_Interest_Rate_3Y__diff1,KR_Spread_10Y_3Y__diff1,0.05477877261013059,0.05477877261013059,Normal
KR_Interest_Rate_3Y__diff1,KR_Spread_10Y_3Y__diff1,0.04456551583759097,0.04456551583759097,Normal
