Variable1,Variable2,Correlation,AbsCorrelation,Flag
Nikkei225__logdiff1,TaiwanWeighted__logdiff1,0.6252388241156727,0.6252388241156727,Normal
S&P500__logdiff1,TaiwanWeighted__logdiff1,0.5071055504603642,0.5071055504603642,Normal
S&P500__logdiff1,Nikkei225__logdiff1,0.42787175530334975,0.42787175530334975,Normal
S&P500__logdiff1,USD_KRW__logdiff1,-0.31958759965942485,0.31958759965942485,Normal
VIX,S&P500__logdiff1,-0.23177953653244482,0.23177953653244482,Normal
TaiwanWeighted__logdiff1,USD_KRW__logdiff1,-0.22275715418365977,0.22275715418365977,Normal
VIX,TaiwanWeighted__logdiff1,-0.14997284959787197,0.14997284959787197,Normal
Nikkei225__logdiff1,USD_KRW__logdiff1,-0.12610192059123676,0.12610192059123676,Normal
S&P500__logdiff1,Dollar_Index__logdiff1,-0.10451120901638657,0.10451120901638657,Normal
USD_KRW__logdiff1,Dollar_Index__logdiff1,0.10197764016666212,0.10197764016666212,Normal
VIX,Nikkei225__logdiff1,-0.05345020346866554,0.05345020346866554,Normal
VIX,Dollar_Index__logdiff1,-0.051433009600268496,0.051433009600268496,Normal
VIX,USD_KRW__logdiff1,0.02945786213683197,0.02945786213683197,Normal
Nikkei225__logdiff1,Dollar_Index__logdiff1,0.021460481469054413,0.021460481469054413,Normal
TaiwanWeighted__logdiff1,Dollar_Index__logdiff1,-0.002631260680953169,0.002631260680953169,Normal
