Variable1,Variable2,Correlation,AbsCorrelation,Flag
Volume_ROC,Transaction_Value__logdiff1,0.5325196543531868,0.5325196543531868,Normal
Volume_ROC,Volume,0.2910889898978148,0.2910889898978148,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,0.2606437640049916,0.2606437640049916,Normal
Net_Purchase_Foreigner,Volume,-0.21991481150879688,0.21991481150879688,Normal
Net_Purchase_Pension_Fund,Volume,-0.1751842842510221,0.1751842842510221,Normal
Volume,Transaction_Value__logdiff1,0.15168460864064898,0.15168460864064898,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Financial_Investment,0.15137993782760883,0.15137993782760883,Normal
Net_Purchase_Investment_Trust,Net_Purchase_Foreigner,0.14617747057748742,0.14617747057748742,Normal
Net_Purchase_Financial_Investment,Volume,0.1207201737907578,0.1207201737907578,Normal
Net_Purchase_Investment_Trust,Volume,-0.11897367759772297,0.11897367759772297,Normal
Net_Purchase_Foreigner,Transaction_Value__logdiff1,0.10642276987382034,0.10642276987382034,Normal
Net_Purchase_Financial_Investment,Transaction_Value__logdiff1,0.10393023531815455,0.10393023531815455,Normal
Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,-0.08069082718791316,0.08069082718791316,Normal
Volume_ROC,Net_Purchase_Foreigner,0.056293114230108784,0.056293114230108784,Normal
Volume_ROC,Net_Purchase_Investment_Trust,-0.042054117221126265,0.042054117221126265,Normal
Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,0.04192721862907112,0.04192721862907112,Normal
Volume_ROC,Net_Purchase_Financial_Investment,-0.03472117263977229,0.03472117263977229,Normal
Net_Purchase_Pension_Fund,Net_Purchase_Foreigner,0.03310298357201238,0.03310298357201238,Normal
Volume_ROC,Net_Purchase_Pension_Fund,0.01805309792341901,0.01805309792341901,Normal
Net_Purchase_Investment_Trust,Transaction_Value__logdiff1,-0.012222434554160978,0.012222434554160978,Normal
Net_Purchase_Pension_Fund,Transaction_Value__logdiff1,0.0013618477032031136,0.0013618477032031136,Normal
