feature,coefficient
TaiwanWeighted__logdiff1,0.22636737736762588
MACD__diff1,0.10671524100242442
VIX,0.09461850821766322
Net_Purchase_Investment_Trust,0.09404519439196275
Transaction_Value__logdiff1,0.07580516701464085
KR_Interest_Rate_3Y__diff1,0.03787270739669334
Net_Purchase_Foreigner,0.037409319300943274
ATR_14__logdiff1,0.036456110580691384
Net_Purchase_Pension_Fund,0.03157489674884823
Volatility_20__logdiff1,0.029720759759357805
RSI_14,0.01255931098210912
US_Interest_Rate_3Y__diff1,0.007874205789696696
KR_Spread_10Y_3Y__diff1,0.006438156063076851
Net_Purchase_Financial_Investment,-0.016452401944174404
S&P500__logdiff1,-0.028639632274283774
Nikkei225__logdiff1,-0.02953043257005165
US_Spread_10Y_3Y__diff1,-0.0496613234327409
Dollar_Index__logdiff1,-0.0609701353691886
Volume,-0.063297818241864
Volume_ROC,-0.07717344422060883
USD_KRW__logdiff1,-0.08146230154815377
price_Log_Return,-0.2916160669566407
intercept,0.002981292448761133
