class_weight,C,penalty,threshold,validation_rows,accuracy,balanced_accuracy,precision,recall,f1,buy_and_hold_cumulative_return,model_strategy_cumulative_return,trade_rate
balanced,0.01,l2,0.57,118,0.3474576271186441,0.5003205128205128,0.6666666666666666,0.02564102564102564,0.04938271604938271,0.46995362547926267,0.06569460837648378,0.2542372881355932
none,0.01,l1,0.5,118,0.6610169491525424,0.5,0.6610169491525424,1.0,0.7959183673469388,0.46995362547926267,0.0,0.0
balanced,0.01,l1,0.5,118,0.6610169491525424,0.5,0.6610169491525424,1.0,0.7959183673469388,0.46995362547926267,0.0,0.0
none,0.01,l1,0.52,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
none,0.01,l1,0.55,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
none,0.01,l1,0.57,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
none,0.01,l1,0.6,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
none,0.1,l1,0.55,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.021164547221659724,0.11016949152542373
none,0.1,l1,0.57,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.021164547221659724,0.11016949152542373
none,0.1,l1,0.6,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.021164547221659724,0.11016949152542373
balanced,0.01,l1,0.52,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
balanced,0.01,l1,0.55,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
balanced,0.01,l1,0.57,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
balanced,0.01,l1,0.6,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0,0.0
balanced,0.1,l1,0.55,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0214350926062723,0.06779661016949153
balanced,0.1,l1,0.57,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0214350926062723,0.06779661016949153
balanced,0.1,l1,0.6,118,0.3389830508474576,0.5,0.0,0.0,0.0,0.46995362547926267,0.0214350926062723,0.06779661016949153
balanced,1.0,l1,0.57,118,0.3728813559322034,0.4951923076923077,0.6428571428571429,0.11538461538461539,0.1956521739130435,0.46995362547926267,0.10435524170221644,0.3220338983050847
balanced,0.1,l1,0.52,118,0.3559322033898305,0.49455128205128207,0.625,0.0641025641025641,0.11627906976744186,0.46995362547926267,0.0214350926062723,0.06779661016949153
balanced,0.01,l2,0.55,118,0.3474576271186441,0.4942307692307692,0.6,0.038461538461538464,0.07228915662650602,0.46995362547926267,0.06569460837648378,0.2542372881355932
none,0.01,l2,0.6,118,0.3389830508474576,0.4939102564102564,0.5,0.01282051282051282,0.025,0.46995362547926267,0.17132026238421671,0.3898305084745763
balanced,0.01,l2,0.6,118,0.3389830508474576,0.4939102564102564,0.5,0.01282051282051282,0.025,0.46995362547926267,0.06569460837648378,0.2542372881355932
none,0.01,l2,0.57,118,0.3389830508474576,0.4878205128205128,0.5,0.02564102564102564,0.04878048780487805,0.46995362547926267,0.17132026238421671,0.3898305084745763
balanced,0.1,l2,0.6,118,0.3389830508474576,0.4878205128205128,0.5,0.02564102564102564,0.04878048780487805,0.46995362547926267,0.09830945331508434,0.3305084745762712
balanced,1.0,l1,0.6,118,0.3389830508474576,0.4878205128205128,0.5,0.02564102564102564,0.04878048780487805,0.46995362547926267,0.10435524170221644,0.3220338983050847
none,0.1,l2,0.6,118,0.3389830508474576,0.47564102564102567,0.5,0.05128205128205128,0.09302325581395349,0.46995362547926267,0.1359678297319038,0.4576271186440678
