feature,coefficient
MACD__diff1,0.19529145274910023
TaiwanWeighted__logdiff1,0.17439485817566
VIX,0.15346874503303642
ATR_14__logdiff1,0.13442739611751883
RSI_14,0.10685426153060631
Volatility_20__logdiff1,0.032474542011148654
KR_Interest_Rate_3Y__diff1,0.032216098253620214
Net_Purchase_Investment_Trust,0.022206936398973743
Volume,0.020553355218758236
Net_Purchase_Foreigner,0.016733965021582514
S&P500__logdiff1,0.01618775269653513
Transaction_Value__logdiff1,0.01308405003559849
US_Interest_Rate_3Y__diff1,0.00691540131369996
KR_Interest_Rate_10Y__diff1,-0.0036619533485884107
US_Interest_Rate_10Y__diff1,-0.010069309079545105
USD_KRW__logdiff1,-0.028738657954945884
US_Spread_10Y_3Y__diff1,-0.03239131582616126
Net_Purchase_Financial_Investment,-0.04615427499823797
Dollar_Index__logdiff1,-0.04771564628220617
Net_Purchase_Pension_Fund,-0.05612145524487535
KR_Spread_10Y_3Y__diff1,-0.07642710235905766
Nikkei225__logdiff1,-0.08365119764524223
Volume_ROC,-0.1081609050296232
price_Log_Return,-0.2515583059533053
intercept,0.007658629618406014
