Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,0,0.5962,1,TN
2023-08-24,1,0,0.7534,0,FN
2023-08-25,0,1,0.6709,0,FP
2023-08-28,1,0,0.7145,0,FN
2023-08-29,1,1,0.8169,1,TP
2023-08-30,1,1,0.6932,1,TP
2023-08-31,0,1,0.6455,0,FP
2023-09-01,1,1,0.6482,1,TP
2023-09-04,1,0,0.5705,0,FN
2023-09-05,0,1,0.6379,0,FP
2023-09-06,0,0,0.6278,1,TN
2023-09-07,0,0,0.5537,1,TN
2023-09-08,0,0,0.6425,1,TN
2023-09-11,1,0,0.5519,0,FN
2023-09-12,0,0,0.5335,1,TN
2023-09-13,0,0,0.6023,1,TN
2023-09-14,1,0,0.5224,0,FN
2023-09-15,1,1,0.6127,1,TP
2023-09-18,0,1,0.6466,0,FP
2023-09-19,0,1,0.5018,0,FP
2023-09-20,1,0,0.6727,0,FN
2023-09-21,0,0,0.6279,1,TN
2023-09-22,0,0,0.7782,1,TN
2023-09-25,0,0,0.6542,1,TN
2023-09-26,0,0,0.7847,1,TN
2023-09-27,1,0,0.5856,0,FN
2023-10-04,0,1,0.5717,0,FP
2023-10-05,0,1,0.5813,0,FP
2023-10-06,1,0,0.5905,0,FN
2023-10-10,0,0,0.5769,1,TN
2023-10-11,1,0,0.586,0,FN
2023-10-12,1,0,0.5728,0,FN
2023-10-13,0,0,0.5601,1,TN
2023-10-16,0,0,0.5695,1,TN
2023-10-17,1,0,0.5785,0,FN
2023-10-18,1,1,0.5657,1,TP
2023-10-19,0,1,0.5536,0,FP
2023-10-20,0,0,0.5628,1,TN
2023-10-23,0,0,0.5721,1,TN
2023-10-24,1,1,0.581,1,TP
2023-10-25,0,1,0.5684,0,FP
2023-10-26,0,1,0.5771,0,FP
2023-10-27,1,1,0.5851,1,TP
2023-10-30,1,0,0.5736,0,FN
2023-10-31,0,0,0.5614,1,TN
2023-11-01,1,1,0.5695,1,TP
2023-11-02,1,1,0.5588,1,TP
2023-11-03,1,1,0.5464,1,TP
2023-11-06,1,1,0.5355,1,TP
2023-11-07,0,0,0.5249,1,TN
2023-11-08,0,0,0.7391,1,TN
2023-11-09,1,0,0.5142,0,FN
2023-11-10,0,1,0.5982,0,FP
2023-11-13,0,0,0.7255,1,TN
2023-11-14,1,0,0.9215,0,FN
2023-11-15,1,1,0.92,1,TP
2023-11-16,1,0,0.8738,0,FN
2023-11-17,0,0,0.5937,1,TN
2023-11-20,1,0,0.5532,0,FN
2023-11-21,1,0,0.8076,0,FN
2023-11-22,1,0,0.8406,0,FN
2023-11-23,1,0,0.882,0,FN
2023-11-24,0,0,0.6266,1,TN
2023-11-27,0,0,0.6313,1,TN
2023-11-28,1,1,0.9171,1,TP
2023-11-29,0,1,0.5772,0,FP
2023-11-30,1,0,0.665,0,FN
2023-12-01,0,0,0.7915,1,TN
2023-12-04,1,0,0.8976,0,FN
2023-12-05,0,0,0.8434,1,TN
2023-12-06,1,0,0.8453,0,FN
2023-12-07,0,1,0.6583,0,FP
2023-12-08,1,0,0.735,0,FN
2023-12-11,1,1,0.8263,1,TP
2023-12-12,1,0,0.6299,0,FN
2023-12-13,0,0,0.6237,1,TN
2023-12-14,1,0,0.5911,0,FN
2023-12-15,1,1,0.753,1,TP
2023-12-18,1,1,0.6042,1,TP
2023-12-19,1,0,0.6545,0,FN
2023-12-20,1,1,0.8609,1,TP
2023-12-21,0,0,0.5348,1,TN
2023-12-22,0,1,0.7444,0,FP
2023-12-26,1,1,0.7382,1,TP
2023-12-27,1,1,0.8472,1,TP
