Date,Top1_Feature,Top1_Importance,Top2_Feature,Top2_Importance,Top3_Feature,Top3_Importance,Top4_Feature,Top4_Importance,Top5_Feature,Top5_Importance,Top6_Feature,Top6_Importance,Top7_Feature,Top7_Importance,Top8_Feature,Top8_Importance,Top9_Feature,Top9_Importance,Top10_Feature,Top10_Importance
2023-08-23,US_Interest_Rate_3Y__diff1,0.0674,KR_Spread_10Y_3Y__diff1,0.0634,US_Interest_Rate_10Y__diff1,0.0599,Nikkei225__logdiff1,0.0526,Volume_ROC,0.0524,ATR_14__logdiff1,0.0517,Volume,0.0494,Net_Purchase_Foreigner,0.0465,Volatility_20__logdiff1,0.0437,Dollar_Index__logdiff1,0.0432
2023-09-27,US_Interest_Rate_10Y__diff1,0,US_Interest_Rate_3Y__diff1,0,KR_Interest_Rate_10Y__diff1,0,KR_Interest_Rate_3Y__diff1,0,US_Spread_10Y_3Y__diff1,0,KR_Spread_10Y_3Y__diff1,0,VIX,0,S&P500__logdiff1,0,Nikkei225__logdiff1,0,TaiwanWeighted__logdiff1,0
2023-11-08,KR_Spread_10Y_3Y__diff1,0.0822,US_Interest_Rate_10Y__diff1,0.0806,Nikkei225__logdiff1,0.0585,Net_Purchase_Pension_Fund,0.0531,Dollar_Index__logdiff1,0.0501,S&P500__logdiff1,0.0478,US_Interest_Rate_3Y__diff1,0.0469,Net_Purchase_Financial_Investment,0.044,MACD__diff1,0.0422,Transaction_Value__logdiff1,0.0412
2023-12-13,US_Interest_Rate_10Y__diff1,0.0828,US_Interest_Rate_3Y__diff1,0.0575,Net_Purchase_Pension_Fund,0.0555,Volatility_20__logdiff1,0.0534,ATR_14__logdiff1,0.0518,Net_Purchase_Financial_Investment,0.0494,KR_Spread_10Y_3Y__diff1,0.0463,S&P500__logdiff1,0.0436,US_Spread_10Y_3Y__diff1,0.0432,Transaction_Value__logdiff1,0.0405
2024-01-22,Net_Purchase_Pension_Fund,0.0771,US_Interest_Rate_10Y__diff1,0.0593,KR_Spread_10Y_3Y__diff1,0.0544,Dollar_Index__logdiff1,0.0461,ATR_14__logdiff1,0.0449,RSI_14,0.0423,Volatility_20__logdiff1,0.0416,US_Interest_Rate_3Y__diff1,0.0412,KR_Interest_Rate_3Y__diff1,0.041,Net_Purchase_Foreigner,0.0409
2024-02-28,Net_Purchase_Pension_Fund,0.0722,Volatility_20__logdiff1,0.0721,KR_Interest_Rate_3Y__diff1,0.0559,ATR_14__logdiff1,0.0526,Net_Purchase_Investment_Trust,0.0505,US_Interest_Rate_3Y__diff1,0.0481,KR_Spread_10Y_3Y__diff1,0.0475,USD_KRW__logdiff1,0.047,US_Interest_Rate_10Y__diff1,0.0463,S&P500__logdiff1,0.0463
2024-04-04,Net_Purchase_Foreigner,0.0763,Net_Purchase_Pension_Fund,0.0626,KR_Interest_Rate_3Y__diff1,0.0582,KR_Spread_10Y_3Y__diff1,0.0535,Nikkei225__logdiff1,0.0509,MACD__diff1,0.0488,Transaction_Value__logdiff1,0.0459,USD_KRW__logdiff1,0.0446,Dollar_Index__logdiff1,0.0434,TaiwanWeighted__logdiff1,0.0425
2024-05-14,Dollar_Index__logdiff1,0.0643,KR_Interest_Rate_10Y__diff1,0.0534,KR_Interest_Rate_3Y__diff1,0.0528,Net_Purchase_Foreigner,0.0515,Nikkei225__logdiff1,0.0501,TaiwanWeighted__logdiff1,0.0486,ATR_14__logdiff1,0.045,S&P500__logdiff1,0.0434,US_Interest_Rate_10Y__diff1,0.0432,Transaction_Value__logdiff1,0.0427
2024-06-20,Dollar_Index__logdiff1,0.0526,US_Interest_Rate_10Y__diff1,0.0491,US_Interest_Rate_3Y__diff1,0.0486,Nikkei225__logdiff1,0.0479,TaiwanWeighted__logdiff1,0.0444,Net_Purchase_Foreigner,0.0436,Transaction_Value__logdiff1,0.0429,Net_Purchase_Pension_Fund,0.0427,RSI_14,0.0426,ATR_14__logdiff1,0.0424
2024-07-25,Dollar_Index__logdiff1,0.0816,US_Interest_Rate_3Y__diff1,0.0582,US_Interest_Rate_10Y__diff1,0.0564,Net_Purchase_Pension_Fund,0.0546,US_Spread_10Y_3Y__diff1,0.0536,KR_Interest_Rate_3Y__diff1,0.0503,Net_Purchase_Investment_Trust,0.0439,Nikkei225__logdiff1,0.042,KR_Interest_Rate_10Y__diff1,0.0418,KR_Spread_10Y_3Y__diff1,0.0415
