Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,1,0.5361,0,FP
2023-08-24,1,1,0.5582,1,TP
2023-08-25,0,1,0.7334,0,FP
2023-08-28,1,0,0.7575,0,FN
2023-08-29,1,1,0.7975,1,TP
2023-08-30,1,1,0.7712,1,TP
2023-08-31,0,1,0.6772,0,FP
2023-09-01,1,1,0.6095,1,TP
2023-09-04,1,1,0.5822,1,TP
2023-09-05,0,1,0.6088,0,FP
2023-09-06,0,1,0.6702,0,FP
2023-09-07,0,0,0.5743,1,TN
2023-09-08,0,1,0.6787,0,FP
2023-09-11,1,0,0.5028,0,FN
2023-09-12,0,1,0.5406,0,FP
2023-09-13,0,1,0.6063,0,FP
2023-09-14,1,0,0.5705,0,FN
2023-09-15,1,1,0.683,1,TP
2023-09-18,0,1,0.5626,0,FP
2023-09-19,0,0,0.5347,1,TN
2023-09-20,1,0,0.6423,0,FN
2023-09-21,0,0,0.6378,1,TN
2023-09-22,0,0,0.7599,1,TN
2023-09-25,0,0,0.5892,1,TN
2023-09-26,0,0,0.8329,1,TN
2023-09-27,1,0,0.8211,0,FN
2023-10-04,0,1,0.6581,0,FP
2023-10-05,0,0,0.6417,1,TN
2023-10-06,1,1,0.5761,1,TP
2023-10-10,0,1,0.5891,0,FP
2023-10-11,1,1,0.5785,1,TP
2023-10-12,1,1,0.7314,1,TP
2023-10-13,0,1,0.7477,0,FP
2023-10-16,0,1,0.629,0,FP
2023-10-17,1,0,0.7496,0,FN
2023-10-18,1,0,0.5729,0,FN
2023-10-19,0,0,0.5778,1,TN
2023-10-20,0,0,0.6979,1,TN
2023-10-23,0,1,0.5652,0,FP
2023-10-24,1,0,0.5933,0,FN
2023-10-25,0,1,0.616,0,FP
2023-10-26,0,1,0.6697,0,FP
2023-10-27,1,0,0.6741,0,FN
2023-10-30,1,1,0.8894,1,TP
2023-10-31,0,0,0.5657,1,TN
2023-11-01,1,0,0.6577,0,FN
2023-11-02,1,1,0.8219,1,TP
2023-11-03,1,0,0.5734,0,FN
2023-11-06,1,1,0.741,1,TP
2023-11-07,0,0,0.6938,1,TN
2023-11-08,0,0,0.5311,1,TN
2023-11-09,1,1,0.7719,1,TP
2023-11-10,0,1,0.7148,0,FP
2023-11-13,0,0,0.773,1,TN
2023-11-14,1,0,0.8129,0,FN
2023-11-15,1,1,0.6964,1,TP
2023-11-16,1,0,0.6737,0,FN
2023-11-17,0,0,0.8856,1,TN
2023-11-20,1,0,0.8997,0,FN
2023-11-21,1,1,0.8363,1,TP
2023-11-22,1,1,0.733,1,TP
2023-11-23,1,0,0.7323,0,FN
