Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,0,0.6383,1,TN
2023-08-24,1,0,0.6729,0,FN
2023-08-25,0,1,0.6495,0,FP
2023-08-28,1,0,0.8815,0,FN
2023-08-29,1,1,0.79,1,TP
2023-08-30,1,1,0.819,1,TP
2023-08-31,0,1,0.6751,0,FP
2023-09-01,1,1,0.5363,1,TP
2023-09-04,1,1,0.5402,1,TP
2023-09-05,0,1,0.6101,0,FP
2023-09-06,0,1,0.551,0,FP
2023-09-07,0,0,0.8236,1,TN
2023-09-08,0,1,0.5519,0,FP
2023-09-11,1,1,0.5179,1,TP
2023-09-12,0,1,0.5043,0,FP
2023-09-13,0,1,0.5859,0,FP
2023-09-14,1,0,0.8274,0,FN
2023-09-15,1,1,0.5378,1,TP
2023-09-18,0,0,0.7686,1,TN
2023-09-19,0,0,0.6298,1,TN
2023-09-20,1,0,0.8186,0,FN
2023-09-21,0,0,0.7904,1,TN
2023-09-22,0,0,0.9233,1,TN
2023-09-25,0,0,0.6229,1,TN
2023-09-26,0,0,0.9747,1,TN
2023-09-27,1,0,0.7584,0,FN
2023-10-04,0,1,0.5892,0,FP
2023-10-05,0,0,0.6902,1,TN
2023-10-06,1,0,0.5994,0,FN
2023-10-10,0,1,0.544,0,FP
2023-10-11,1,0,0.5116,0,FN
2023-10-12,1,1,0.6092,1,TP
2023-10-13,0,1,0.5384,0,FP
2023-10-16,0,0,0.6194,1,TN
2023-10-17,1,0,0.7069,0,FN
2023-10-18,1,0,0.6922,0,FN
2023-10-19,0,0,0.6515,1,TN
2023-10-20,0,0,0.6548,1,TN
2023-10-23,0,1,0.5309,0,FP
2023-10-24,1,0,0.6341,0,FN
2023-10-25,0,1,0.5504,0,FP
2023-10-26,0,0,0.573,1,TN
2023-10-27,1,0,0.6043,0,FN
2023-10-30,1,1,0.5103,1,TP
2023-10-31,0,0,0.6147,1,TN
2023-11-01,1,0,0.6128,0,FN
2023-11-02,1,1,0.5463,1,TP
2023-11-03,1,1,0.5309,1,TP
2023-11-06,1,1,0.5133,1,TP
2023-11-07,0,0,0.5908,1,TN
2023-11-08,0,0,0.6287,1,TN
2023-11-09,1,0,0.5322,0,FN
2023-11-10,0,1,0.5913,0,FP
2023-11-13,0,0,0.7244,1,TN
2023-11-14,1,0,0.7316,0,FN
2023-11-15,1,1,0.7591,1,TP
2023-11-16,1,0,0.5961,0,FN
2023-11-17,0,0,0.6236,1,TN
2023-11-20,1,0,0.7149,0,FN
2023-11-21,1,1,0.7593,1,TP
2023-11-22,1,1,0.6704,1,TP
2023-11-23,1,0,0.7001,0,FN
2023-11-24,0,0,0.5045,1,TN
2023-11-27,0,1,0.5881,0,FP
2023-11-28,1,1,0.8481,1,TP
2023-11-29,0,1,0.6782,0,FP
2023-11-30,1,1,0.6655,1,TP
2023-12-01,0,0,0.5951,1,TN
2023-12-04,1,1,0.6436,1,TP
2023-12-05,0,0,0.6936,1,TN
2023-12-06,1,0,0.683,0,FN
2023-12-07,0,1,0.7789,0,FP
2023-12-08,1,1,0.7082,1,TP
2023-12-11,1,0,0.8133,0,FN
