Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,1,0.5152,0,FP
2023-08-24,1,0,0.5551,0,FN
2023-08-25,0,1,0.7305,0,FP
2023-08-28,1,0,0.8552,0,FN
2023-08-29,1,1,0.5845,1,TP
2023-08-30,1,1,0.9117,1,TP
2023-08-31,0,1,0.6597,0,FP
2023-09-01,1,0,0.6658,0,FN
2023-09-04,1,1,0.5289,1,TP
2023-09-05,0,1,0.7842,0,FP
2023-09-06,0,1,0.6895,0,FP
2023-09-07,0,0,0.7451,1,TN
2023-09-08,0,1,0.5315,0,FP
2023-09-11,1,0,0.6803,0,FN
2023-09-12,0,1,0.6478,0,FP
2023-09-13,0,0,0.5539,1,TN
2023-09-14,1,0,0.9137,0,FN
2023-09-15,1,1,0.6218,1,TP
2023-09-18,0,0,0.8037,1,TN
2023-09-19,0,0,0.6947,1,TN
2023-09-20,1,0,0.9093,0,FN
2023-09-21,0,0,0.871,1,TN
2023-09-22,0,0,0.9689,1,TN
2023-09-25,0,0,0.6335,1,TN
2023-09-26,0,0,0.9851,1,TN
2023-09-27,1,0,0.6162,0,FN
2023-10-04,0,0,0.5919,1,TN
2023-10-05,0,0,0.6071,1,TN
2023-10-06,1,0,0.6214,0,FN
2023-10-10,0,0,0.5976,1,TN
2023-10-11,1,0,0.6122,0,FN
2023-10-12,1,0,0.5893,0,FN
2023-10-13,0,0,0.5676,1,TN
2023-10-16,0,0,0.5831,1,TN
2023-10-17,1,0,0.5978,0,FN
2023-10-18,1,0,0.5763,0,FN
2023-10-19,0,0,0.556,1,TN
2023-10-20,0,0,0.5715,1,TN
2023-10-23,0,0,0.5862,1,TN
2023-10-24,1,0,0.6001,0,FN
2023-10-25,0,0,0.5795,1,TN
2023-10-26,0,0,0.5935,1,TN
2023-10-27,1,0,0.6068,0,FN
2023-10-30,1,0,0.5864,0,FN
2023-10-31,0,0,0.5671,1,TN
2023-11-01,1,0,0.5811,0,FN
2023-11-02,1,0,0.5623,0,FN
2023-11-03,1,0,0.5444,0,FN
2023-11-06,1,0,0.5273,0,FN
2023-11-07,0,0,0.511,1,TN
2023-11-08,0,1,0.5746,0,FP
2023-11-09,1,1,0.7192,1,TP
2023-11-10,0,0,0.6365,1,TN
2023-11-13,0,0,0.742,1,TN
2023-11-14,1,0,0.7881,0,FN
2023-11-15,1,1,0.7193,1,TP
2023-11-16,1,0,0.7118,0,FN
2023-11-17,0,0,0.6254,1,TN
2023-11-20,1,0,0.8328,0,FN
2023-11-21,1,1,0.7173,1,TP
2023-11-22,1,1,0.6731,1,TP
2023-11-23,1,0,0.7092,0,FN
2023-11-24,0,1,0.6192,0,FP
2023-11-27,0,1,0.5746,0,FP
2023-11-28,1,1,0.9518,1,TP
2023-11-29,0,1,0.79,0,FP
2023-11-30,1,0,0.5041,0,FN
2023-12-01,0,0,0.6528,1,TN
2023-12-04,1,1,0.612,1,TP
2023-12-05,0,0,0.7488,1,TN
2023-12-06,1,0,0.8195,0,FN
2023-12-07,0,1,0.6935,0,FP
2023-12-08,1,1,0.8869,1,TP
2023-12-11,1,0,0.7439,0,FN
2023-12-12,1,1,0.8008,1,TP
2023-12-13,0,1,0.5528,0,FP
2023-12-14,1,0,0.6931,0,FN
2023-12-15,1,1,0.6422,1,TP
2023-12-18,1,1,0.6539,1,TP
2023-12-19,1,0,0.7827,0,FN
2023-12-20,1,1,0.8747,1,TP
2023-12-21,0,1,0.589,0,FP
2023-12-22,0,0,0.8715,1,TN
2023-12-26,1,0,0.7345,0,FN
2023-12-27,1,1,0.9543,1,TP
2023-12-28,1,1,0.8937,1,TP
2024-01-02,1,0,0.7104,0,FN
2024-01-03,0,0,0.8164,1,TN
2024-01-04,0,1,0.5252,0,FP
2024-01-05,0,0,0.802,1,TN
2024-01-08,0,0,0.6233,1,TN
2024-01-09,0,1,0.8355,0,FP
2024-01-10,0,0,0.6844,1,TN
2024-01-11,0,0,0.8133,1,TN
2024-01-12,0,1,0.5879,0,FP
2024-01-15,1,0,0.8013,0,FN
2024-01-16,0,0,0.7598,1,TN
2024-01-17,0,0,0.9132,1,TN
2024-01-18,1,0,0.9784,0,FN
2024-01-19,1,0,0.8241,0,FN
2024-01-22,0,0,0.6537,1,TN
2024-01-23,1,1,0.6432,1,TP
2024-01-24,0,1,0.6297,0,FP
2024-01-25,1,0,0.5212,0,FN
2024-01-26,1,1,0.6628,1,TP
2024-01-29,1,1,0.669,1,TP
2024-01-30,0,1,0.6267,0,FP
2024-01-31,0,1,0.7695,0,FP
2024-02-01,1,1,0.6211,1,TP
2024-02-02,1,0,0.5653,0,FN
2024-02-05,0,1,0.5859,0,FP
2024-02-06,0,0,0.6071,1,TN
2024-02-07,1,0,0.5291,0,FN
2024-02-08,1,1,0.6159,1,TP
2024-02-13,1,1,0.5719,1,TP
2024-02-14,0,0,0.714,1,TN
2024-02-15,0,1,0.6833,0,FP
2024-02-16,1,1,0.6145,1,TP
2024-02-19,1,0,0.5389,0,FN
2024-02-20,0,1,0.7085,0,FP
2024-02-21,0,1,0.5127,0,FP
2024-02-22,1,1,0.6027,1,TP
2024-02-23,1,1,0.5175,1,TP
2024-02-26,0,1,0.6816,0,FP
2024-02-27,0,0,0.5766,1,TN
2024-02-28,1,0,0.6054,0,FN
2024-02-29,0,1,0.6366,0,FP
2024-03-04,1,0,0.7599,0,FN
2024-03-05,0,1,0.6785,0,FP
2024-03-06,0,1,0.6502,0,FP
2024-03-07,1,0,0.6178,0,FN
2024-03-08,1,0,0.6102,0,FN
2024-03-11,0,1,0.6465,0,FP
2024-03-12,1,1,0.7975,1,TP
2024-03-13,1,1,0.7077,1,TP
2024-03-14,1,1,0.7089,1,TP
2024-03-15,0,1,0.5624,0,FP
2024-03-18,1,1,0.5505,1,TP
2024-03-19,0,0,0.598,1,TN
2024-03-20,1,1,0.7389,1,TP
2024-03-21,1,1,0.5369,1,TP
2024-03-22,0,0,0.7086,1,TN
2024-03-25,0,0,0.6996,1,TN
2024-03-26,1,1,0.7966,1,TP
2024-03-27,0,0,0.6065,1,TN
2024-03-28,0,0,0.618,1,TN
2024-03-29,1,1,0.8303,1,TP
2024-04-01,1,0,0.5578,0,FN
2024-04-02,1,0,0.5347,0,FN
