Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,0,0.8123,1,TN
2023-08-24,1,1,0.8347,1,TP
2023-08-25,0,1,0.7293,0,FP
2023-08-28,1,0,0.6884,0,FN
2023-08-29,1,0,0.5028,0,FN
2023-08-30,1,1,0.7607,1,TP
2023-08-31,0,1,0.5321,0,FP
2023-09-01,1,1,0.5699,1,TP
2023-09-04,1,0,0.5933,0,FN
2023-09-05,0,1,0.8068,0,FP
2023-09-06,0,1,0.6175,0,FP
2023-09-07,0,0,0.8592,1,TN
2023-09-08,0,0,0.5616,1,TN
2023-09-11,1,0,0.5477,0,FN
2023-09-12,0,1,0.7755,0,FP
2023-09-13,0,1,0.837,0,FP
2023-09-14,1,0,0.9144,0,FN
2023-09-15,1,1,0.7837,1,TP
2023-09-18,0,1,0.6085,0,FP
2023-09-19,0,1,0.8256,0,FP
2023-09-20,1,0,0.984,0,FN
2023-09-21,0,0,0.6463,1,TN
2023-09-22,0,0,0.9183,1,TN
2023-09-25,0,0,0.7082,1,TN
2023-09-26,0,0,0.9203,1,TN
2023-09-27,1,0,0.876,0,FN
2023-10-04,0,0,0.5373,1,TN
2023-10-05,0,0,0.6677,1,TN
2023-10-06,1,1,0.6625,1,TP
2023-10-10,0,1,0.5182,0,FP
2023-10-11,1,1,0.7915,1,TP
2023-10-12,1,1,0.862,1,TP
2023-10-13,0,1,0.6617,0,FP
2023-10-16,0,1,0.5271,0,FP
2023-10-17,1,0,0.7489,0,FN
2023-10-18,1,0,0.8022,0,FN
2023-10-19,0,0,0.8322,1,TN
2023-10-20,0,0,0.8178,1,TN
2023-10-23,0,1,0.5375,0,FP
2023-10-24,1,0,0.6188,0,FN
2023-10-25,0,1,0.7072,0,FP
2023-10-26,0,1,0.6292,0,FP
2023-10-27,1,0,0.5298,0,FN
2023-10-30,1,1,0.9074,1,TP
2023-10-31,0,0,0.6844,1,TN
2023-11-01,1,0,0.6029,0,FN
2023-11-02,1,1,0.7073,1,TP
2023-11-03,1,1,0.5955,1,TP
2023-11-06,1,1,0.7452,1,TP
2023-11-07,0,0,0.7233,1,TN
2023-11-08,0,0,0.5897,1,TN
2023-11-09,1,1,0.564,1,TP
2023-11-10,0,0,0.6336,1,TN
2023-11-13,0,0,0.6895,1,TN
2023-11-14,1,0,0.8274,0,FN
2023-11-15,1,1,0.9394,1,TP
2023-11-16,1,0,0.7167,0,FN
2023-11-17,0,0,0.6051,1,TN
2023-11-20,1,0,0.7047,0,FN
2023-11-21,1,1,0.9267,1,TP
2023-11-22,1,1,0.8494,1,TP
2023-11-23,1,1,0.5159,1,TP
2023-11-24,0,0,0.5566,1,TN
2023-11-27,0,1,0.8618,0,FP
2023-11-28,1,1,0.9264,1,TP
2023-11-29,0,1,0.5208,0,FP
2023-11-30,1,1,0.6243,1,TP
2023-12-01,0,1,0.7366,0,FP
2023-12-04,1,1,0.5453,1,TP
2023-12-05,0,0,0.8998,1,TN
2023-12-06,1,0,0.8377,0,FN
