Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance,Rank 11 Feature,Rank 11 Importance,Rank 12 Feature,Rank 12 Importance,Rank 13 Feature,Rank 13 Importance,Rank 14 Feature,Rank 14 Importance,Rank 15 Feature,Rank 15 Importance,Rank 16 Feature,Rank 16 Importance,Rank 17 Feature,Rank 17 Importance,Rank 18 Feature,Rank 18 Importance,Rank 19 Feature,Rank 19 Importance,Rank 20 Feature,Rank 20 Importance,Rank 21 Feature,Rank 21 Importance,Rank 22 Feature,Rank 22 Importance,Rank 23 Feature,Rank 23 Importance,Rank 24 Feature,Rank 24 Importance
2023-08-23,ATR_14__logdiff1,0.079265,KR_Spread_10Y_3Y__diff1,0.078439,RSI_14,0.059844,Volume,0.053224,US_Interest_Rate_3Y__diff1,0.052674,Volume_ROC,0.052124,US_Interest_Rate_10Y__diff1,0.046015,Nikkei225__logdiff1,0.044821,Dollar_Index__logdiff1,0.044459,KR_Interest_Rate_3Y__diff1,0.041971,MACD__diff1,0.041105,S&P500__logdiff1,0.039934,Net_Purchase_Pension_Fund,0.039613,Net_Purchase_Financial_Investment,0.039052,Log_Return,0.038286,Transaction_Value__logdiff1,0.037395,Net_Purchase_Foreigner,0.037195,US_Spread_10Y_3Y__diff1,0.035341,USD_KRW__logdiff1,0.035257,Net_Purchase_Investment_Trust,0.034291,VIX,0.031894,TaiwanWeighted__logdiff1,0.026974,Volatility_20__logdiff1,0.010824,KR_Interest_Rate_10Y__diff1,0.0
2023-09-27,US_Interest_Rate_10Y__diff1,0.0,US_Interest_Rate_3Y__diff1,0.0,KR_Interest_Rate_10Y__diff1,0.0,KR_Interest_Rate_3Y__diff1,0.0,US_Spread_10Y_3Y__diff1,0.0,KR_Spread_10Y_3Y__diff1,0.0,VIX,0.0,S&P500__logdiff1,0.0,Nikkei225__logdiff1,0.0,TaiwanWeighted__logdiff1,0.0,USD_KRW__logdiff1,0.0,Dollar_Index__logdiff1,0.0,Log_Return,0.0,RSI_14,0.0,ATR_14__logdiff1,0.0,Volatility_20__logdiff1,0.0,MACD__diff1,0.0,Volume_ROC,0.0,Net_Purchase_Investment_Trust,0.0,Net_Purchase_Pension_Fund,0.0,Net_Purchase_Financial_Investment,0.0,Net_Purchase_Foreigner,0.0,Volume,0.0,Transaction_Value__logdiff1,0.0
2023-11-08,US_Interest_Rate_10Y__diff1,0.061139,US_Interest_Rate_3Y__diff1,0.057853,KR_Spread_10Y_3Y__diff1,0.056388,Nikkei225__logdiff1,0.046876,Net_Purchase_Foreigner,0.04585,RSI_14,0.045302,ATR_14__logdiff1,0.044113,Volume,0.044015,Transaction_Value__logdiff1,0.042322,Net_Purchase_Financial_Investment,0.041829,Dollar_Index__logdiff1,0.04103,Volatility_20__logdiff1,0.039668,Net_Purchase_Pension_Fund,0.039652,S&P500__logdiff1,0.038892,VIX,0.038766,MACD__diff1,0.038019,US_Spread_10Y_3Y__diff1,0.037815,USD_KRW__logdiff1,0.036559,KR_Interest_Rate_10Y__diff1,0.03577,Volume_ROC,0.034377,KR_Interest_Rate_3Y__diff1,0.034286,Log_Return,0.034153,TaiwanWeighted__logdiff1,0.033504,Net_Purchase_Investment_Trust,0.031824
2023-12-13,US_Interest_Rate_3Y__diff1,0.057091,KR_Spread_10Y_3Y__diff1,0.053705,US_Interest_Rate_10Y__diff1,0.053406,Volatility_20__logdiff1,0.050689,Net_Purchase_Financial_Investment,0.049043,ATR_14__logdiff1,0.046668,US_Spread_10Y_3Y__diff1,0.046102,Nikkei225__logdiff1,0.045905,Net_Purchase_Pension_Fund,0.044899,Volume,0.042744,S&P500__logdiff1,0.042674,Net_Purchase_Foreigner,0.041106,RSI_14,0.04007,Dollar_Index__logdiff1,0.039518,Volume_ROC,0.038255,Transaction_Value__logdiff1,0.038002,MACD__diff1,0.037347,KR_Interest_Rate_10Y__diff1,0.036713,Log_Return,0.036222,TaiwanWeighted__logdiff1,0.035114,VIX,0.032952,Net_Purchase_Investment_Trust,0.030919,USD_KRW__logdiff1,0.030713,KR_Interest_Rate_3Y__diff1,0.03014
2024-01-22,Net_Purchase_Pension_Fund,0.081577,US_Interest_Rate_10Y__diff1,0.055792,KR_Spread_10Y_3Y__diff1,0.050264,USD_KRW__logdiff1,0.049176,MACD__diff1,0.047564,KR_Interest_Rate_3Y__diff1,0.046813,RSI_14,0.045594,S&P500__logdiff1,0.043934,ATR_14__logdiff1,0.043078,US_Spread_10Y_3Y__diff1,0.04175,VIX,0.040473,Net_Purchase_Investment_Trust,0.03888,Net_Purchase_Foreigner,0.038467,US_Interest_Rate_3Y__diff1,0.038327,Volatility_20__logdiff1,0.037686,Transaction_Value__logdiff1,0.037134,Dollar_Index__logdiff1,0.036614,Volume,0.035954,Net_Purchase_Financial_Investment,0.034756,KR_Interest_Rate_10Y__diff1,0.034452,TaiwanWeighted__logdiff1,0.034006,Nikkei225__logdiff1,0.030679,Volume_ROC,0.029503,Log_Return,0.027527
2024-02-28,Dollar_Index__logdiff1,0.09971,Net_Purchase_Pension_Fund,0.092397,KR_Interest_Rate_10Y__diff1,0.088161,USD_KRW__logdiff1,0.085538,Volatility_20__logdiff1,0.065252,KR_Spread_10Y_3Y__diff1,0.065076,S&P500__logdiff1,0.062975,US_Interest_Rate_10Y__diff1,0.059058,Volume,0.053805,US_Interest_Rate_3Y__diff1,0.047755,TaiwanWeighted__logdiff1,0.042082,MACD__diff1,0.039978,Net_Purchase_Financial_Investment,0.036913,Net_Purchase_Foreigner,0.035674,ATR_14__logdiff1,0.033177,Transaction_Value__logdiff1,0.0326,Nikkei225__logdiff1,0.030821,Log_Return,0.017092,KR_Interest_Rate_3Y__diff1,0.011936,US_Spread_10Y_3Y__diff1,0.0,VIX,0.0,RSI_14,0.0,Volume_ROC,0.0,Net_Purchase_Investment_Trust,0.0
2024-04-04,Net_Purchase_Pension_Fund,0.075201,Net_Purchase_Foreigner,0.058101,Dollar_Index__logdiff1,0.056926,KR_Interest_Rate_3Y__diff1,0.056219,KR_Interest_Rate_10Y__diff1,0.05313,KR_Spread_10Y_3Y__diff1,0.052016,US_Spread_10Y_3Y__diff1,0.050257,RSI_14,0.049639,Nikkei225__logdiff1,0.047934,Transaction_Value__logdiff1,0.047537,TaiwanWeighted__logdiff1,0.047401,Volatility_20__logdiff1,0.043694,Volume,0.040367,USD_KRW__logdiff1,0.039709,ATR_14__logdiff1,0.037219,S&P500__logdiff1,0.036388,VIX,0.03602,Net_Purchase_Investment_Trust,0.033004,Net_Purchase_Financial_Investment,0.031112,Volume_ROC,0.031055,US_Interest_Rate_10Y__diff1,0.027355,Log_Return,0.026769,MACD__diff1,0.022945,US_Interest_Rate_3Y__diff1,0.0
2024-05-14,Dollar_Index__logdiff1,0.069769,US_Interest_Rate_10Y__diff1,0.059007,Log_Return,0.057833,Net_Purchase_Foreigner,0.053416,Nikkei225__logdiff1,0.050873,KR_Interest_Rate_3Y__diff1,0.04571,KR_Interest_Rate_10Y__diff1,0.045255,Volume,0.044555,Net_Purchase_Pension_Fund,0.041081,KR_Spread_10Y_3Y__diff1,0.03915,Net_Purchase_Investment_Trust,0.03903,TaiwanWeighted__logdiff1,0.038973,MACD__diff1,0.03837,Transaction_Value__logdiff1,0.037805,Volume_ROC,0.03754,ATR_14__logdiff1,0.037193,S&P500__logdiff1,0.036853,VIX,0.035035,Volatility_20__logdiff1,0.034534,Net_Purchase_Financial_Investment,0.03453,USD_KRW__logdiff1,0.033058,US_Spread_10Y_3Y__diff1,0.031866,US_Interest_Rate_3Y__diff1,0.031761,RSI_14,0.026803
2024-06-20,US_Interest_Rate_3Y__diff1,0.070524,Dollar_Index__logdiff1,0.05778,Nikkei225__logdiff1,0.053766,Net_Purchase_Foreigner,0.051996,KR_Interest_Rate_3Y__diff1,0.051281,Net_Purchase_Pension_Fund,0.04981,US_Interest_Rate_10Y__diff1,0.04778,MACD__diff1,0.045825,Volume,0.041406,Net_Purchase_Financial_Investment,0.041081,KR_Interest_Rate_10Y__diff1,0.04018,RSI_14,0.038609,TaiwanWeighted__logdiff1,0.037505,ATR_14__logdiff1,0.037399,Volatility_20__logdiff1,0.037184,KR_Spread_10Y_3Y__diff1,0.036844,US_Spread_10Y_3Y__diff1,0.035609,Volume_ROC,0.034822,Net_Purchase_Investment_Trust,0.034326,Transaction_Value__logdiff1,0.034191,USD_KRW__logdiff1,0.033777,Log_Return,0.029927,S&P500__logdiff1,0.029585,VIX,0.028795
2024-07-25,Dollar_Index__logdiff1,0.059694,US_Interest_Rate_3Y__diff1,0.058569,US_Interest_Rate_10Y__diff1,0.053855,Net_Purchase_Foreigner,0.049421,US_Spread_10Y_3Y__diff1,0.046986,KR_Interest_Rate_3Y__diff1,0.044774,TaiwanWeighted__logdiff1,0.044219,Volume_ROC,0.042517,S&P500__logdiff1,0.042464,Net_Purchase_Investment_Trust,0.04242,Log_Return,0.041185,KR_Spread_10Y_3Y__diff1,0.040189,Nikkei225__logdiff1,0.039572,MACD__diff1,0.039258,Net_Purchase_Pension_Fund,0.039171,Volume,0.03877,VIX,0.037998,Transaction_Value__logdiff1,0.036097,ATR_14__logdiff1,0.03586,Volatility_20__logdiff1,0.03522,USD_KRW__logdiff1,0.034596,KR_Interest_Rate_10Y__diff1,0.033603,RSI_14,0.032014,Net_Purchase_Financial_Investment,0.031548
