Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance,Rank 11 Feature,Rank 11 Importance,Rank 12 Feature,Rank 12 Importance,Rank 13 Feature,Rank 13 Importance,Rank 14 Feature,Rank 14 Importance,Rank 15 Feature,Rank 15 Importance,Rank 16 Feature,Rank 16 Importance,Rank 17 Feature,Rank 17 Importance,Rank 18 Feature,Rank 18 Importance,Rank 19 Feature,Rank 19 Importance
2023-08-23,KR_Spread_10Y_3Y__diff1,0.081109,Nikkei225__logdiff1,0.080137,Volume,0.07945,Volume_ROC,0.074177,US_Interest_Rate_10Y__diff1,0.064407,US_Interest_Rate_3Y__diff1,0.060296,Net_Purchase_Pension_Fund,0.05612,ATR_14__logdiff1,0.054991,KR_Interest_Rate_3Y__diff1,0.054448,MACD__diff1,0.054381,Volatility_20__logdiff1,0.051797,TaiwanWeighted__logdiff1,0.050916,VIX,0.049741,Net_Purchase_Investment_Trust,0.043447,Dollar_Index__logdiff1,0.040899,S&P500__logdiff1,0.038506,USD_KRW__logdiff1,0.038068,Transaction_Value__logdiff1,0.027109,Net_Purchase_Foreigner,0.0
2023-09-27,US_Interest_Rate_10Y__diff1,0.0,US_Interest_Rate_3Y__diff1,0.0,KR_Interest_Rate_3Y__diff1,0.0,KR_Spread_10Y_3Y__diff1,0.0,VIX,0.0,S&P500__logdiff1,0.0,Nikkei225__logdiff1,0.0,TaiwanWeighted__logdiff1,0.0,USD_KRW__logdiff1,0.0,Dollar_Index__logdiff1,0.0,ATR_14__logdiff1,0.0,Volatility_20__logdiff1,0.0,MACD__diff1,0.0,Volume_ROC,0.0,Net_Purchase_Investment_Trust,0.0,Net_Purchase_Pension_Fund,0.0,Net_Purchase_Foreigner,0.0,Volume,0.0,Transaction_Value__logdiff1,0.0
2023-11-08,US_Interest_Rate_10Y__diff1,0.09651,KR_Spread_10Y_3Y__diff1,0.08724,Nikkei225__logdiff1,0.064059,Volume,0.055321,Volume_ROC,0.054072,US_Interest_Rate_3Y__diff1,0.052233,Transaction_Value__logdiff1,0.052138,Net_Purchase_Pension_Fund,0.05113,Dollar_Index__logdiff1,0.049811,ATR_14__logdiff1,0.048841,MACD__diff1,0.048202,Net_Purchase_Foreigner,0.046785,Volatility_20__logdiff1,0.046625,VIX,0.044072,USD_KRW__logdiff1,0.042811,TaiwanWeighted__logdiff1,0.042227,Net_Purchase_Investment_Trust,0.040867,S&P500__logdiff1,0.039206,KR_Interest_Rate_3Y__diff1,0.037853
2023-12-13,US_Interest_Rate_10Y__diff1,0.110094,US_Interest_Rate_3Y__diff1,0.092893,Net_Purchase_Pension_Fund,0.084841,S&P500__logdiff1,0.073785,Volatility_20__logdiff1,0.070334,USD_KRW__logdiff1,0.062706,KR_Spread_10Y_3Y__diff1,0.058332,KR_Interest_Rate_3Y__diff1,0.054201,Volume_ROC,0.051361,ATR_14__logdiff1,0.045831,Dollar_Index__logdiff1,0.04234,Net_Purchase_Investment_Trust,0.039071,Nikkei225__logdiff1,0.036511,VIX,0.03597,Net_Purchase_Foreigner,0.031809,Transaction_Value__logdiff1,0.030048,TaiwanWeighted__logdiff1,0.028645,Volume,0.026803,MACD__diff1,0.024422
2024-01-22,Net_Purchase_Pension_Fund,0.099943,US_Interest_Rate_10Y__diff1,0.075325,KR_Spread_10Y_3Y__diff1,0.070771,US_Interest_Rate_3Y__diff1,0.067196,KR_Interest_Rate_3Y__diff1,0.056178,Volatility_20__logdiff1,0.051302,MACD__diff1,0.051104,Net_Purchase_Investment_Trust,0.049372,Dollar_Index__logdiff1,0.049169,ATR_14__logdiff1,0.047828,Transaction_Value__logdiff1,0.047053,USD_KRW__logdiff1,0.046834,Net_Purchase_Foreigner,0.046316,S&P500__logdiff1,0.044876,Nikkei225__logdiff1,0.041792,Volume,0.039182,Volume_ROC,0.039131,VIX,0.038967,TaiwanWeighted__logdiff1,0.037659
2024-02-28,US_Interest_Rate_3Y__diff1,0.078339,Net_Purchase_Pension_Fund,0.070448,US_Interest_Rate_10Y__diff1,0.07008,KR_Spread_10Y_3Y__diff1,0.064366,Dollar_Index__logdiff1,0.059421,S&P500__logdiff1,0.05438,USD_KRW__logdiff1,0.053725,MACD__diff1,0.053431,Volume_ROC,0.052632,KR_Interest_Rate_3Y__diff1,0.049791,Volume,0.049495,Nikkei225__logdiff1,0.047603,Volatility_20__logdiff1,0.04607,Net_Purchase_Investment_Trust,0.045065,TaiwanWeighted__logdiff1,0.044649,ATR_14__logdiff1,0.044025,Net_Purchase_Foreigner,0.041907,Transaction_Value__logdiff1,0.039921,VIX,0.034652
2024-04-04,Net_Purchase_Pension_Fund,0.101704,Dollar_Index__logdiff1,0.082817,TaiwanWeighted__logdiff1,0.069494,KR_Spread_10Y_3Y__diff1,0.069,Volume_ROC,0.061828,Transaction_Value__logdiff1,0.061057,Volatility_20__logdiff1,0.05935,Net_Purchase_Foreigner,0.058577,USD_KRW__logdiff1,0.05092,Volume,0.050196,S&P500__logdiff1,0.046839,US_Interest_Rate_10Y__diff1,0.044797,Net_Purchase_Investment_Trust,0.044015,KR_Interest_Rate_3Y__diff1,0.041059,Nikkei225__logdiff1,0.038098,ATR_14__logdiff1,0.037682,MACD__diff1,0.030269,US_Interest_Rate_3Y__diff1,0.029124,VIX,0.023175
2024-05-14,Dollar_Index__logdiff1,0.081272,US_Interest_Rate_10Y__diff1,0.075979,Net_Purchase_Pension_Fund,0.065846,KR_Spread_10Y_3Y__diff1,0.062505,KR_Interest_Rate_3Y__diff1,0.062066,US_Interest_Rate_3Y__diff1,0.05758,Net_Purchase_Foreigner,0.053351,ATR_14__logdiff1,0.052998,MACD__diff1,0.051919,TaiwanWeighted__logdiff1,0.051878,Volume_ROC,0.048284,Volatility_20__logdiff1,0.048191,Transaction_Value__logdiff1,0.046148,Volume,0.044418,Nikkei225__logdiff1,0.043646,USD_KRW__logdiff1,0.042383,S&P500__logdiff1,0.040808,Net_Purchase_Investment_Trust,0.040585,VIX,0.030142
2024-06-20,US_Interest_Rate_3Y__diff1,0.095755,Dollar_Index__logdiff1,0.088407,Nikkei225__logdiff1,0.063964,KR_Interest_Rate_3Y__diff1,0.062637,Net_Purchase_Pension_Fund,0.061491,Net_Purchase_Foreigner,0.061073,ATR_14__logdiff1,0.055399,Net_Purchase_Investment_Trust,0.05402,US_Interest_Rate_10Y__diff1,0.049335,TaiwanWeighted__logdiff1,0.049191,Transaction_Value__logdiff1,0.046818,KR_Spread_10Y_3Y__diff1,0.0468,VIX,0.042897,Volume,0.039504,MACD__diff1,0.037965,Volatility_20__logdiff1,0.036816,USD_KRW__logdiff1,0.036637,S&P500__logdiff1,0.03612,Volume_ROC,0.035173
2024-07-25,Dollar_Index__logdiff1,0.142252,US_Interest_Rate_3Y__diff1,0.067718,Net_Purchase_Investment_Trust,0.062676,Net_Purchase_Foreigner,0.062615,Volume_ROC,0.057972,Net_Purchase_Pension_Fund,0.056397,KR_Interest_Rate_3Y__diff1,0.055631,TaiwanWeighted__logdiff1,0.051203,Nikkei225__logdiff1,0.050706,US_Interest_Rate_10Y__diff1,0.044205,S&P500__logdiff1,0.043677,ATR_14__logdiff1,0.042834,MACD__diff1,0.042424,Transaction_Value__logdiff1,0.03923,KR_Spread_10Y_3Y__diff1,0.037901,VIX,0.037475,Volatility_20__logdiff1,0.03697,Volume,0.034599,USD_KRW__logdiff1,0.033516
