Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance,Rank 11 Feature,Rank 11 Importance,Rank 12 Feature,Rank 12 Importance,Rank 13 Feature,Rank 13 Importance,Rank 14 Feature,Rank 14 Importance,Rank 15 Feature,Rank 15 Importance
2023-08-23,Volume,0.144361,Nikkei225__logdiff1,0.128037,KR_Spread_10Y_3Y__diff1,0.127498,US_Interest_Rate_10Y__diff1,0.078789,US_Interest_Rate_3Y__diff1,0.072909,KR_Interest_Rate_3Y__diff1,0.067543,Net_Purchase_Pension_Fund,0.065495,ATR_14__logdiff1,0.062373,S&P500__logdiff1,0.054628,TaiwanWeighted__logdiff1,0.050965,Net_Purchase_Investment_Trust,0.043886,Volatility_20__logdiff1,0.037903,Dollar_Index__logdiff1,0.036738,Transaction_Value__logdiff1,0.028875,Net_Purchase_Foreigner,0.0
2023-09-27,US_Interest_Rate_10Y__diff1,0.0,US_Interest_Rate_3Y__diff1,0.0,KR_Interest_Rate_3Y__diff1,0.0,KR_Spread_10Y_3Y__diff1,0.0,S&P500__logdiff1,0.0,Nikkei225__logdiff1,0.0,TaiwanWeighted__logdiff1,0.0,Dollar_Index__logdiff1,0.0,ATR_14__logdiff1,0.0,Volatility_20__logdiff1,0.0,Net_Purchase_Investment_Trust,0.0,Net_Purchase_Pension_Fund,0.0,Net_Purchase_Foreigner,0.0,Volume,0.0,Transaction_Value__logdiff1,0.0
2023-11-08,US_Interest_Rate_10Y__diff1,0.106438,KR_Spread_10Y_3Y__diff1,0.082932,US_Interest_Rate_3Y__diff1,0.068529,Transaction_Value__logdiff1,0.068354,Volatility_20__logdiff1,0.067458,Nikkei225__logdiff1,0.066857,Net_Purchase_Pension_Fund,0.064849,Net_Purchase_Foreigner,0.064229,Volume,0.063189,Dollar_Index__logdiff1,0.061037,S&P500__logdiff1,0.060786,ATR_14__logdiff1,0.057425,KR_Interest_Rate_3Y__diff1,0.05718,Net_Purchase_Investment_Trust,0.055599,TaiwanWeighted__logdiff1,0.055137
2023-12-13,US_Interest_Rate_10Y__diff1,0.11747,Net_Purchase_Pension_Fund,0.090566,Volatility_20__logdiff1,0.084561,US_Interest_Rate_3Y__diff1,0.082822,S&P500__logdiff1,0.070952,ATR_14__logdiff1,0.065693,KR_Spread_10Y_3Y__diff1,0.062309,Transaction_Value__logdiff1,0.059151,Nikkei225__logdiff1,0.058726,Net_Purchase_Foreigner,0.053296,Dollar_Index__logdiff1,0.052498,Volume,0.051742,TaiwanWeighted__logdiff1,0.051062,KR_Interest_Rate_3Y__diff1,0.050713,Net_Purchase_Investment_Trust,0.048439
2024-01-22,Net_Purchase_Pension_Fund,0.113666,US_Interest_Rate_10Y__diff1,0.08675,KR_Spread_10Y_3Y__diff1,0.074866,KR_Interest_Rate_3Y__diff1,0.070607,US_Interest_Rate_3Y__diff1,0.069846,Dollar_Index__logdiff1,0.064804,ATR_14__logdiff1,0.063916,Net_Purchase_Foreigner,0.063916,S&P500__logdiff1,0.060647,Transaction_Value__logdiff1,0.059286,Volatility_20__logdiff1,0.05558,Net_Purchase_Investment_Trust,0.055474,TaiwanWeighted__logdiff1,0.054692,Nikkei225__logdiff1,0.05452,Volume,0.051429
2024-02-28,Net_Purchase_Pension_Fund,0.089786,US_Interest_Rate_10Y__diff1,0.085918,KR_Spread_10Y_3Y__diff1,0.073481,KR_Interest_Rate_3Y__diff1,0.072127,US_Interest_Rate_3Y__diff1,0.070795,Net_Purchase_Investment_Trust,0.066854,Volatility_20__logdiff1,0.06562,ATR_14__logdiff1,0.065521,Dollar_Index__logdiff1,0.06544,S&P500__logdiff1,0.063161,Transaction_Value__logdiff1,0.057722,TaiwanWeighted__logdiff1,0.057212,Volume,0.056836,Net_Purchase_Foreigner,0.055491,Nikkei225__logdiff1,0.054034
2024-04-04,Net_Purchase_Pension_Fund,0.120691,Dollar_Index__logdiff1,0.098555,Net_Purchase_Foreigner,0.089156,Nikkei225__logdiff1,0.075935,KR_Interest_Rate_3Y__diff1,0.075852,KR_Spread_10Y_3Y__diff1,0.072521,Volume,0.069422,TaiwanWeighted__logdiff1,0.068115,Volatility_20__logdiff1,0.060039,Transaction_Value__logdiff1,0.054779,S&P500__logdiff1,0.05087,ATR_14__logdiff1,0.043495,Net_Purchase_Investment_Trust,0.042471,US_Interest_Rate_3Y__diff1,0.040086,US_Interest_Rate_10Y__diff1,0.038014
2024-05-14,Dollar_Index__logdiff1,0.11133,US_Interest_Rate_10Y__diff1,0.085749,Net_Purchase_Foreigner,0.074824,KR_Interest_Rate_3Y__diff1,0.069098,Net_Purchase_Investment_Trust,0.067989,TaiwanWeighted__logdiff1,0.064794,Nikkei225__logdiff1,0.062052,Transaction_Value__logdiff1,0.061754,ATR_14__logdiff1,0.061216,Net_Purchase_Pension_Fund,0.059312,Volume,0.058775,KR_Spread_10Y_3Y__diff1,0.058526,US_Interest_Rate_3Y__diff1,0.057951,S&P500__logdiff1,0.056777,Volatility_20__logdiff1,0.049853
2024-06-20,US_Interest_Rate_3Y__diff1,0.102326,US_Interest_Rate_10Y__diff1,0.101835,Dollar_Index__logdiff1,0.100123,Net_Purchase_Foreigner,0.081139,Net_Purchase_Pension_Fund,0.073203,KR_Interest_Rate_3Y__diff1,0.06536,Net_Purchase_Investment_Trust,0.064999,KR_Spread_10Y_3Y__diff1,0.056383,Volatility_20__logdiff1,0.05634,Nikkei225__logdiff1,0.055821,TaiwanWeighted__logdiff1,0.053892,ATR_14__logdiff1,0.050661,S&P500__logdiff1,0.049293,Volume,0.046629,Transaction_Value__logdiff1,0.041996
2024-07-25,Dollar_Index__logdiff1,0.164109,US_Interest_Rate_10Y__diff1,0.116214,Net_Purchase_Pension_Fund,0.068821,US_Interest_Rate_3Y__diff1,0.067399,Net_Purchase_Foreigner,0.066203,KR_Interest_Rate_3Y__diff1,0.064524,Net_Purchase_Investment_Trust,0.063938,KR_Spread_10Y_3Y__diff1,0.058282,Nikkei225__logdiff1,0.056589,Volume,0.054643,TaiwanWeighted__logdiff1,0.050336,Volatility_20__logdiff1,0.048047,S&P500__logdiff1,0.042808,Transaction_Value__logdiff1,0.039254,ATR_14__logdiff1,0.038834
