Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance,Rank 11 Feature,Rank 11 Importance,Rank 12 Feature,Rank 12 Importance
2023-08-23,KR_Spread_10Y_3Y__diff1,0.12095,US_Interest_Rate_3Y__diff1,0.104948,US_Interest_Rate_10Y__diff1,0.103786,Nikkei225__logdiff1,0.095173,S&P500__logdiff1,0.079114,Dollar_Index__logdiff1,0.077202,KR_Interest_Rate_3Y__diff1,0.076773,Net_Purchase_Pension_Fund,0.076395,Net_Purchase_Investment_Trust,0.074805,Volatility_20__logdiff1,0.074046,Net_Purchase_Foreigner,0.058727,Transaction_Value__logdiff1,0.058082
2023-09-27,KR_Spread_10Y_3Y__diff1,0.178771,KR_Interest_Rate_3Y__diff1,0.109722,US_Interest_Rate_10Y__diff1,0.098566,Volatility_20__logdiff1,0.07596,Net_Purchase_Pension_Fund,0.074552,US_Interest_Rate_3Y__diff1,0.073815,Transaction_Value__logdiff1,0.073681,Nikkei225__logdiff1,0.072398,Net_Purchase_Foreigner,0.062809,Net_Purchase_Investment_Trust,0.062606,Dollar_Index__logdiff1,0.05976,S&P500__logdiff1,0.057361
2023-11-08,KR_Spread_10Y_3Y__diff1,0.171883,US_Interest_Rate_10Y__diff1,0.12943,Transaction_Value__logdiff1,0.085346,Net_Purchase_Foreigner,0.083039,Nikkei225__logdiff1,0.078274,Dollar_Index__logdiff1,0.077401,Volatility_20__logdiff1,0.073873,US_Interest_Rate_3Y__diff1,0.072108,Net_Purchase_Investment_Trust,0.060253,Net_Purchase_Pension_Fund,0.058355,KR_Interest_Rate_3Y__diff1,0.056274,S&P500__logdiff1,0.053764
2023-12-13,US_Interest_Rate_10Y__diff1,0.131037,KR_Spread_10Y_3Y__diff1,0.115678,US_Interest_Rate_3Y__diff1,0.106409,Net_Purchase_Pension_Fund,0.106194,Volatility_20__logdiff1,0.104456,S&P500__logdiff1,0.092607,Nikkei225__logdiff1,0.076229,Dollar_Index__logdiff1,0.064383,KR_Interest_Rate_3Y__diff1,0.062423,Transaction_Value__logdiff1,0.054418,Net_Purchase_Investment_Trust,0.048464,Net_Purchase_Foreigner,0.037702
2024-01-22,Net_Purchase_Pension_Fund,0.139273,US_Interest_Rate_10Y__diff1,0.10947,KR_Spread_10Y_3Y__diff1,0.090018,US_Interest_Rate_3Y__diff1,0.076459,Net_Purchase_Foreigner,0.075064,KR_Interest_Rate_3Y__diff1,0.074976,Volatility_20__logdiff1,0.074119,Dollar_Index__logdiff1,0.073536,Transaction_Value__logdiff1,0.07245,Net_Purchase_Investment_Trust,0.071825,S&P500__logdiff1,0.071436,Nikkei225__logdiff1,0.071374
2024-02-28,Net_Purchase_Pension_Fund,0.124449,KR_Interest_Rate_3Y__diff1,0.123397,Dollar_Index__logdiff1,0.09454,S&P500__logdiff1,0.091844,US_Interest_Rate_3Y__diff1,0.08557,Net_Purchase_Investment_Trust,0.085175,US_Interest_Rate_10Y__diff1,0.080124,Volatility_20__logdiff1,0.078843,Transaction_Value__logdiff1,0.072248,KR_Spread_10Y_3Y__diff1,0.07005,Net_Purchase_Foreigner,0.048852,Nikkei225__logdiff1,0.044908
2024-04-04,Net_Purchase_Pension_Fund,0.152846,Dollar_Index__logdiff1,0.116286,Net_Purchase_Foreigner,0.096145,KR_Spread_10Y_3Y__diff1,0.093516,KR_Interest_Rate_3Y__diff1,0.087234,US_Interest_Rate_10Y__diff1,0.078037,Volatility_20__logdiff1,0.073136,Nikkei225__logdiff1,0.069198,Transaction_Value__logdiff1,0.063988,Net_Purchase_Investment_Trust,0.061749,S&P500__logdiff1,0.059894,US_Interest_Rate_3Y__diff1,0.047971
2024-05-14,Dollar_Index__logdiff1,0.134911,US_Interest_Rate_10Y__diff1,0.122112,KR_Interest_Rate_3Y__diff1,0.099663,Net_Purchase_Foreigner,0.093447,US_Interest_Rate_3Y__diff1,0.090354,Net_Purchase_Pension_Fund,0.083384,KR_Spread_10Y_3Y__diff1,0.070907,Net_Purchase_Investment_Trust,0.070622,Nikkei225__logdiff1,0.065103,Volatility_20__logdiff1,0.061918,Transaction_Value__logdiff1,0.05379,S&P500__logdiff1,0.053788
2024-06-20,US_Interest_Rate_3Y__diff1,0.117049,US_Interest_Rate_10Y__diff1,0.097168,Dollar_Index__logdiff1,0.088703,Net_Purchase_Foreigner,0.080784,KR_Interest_Rate_3Y__diff1,0.079827,KR_Spread_10Y_3Y__diff1,0.079523,Transaction_Value__logdiff1,0.07884,Nikkei225__logdiff1,0.077159,Volatility_20__logdiff1,0.077018,Net_Purchase_Pension_Fund,0.076059,S&P500__logdiff1,0.074304,Net_Purchase_Investment_Trust,0.073565
2024-07-25,Dollar_Index__logdiff1,0.106588,US_Interest_Rate_3Y__diff1,0.100774,US_Interest_Rate_10Y__diff1,0.098139,Net_Purchase_Pension_Fund,0.082243,KR_Spread_10Y_3Y__diff1,0.081456,KR_Interest_Rate_3Y__diff1,0.08121,Transaction_Value__logdiff1,0.079783,Net_Purchase_Foreigner,0.078505,Net_Purchase_Investment_Trust,0.077783,S&P500__logdiff1,0.07398,Nikkei225__logdiff1,0.072948,Volatility_20__logdiff1,0.06659
