Date,Rank 1 Feature,Rank 1 Importance,Rank 2 Feature,Rank 2 Importance,Rank 3 Feature,Rank 3 Importance,Rank 4 Feature,Rank 4 Importance,Rank 5 Feature,Rank 5 Importance,Rank 6 Feature,Rank 6 Importance,Rank 7 Feature,Rank 7 Importance,Rank 8 Feature,Rank 8 Importance,Rank 9 Feature,Rank 9 Importance,Rank 10 Feature,Rank 10 Importance
2023-08-23,Nikkei225__logdiff1,0.118613,KR_Spread_10Y_3Y__diff1,0.116356,US_Interest_Rate_3Y__diff1,0.109305,US_Interest_Rate_10Y__diff1,0.107983,Net_Purchase_Pension_Fund,0.104365,Volatility_20__logdiff1,0.095355,KR_Interest_Rate_3Y__diff1,0.095277,Net_Purchase_Investment_Trust,0.08798,Dollar_Index__logdiff1,0.082852,Net_Purchase_Foreigner,0.081916
2023-09-27,KR_Spread_10Y_3Y__diff1,0.19924,US_Interest_Rate_10Y__diff1,0.115988,KR_Interest_Rate_3Y__diff1,0.113149,US_Interest_Rate_3Y__diff1,0.096232,Net_Purchase_Pension_Fund,0.092343,Nikkei225__logdiff1,0.086062,Volatility_20__logdiff1,0.085535,Dollar_Index__logdiff1,0.077739,Net_Purchase_Foreigner,0.070529,Net_Purchase_Investment_Trust,0.063182
2023-11-08,KR_Spread_10Y_3Y__diff1,0.110359,US_Interest_Rate_3Y__diff1,0.108618,US_Interest_Rate_10Y__diff1,0.107705,Nikkei225__logdiff1,0.105711,Net_Purchase_Pension_Fund,0.1002,Net_Purchase_Foreigner,0.097572,Net_Purchase_Investment_Trust,0.095892,Volatility_20__logdiff1,0.095309,KR_Interest_Rate_3Y__diff1,0.089403,Dollar_Index__logdiff1,0.089231
2023-12-13,US_Interest_Rate_10Y__diff1,0.135626,Net_Purchase_Pension_Fund,0.117526,US_Interest_Rate_3Y__diff1,0.112649,Volatility_20__logdiff1,0.111561,KR_Spread_10Y_3Y__diff1,0.103982,KR_Interest_Rate_3Y__diff1,0.09348,Nikkei225__logdiff1,0.088582,Net_Purchase_Foreigner,0.084318,Net_Purchase_Investment_Trust,0.077206,Dollar_Index__logdiff1,0.075069
2024-01-22,Net_Purchase_Pension_Fund,0.137898,US_Interest_Rate_10Y__diff1,0.119246,KR_Spread_10Y_3Y__diff1,0.10922,Net_Purchase_Investment_Trust,0.09413,Dollar_Index__logdiff1,0.093748,Net_Purchase_Foreigner,0.091666,KR_Interest_Rate_3Y__diff1,0.091213,US_Interest_Rate_3Y__diff1,0.088909,Volatility_20__logdiff1,0.0871,Nikkei225__logdiff1,0.08687
2024-02-28,Net_Purchase_Pension_Fund,0.135848,KR_Spread_10Y_3Y__diff1,0.117869,Dollar_Index__logdiff1,0.111294,Volatility_20__logdiff1,0.103571,US_Interest_Rate_10Y__diff1,0.102156,US_Interest_Rate_3Y__diff1,0.102053,KR_Interest_Rate_3Y__diff1,0.094539,Net_Purchase_Investment_Trust,0.079459,Nikkei225__logdiff1,0.078798,Net_Purchase_Foreigner,0.074412
2024-04-04,Net_Purchase_Pension_Fund,0.135008,KR_Spread_10Y_3Y__diff1,0.120498,Dollar_Index__logdiff1,0.110379,Net_Purchase_Foreigner,0.100305,US_Interest_Rate_10Y__diff1,0.099544,Volatility_20__logdiff1,0.096964,KR_Interest_Rate_3Y__diff1,0.092567,Nikkei225__logdiff1,0.084376,US_Interest_Rate_3Y__diff1,0.081327,Net_Purchase_Investment_Trust,0.079032
2024-05-14,Dollar_Index__logdiff1,0.171308,US_Interest_Rate_10Y__diff1,0.137652,Net_Purchase_Foreigner,0.107003,Net_Purchase_Pension_Fund,0.101236,KR_Interest_Rate_3Y__diff1,0.092351,KR_Spread_10Y_3Y__diff1,0.090504,US_Interest_Rate_3Y__diff1,0.082162,Nikkei225__logdiff1,0.078917,Volatility_20__logdiff1,0.075684,Net_Purchase_Investment_Trust,0.063184
2024-06-20,US_Interest_Rate_3Y__diff1,0.151964,Dollar_Index__logdiff1,0.132822,US_Interest_Rate_10Y__diff1,0.105393,Net_Purchase_Foreigner,0.096205,Net_Purchase_Pension_Fund,0.091961,Volatility_20__logdiff1,0.089828,KR_Interest_Rate_3Y__diff1,0.085336,Nikkei225__logdiff1,0.08414,KR_Spread_10Y_3Y__diff1,0.081312,Net_Purchase_Investment_Trust,0.081039
2024-07-25,US_Interest_Rate_10Y__diff1,0.174136,Dollar_Index__logdiff1,0.147772,US_Interest_Rate_3Y__diff1,0.135769,Net_Purchase_Investment_Trust,0.100515,Net_Purchase_Foreigner,0.093488,KR_Interest_Rate_3Y__diff1,0.091188,Net_Purchase_Pension_Fund,0.087189,KR_Spread_10Y_3Y__diff1,0.071765,Volatility_20__logdiff1,0.050266,Nikkei225__logdiff1,0.047911
2024-08-30,Dollar_Index__logdiff1,0.145437,US_Interest_Rate_10Y__diff1,0.117932,US_Interest_Rate_3Y__diff1,0.103355,KR_Interest_Rate_3Y__diff1,0.100904,Net_Purchase_Pension_Fund,0.096036,Net_Purchase_Foreigner,0.092834,KR_Spread_10Y_3Y__diff1,0.089346,Volatility_20__logdiff1,0.087398,Nikkei225__logdiff1,0.085937,Net_Purchase_Investment_Trust,0.080822
2024-10-14,Dollar_Index__logdiff1,0.157339,Volatility_20__logdiff1,0.106206,US_Interest_Rate_3Y__diff1,0.105073,Net_Purchase_Investment_Trust,0.096948,US_Interest_Rate_10Y__diff1,0.095967,Net_Purchase_Pension_Fund,0.09594,KR_Interest_Rate_3Y__diff1,0.095108,Net_Purchase_Foreigner,0.091705,KR_Spread_10Y_3Y__diff1,0.077948,Nikkei225__logdiff1,0.077766
2024-11-18,Dollar_Index__logdiff1,0.120081,US_Interest_Rate_3Y__diff1,0.110643,Nikkei225__logdiff1,0.104813,Net_Purchase_Foreigner,0.102629,Net_Purchase_Investment_Trust,0.10201,KR_Spread_10Y_3Y__diff1,0.10196,Volatility_20__logdiff1,0.09225,US_Interest_Rate_10Y__diff1,0.090673,Net_Purchase_Pension_Fund,0.089329,KR_Interest_Rate_3Y__diff1,0.085612
2024-12-23,Net_Purchase_Pension_Fund,0.109333,Dollar_Index__logdiff1,0.104932,US_Interest_Rate_3Y__diff1,0.104449,Volatility_20__logdiff1,0.102388,Net_Purchase_Foreigner,0.101614,Nikkei225__logdiff1,0.100672,Net_Purchase_Investment_Trust,0.096845,KR_Spread_10Y_3Y__diff1,0.096226,US_Interest_Rate_10Y__diff1,0.094398,KR_Interest_Rate_3Y__diff1,0.089143
