Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,1,0.5616,0,FP
2023-08-24,1,1,0.5396,1,TP
2023-08-25,0,1,0.7792,0,FP
2023-08-28,1,0,0.9342,0,FN
2023-08-29,1,1,0.8221,1,TP
2023-08-30,1,1,0.9155,1,TP
2023-08-31,0,0,0.5421,1,TN
2023-09-01,1,0,0.7068,0,FN
2023-09-04,1,1,0.6463,1,TP
2023-09-05,0,1,0.7932,0,FP
2023-09-06,0,1,0.6933,0,FP
2023-09-07,0,0,0.6601,1,TN
2023-09-08,0,1,0.6481,0,FP
2023-09-11,1,0,0.7398,0,FN
2023-09-12,0,1,0.6764,0,FP
2023-09-13,0,1,0.5585,0,FP
2023-09-14,1,0,0.9288,0,FN
2023-09-15,1,1,0.8689,1,TP
2023-09-18,0,0,0.8568,1,TN
2023-09-19,0,0,0.7181,1,TN
2023-09-20,1,0,0.973,0,FN
2023-09-21,0,0,0.8883,1,TN
2023-09-22,0,0,0.9607,1,TN
2023-09-25,0,0,0.6835,1,TN
2023-09-26,0,0,0.9885,1,TN
2023-09-27,1,0,0.9711,0,FN
2023-10-04,0,1,0.5565,0,FP
2023-10-05,0,0,0.5061,1,TN
2023-10-06,1,1,0.7993,1,TP
2023-10-10,0,1,0.8039,0,FP
2023-10-11,1,1,0.7266,1,TP
2023-10-12,1,1,0.8023,1,TP
2023-10-13,0,1,0.9009,0,FP
2023-10-16,0,1,0.8998,0,FP
2023-10-17,1,0,0.7444,0,FN
2023-10-18,1,0,0.7104,0,FN
2023-10-19,0,0,0.632,1,TN
2023-10-20,0,0,0.8298,1,TN
2023-10-23,0,1,0.5058,0,FP
2023-10-24,1,0,0.76,0,FN
2023-10-25,0,1,0.5187,0,FP
2023-10-26,0,0,0.5813,1,TN
2023-10-27,1,0,0.7481,0,FN
2023-10-30,1,1,0.9579,1,TP
2023-10-31,0,0,0.5422,1,TN
2023-11-01,1,0,0.7177,0,FN
2023-11-02,1,1,0.9174,1,TP
2023-11-03,1,0,0.6911,0,FN
2023-11-06,1,1,0.8496,1,TP
