Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,1,0.5434,0,FP
2023-08-24,1,1,0.5425,1,TP
2023-08-25,0,1,0.7034,0,FP
2023-08-28,1,0,0.7921,0,FN
2023-08-29,1,1,0.8181,1,TP
2023-08-30,1,1,0.8136,1,TP
2023-08-31,0,1,0.6669,0,FP
2023-09-01,1,1,0.5489,1,TP
2023-09-04,1,1,0.6018,1,TP
2023-09-05,0,1,0.6584,0,FP
2023-09-06,0,1,0.6854,0,FP
2023-09-07,0,0,0.5397,1,TN
2023-09-08,0,1,0.7358,0,FP
2023-09-11,1,0,0.5365,0,FN
2023-09-12,0,1,0.5493,0,FP
2023-09-13,0,1,0.558,0,FP
2023-09-14,1,0,0.6717,0,FN
2023-09-15,1,1,0.6786,1,TP
2023-09-18,0,0,0.5005,1,TN
2023-09-19,0,0,0.5505,1,TN
2023-09-20,1,0,0.7525,0,FN
2023-09-21,0,0,0.6872,1,TN
2023-09-22,0,0,0.8097,1,TN
2023-09-25,0,0,0.6364,1,TN
2023-09-26,0,0,0.8905,1,TN
2023-09-27,1,0,0.9358,0,FN
2023-10-04,0,1,0.5626,0,FP
2023-10-05,0,0,0.6981,1,TN
2023-10-06,1,1,0.6613,1,TP
2023-10-10,0,1,0.61,0,FP
2023-10-11,1,1,0.6475,1,TP
2023-10-12,1,1,0.8443,1,TP
2023-10-13,0,1,0.8609,0,FP
2023-10-16,0,1,0.8118,0,FP
2023-10-17,1,0,0.8106,0,FN
2023-10-18,1,0,0.6785,0,FN
2023-10-19,0,0,0.6472,1,TN
2023-10-20,0,0,0.7529,1,TN
2023-10-23,0,1,0.6021,0,FP
2023-10-24,1,0,0.6843,0,FN
2023-10-25,0,1,0.5942,0,FP
2023-10-26,0,0,0.5565,1,TN
2023-10-27,1,0,0.6744,0,FN
2023-10-30,1,1,0.9294,1,TP
2023-10-31,0,0,0.516,1,TN
2023-11-01,1,0,0.7003,0,FN
2023-11-02,1,1,0.843,1,TP
2023-11-03,1,0,0.5371,0,FN
2023-11-06,1,1,0.7665,1,TP
2023-11-07,0,0,0.7107,1,TN
2023-11-08,0,1,0.7809,0,FP
2023-11-09,1,0,0.5408,0,FN
2023-11-10,0,0,0.571,1,TN
2023-11-13,0,0,0.7663,1,TN
2023-11-14,1,0,0.8902,0,FN
2023-11-15,1,1,0.9061,1,TP
2023-11-16,1,0,0.7578,0,FN
2023-11-17,0,0,0.6508,1,TN
2023-11-20,1,0,0.8752,0,FN
2023-11-21,1,1,0.8272,1,TP
2023-11-22,1,1,0.7745,1,TP
2023-11-23,1,0,0.6963,0,FN
2023-11-24,0,1,0.6154,0,FP
2023-11-27,0,1,0.5326,0,FP
2023-11-28,1,1,0.952,1,TP
2023-11-29,0,1,0.9121,0,FP
2023-11-30,1,1,0.7476,1,TP
2023-12-01,0,1,0.5271,0,FP
2023-12-04,1,1,0.8952,1,TP
2023-12-05,0,0,0.7679,1,TN
2023-12-06,1,0,0.9265,0,FN
2023-12-07,0,1,0.6929,0,FP
2023-12-08,1,1,0.7757,1,TP
2023-12-11,1,0,0.8017,0,FN
2023-12-12,1,1,0.8197,1,TP
2023-12-13,0,0,0.5961,1,TN
2023-12-14,1,1,0.5954,1,TP
2023-12-15,1,1,0.7659,1,TP
2023-12-18,1,1,0.5388,1,TP
2023-12-19,1,0,0.6109,0,FN
2023-12-20,1,1,0.8117,1,TP
2023-12-21,0,1,0.6989,0,FP
2023-12-22,0,0,0.6909,1,TN
2023-12-26,1,0,0.6221,0,FN
2023-12-27,1,1,0.7625,1,TP
2023-12-28,1,1,0.7271,1,TP
2024-01-02,1,0,0.5078,0,FN
2024-01-03,0,0,0.7362,1,TN
2024-01-04,0,0,0.5242,1,TN
2024-01-05,0,0,0.612,1,TN
2024-01-08,0,0,0.6769,1,TN
2024-01-09,0,1,0.6877,0,FP
2024-01-10,0,0,0.5625,1,TN
2024-01-11,0,0,0.7486,1,TN
2024-01-12,0,0,0.5249,1,TN
2024-01-15,1,0,0.7051,0,FN
2024-01-16,0,0,0.7205,1,TN
2024-01-17,0,0,0.7761,1,TN
2024-01-18,1,0,0.8418,0,FN
2024-01-19,1,0,0.7217,0,FN
2024-01-22,0,0,0.7216,1,TN
2024-01-23,1,1,0.7047,1,TP
2024-01-24,0,1,0.6774,0,FP
2024-01-25,1,1,0.5671,1,TP
2024-01-26,1,1,0.6877,1,TP
2024-01-29,1,1,0.7962,1,TP
2024-01-30,0,1,0.6233,0,FP
2024-01-31,0,1,0.8743,0,FP
2024-02-01,1,1,0.5878,1,TP
2024-02-02,1,0,0.5189,0,FN
2024-02-05,0,1,0.6622,0,FP
2024-02-06,0,0,0.6803,1,TN
2024-02-07,1,0,0.5542,0,FN
2024-02-08,1,1,0.6302,1,TP
2024-02-13,1,1,0.7735,1,TP
2024-02-14,0,0,0.6745,1,TN
2024-02-15,0,1,0.8208,0,FP
2024-02-16,1,1,0.5752,1,TP
2024-02-19,1,1,0.5308,1,TP
2024-02-20,0,1,0.8275,0,FP
2024-02-21,0,0,0.529,1,TN
2024-02-22,1,1,0.6951,1,TP
2024-02-23,1,0,0.5271,0,FN
2024-02-26,0,1,0.6722,0,FP
2024-02-27,0,0,0.6524,1,TN
2024-02-28,1,0,0.6006,0,FN
2024-02-29,0,1,0.5019,0,FP
2024-03-04,1,0,0.6681,0,FN
2024-03-05,0,1,0.6503,0,FP
2024-03-06,0,1,0.6246,0,FP
2024-03-07,1,1,0.5,1,TP
2024-03-08,1,0,0.501,0,FN
2024-03-11,0,1,0.5785,0,FP
2024-03-12,1,1,0.6069,1,TP
2024-03-13,1,1,0.592,1,TP
2024-03-14,1,1,0.6521,1,TP
2024-03-15,0,1,0.5528,0,FP
2024-03-18,1,1,0.5256,1,TP
2024-03-19,0,0,0.5722,1,TN
2024-03-20,1,1,0.5419,1,TP
2024-03-21,1,1,0.5398,1,TP
2024-03-22,0,0,0.5666,1,TN
2024-03-25,0,0,0.6088,1,TN
2024-03-26,1,1,0.622,1,TP
2024-03-27,0,1,0.5233,0,FP
2024-03-28,0,1,0.5439,0,FP
2024-03-29,1,1,0.5732,1,TP
2024-04-01,1,0,0.6166,0,FN
2024-04-02,1,1,0.5001,1,TP
2024-04-03,0,0,0.5184,1,TN
2024-04-04,1,1,0.59,1,TP
2024-04-05,0,1,0.552,0,FP
2024-04-08,1,1,0.6199,1,TP
2024-04-09,0,1,0.5429,0,FP
2024-04-11,1,1,0.5555,1,TP
2024-04-12,0,1,0.5425,0,FP
2024-04-15,0,1,0.5967,0,FP
2024-04-16,0,1,0.5092,0,FP
2024-04-17,0,1,0.5584,0,FP
2024-04-18,1,1,0.648,1,TP
2024-04-19,0,0,0.6788,1,TN
2024-04-22,1,0,0.5127,0,FN
2024-04-23,0,0,0.5076,1,TN
2024-04-24,1,1,0.7704,1,TP
2024-04-25,0,1,0.511,0,FP
2024-04-26,1,1,0.5153,1,TP
2024-04-29,1,0,0.5331,0,FN
2024-04-30,1,1,0.6369,1,TP
2024-05-02,0,0,0.5211,1,TN
2024-05-03,0,1,0.794,0,FP
2024-05-07,1,1,0.7254,1,TP
2024-05-08,1,0,0.6221,0,FN
2024-05-09,0,1,0.5744,0,FP
2024-05-10,1,1,0.5586,1,TP
2024-05-13,0,1,0.5725,0,FP
2024-05-14,1,1,0.7433,1,TP
2024-05-16,1,1,0.7147,1,TP
2024-05-17,0,1,0.7443,0,FP
2024-05-20,1,1,0.5629,1,TP
2024-05-21,0,0,0.753,1,TN
2024-05-22,0,1,0.8229,0,FP
2024-05-23,0,0,0.57,1,TN
2024-05-24,0,0,0.8096,1,TN
2024-05-27,1,1,0.8033,1,TP
2024-05-28,0,1,0.7221,0,FP
2024-05-29,0,1,0.6931,0,FP
2024-05-30,0,0,0.5796,1,TN
2024-05-31,1,1,0.8408,1,TP
2024-06-03,1,1,0.8664,1,TP
2024-06-04,0,0,0.572,1,TN
2024-06-05,1,0,0.5811,0,FN
2024-06-07,1,0,0.6662,0,FN
2024-06-10,0,0,0.8304,1,TN
2024-06-11,1,0,0.7995,0,FN
2024-06-12,1,1,0.9085,1,TP
2024-06-13,1,1,0.629,1,TP
2024-06-14,1,1,0.6077,1,TP
2024-06-17,0,0,0.6028,1,TN
2024-06-18,1,0,0.601,0,FN
2024-06-19,1,0,0.6787,0,FN
2024-06-20,1,0,0.5703,0,FN
2024-06-21,0,0,0.6484,1,TN
2024-06-24,0,1,0.5661,0,FP
2024-06-25,1,1,0.5399,1,TP
2024-06-26,1,0,0.6831,0,FN
2024-06-27,0,0,0.7883,1,TN
2024-06-28,1,1,0.5282,1,TP
2024-07-01,1,0,0.6447,0,FN
2024-07-02,0,0,0.5123,1,TN
2024-07-03,1,1,0.7181,1,TP
2024-07-04,1,1,0.6932,1,TP
2024-07-05,1,0,0.5225,0,FN
2024-07-08,0,1,0.6198,0,FP
2024-07-09,1,1,0.5785,1,TP
2024-07-10,1,0,0.6007,0,FN
