Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,1,0.5292,0,FP
2023-08-24,1,1,0.5125,1,TP
2023-08-25,0,1,0.7726,0,FP
2023-08-28,1,0,0.9369,0,FN
2023-08-29,1,1,0.8233,1,TP
2023-08-30,1,1,0.9362,1,TP
2023-08-31,0,0,0.5176,1,TN
2023-09-01,1,0,0.6947,0,FN
2023-09-04,1,1,0.6284,1,TP
2023-09-05,0,1,0.7777,0,FP
2023-09-06,0,1,0.5933,0,FP
2023-09-07,0,0,0.6581,1,TN
2023-09-08,0,1,0.6591,0,FP
2023-09-11,1,0,0.7641,0,FN
2023-09-12,0,1,0.6631,0,FP
2023-09-13,0,1,0.5545,0,FP
2023-09-14,1,0,0.9279,0,FN
2023-09-15,1,1,0.8667,1,TP
2023-09-18,0,0,0.8479,1,TN
2023-09-19,0,0,0.6945,1,TN
2023-09-20,1,0,0.9746,0,FN
2023-09-21,0,0,0.9027,1,TN
2023-09-22,0,0,0.9601,1,TN
2023-09-25,0,0,0.6154,1,TN
2023-09-26,0,0,0.9891,1,TN
2023-09-27,1,0,0.96,0,FN
2023-10-04,0,1,0.5554,0,FP
2023-10-05,0,1,0.6424,0,FP
2023-10-06,1,1,0.8333,1,TP
2023-10-10,0,1,0.7371,0,FP
2023-10-11,1,1,0.7345,1,TP
2023-10-12,1,1,0.7499,1,TP
2023-10-13,0,1,0.91,0,FP
2023-10-16,0,1,0.8752,0,FP
2023-10-17,1,0,0.7919,0,FN
2023-10-18,1,0,0.6388,0,FN
2023-10-19,0,0,0.6892,1,TN
2023-10-20,0,0,0.9004,1,TN
2023-10-23,0,0,0.5229,1,TN
2023-10-24,1,0,0.7663,0,FN
2023-10-25,0,1,0.5859,0,FP
2023-10-26,0,1,0.5817,0,FP
2023-10-27,1,0,0.7789,0,FN
2023-10-30,1,1,0.9706,1,TP
2023-10-31,0,1,0.5518,0,FP
2023-11-01,1,0,0.676,0,FN
2023-11-02,1,1,0.9046,1,TP
2023-11-03,1,0,0.6775,0,FN
2023-11-06,1,1,0.8704,1,TP
