Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,0,0.6784,1,TN
2023-08-24,1,0,0.8211,0,FN
2023-08-25,0,1,0.8286,0,FP
2023-08-28,1,0,0.9544,0,FN
2023-08-29,1,1,0.6513,1,TP
2023-08-30,1,1,0.9436,1,TP
2023-08-31,0,1,0.5623,0,FP
2023-09-01,1,0,0.7065,0,FN
2023-09-04,1,1,0.5243,1,TP
2023-09-05,0,1,0.8631,0,FP
2023-09-06,0,1,0.5635,0,FP
2023-09-07,0,0,0.7917,1,TN
2023-09-08,0,1,0.5024,0,FP
2023-09-11,1,0,0.8289,0,FN
2023-09-12,0,0,0.5814,1,TN
2023-09-13,0,0,0.5433,1,TN
2023-09-14,1,0,0.9524,0,FN
2023-09-15,1,1,0.7463,1,TP
2023-09-18,0,0,0.901,1,TN
2023-09-19,0,0,0.8068,1,TN
2023-09-20,1,0,0.967,0,FN
2023-09-21,0,0,0.9149,1,TN
2023-09-22,0,0,0.988,1,TN
2023-09-25,0,0,0.7606,1,TN
2023-09-26,0,0,0.9965,1,TN
2023-09-27,1,0,0.5931,0,FN
2023-10-04,0,0,0.5769,1,TN
2023-10-05,0,0,0.5878,1,TN
2023-10-06,1,0,0.5982,0,FN
2023-10-10,0,0,0.5823,1,TN
2023-10-11,1,0,0.5927,0,FN
2023-10-12,1,0,0.5773,0,FN
2023-10-13,0,0,0.5626,1,TN
2023-10-16,0,0,0.5734,1,TN
2023-10-17,1,0,0.5837,0,FN
2023-10-18,1,0,0.5692,0,FN
2023-10-19,0,0,0.5553,1,TN
2023-10-20,0,0,0.5659,1,TN
2023-10-23,0,0,0.5761,1,TN
2023-10-24,1,0,0.5859,0,FN
2023-10-25,0,0,0.5719,1,TN
2023-10-26,0,0,0.5817,1,TN
2023-10-27,1,0,0.5911,0,FN
2023-10-30,1,0,0.5774,0,FN
2023-10-31,0,0,0.5642,1,TN
2023-11-01,1,0,0.5739,0,FN
2023-11-02,1,0,0.561,0,FN
2023-11-03,1,0,0.5486,0,FN
2023-11-06,1,0,0.5366,0,FN
2023-11-07,0,0,0.5251,1,TN
2023-11-08,0,1,0.584,0,FP
2023-11-09,1,1,0.6364,1,TP
2023-11-10,0,0,0.589,1,TN
2023-11-13,0,0,0.6768,1,TN
2023-11-14,1,0,0.6849,0,FN
2023-11-15,1,1,0.6726,1,TP
2023-11-16,1,0,0.6159,0,FN
2023-11-17,0,0,0.5778,1,TN
2023-11-20,1,0,0.708,0,FN
2023-11-21,1,1,0.6992,1,TP
2023-11-22,1,1,0.7127,1,TP
2023-11-23,1,0,0.6946,0,FN
2023-11-24,0,1,0.584,0,FP
2023-11-27,0,0,0.5311,1,TN
2023-11-28,1,1,0.866,1,TP
2023-11-29,0,1,0.7732,0,FP
2023-11-30,1,1,0.5362,1,TP
2023-12-01,0,0,0.6542,1,TN
2023-12-04,1,1,0.5682,1,TP
2023-12-05,0,0,0.6602,1,TN
2023-12-06,1,0,0.7319,0,FN
2023-12-07,0,1,0.6522,0,FP
2023-12-08,1,1,0.7769,1,TP
2023-12-11,1,0,0.6372,0,FN
2023-12-12,1,1,0.7545,1,TP
2023-12-13,0,1,0.6926,0,FP
2023-12-14,1,1,0.7974,1,TP
2023-12-15,1,1,0.7489,1,TP
2023-12-18,1,1,0.5281,1,TP
2023-12-19,1,0,0.7527,0,FN
2023-12-20,1,1,0.9277,1,TP
2023-12-21,0,1,0.7728,0,FP
2023-12-22,0,0,0.736,1,TN
2023-12-26,1,0,0.8075,0,FN
2023-12-27,1,1,0.8631,1,TP
2023-12-28,1,1,0.9227,1,TP
2024-01-02,1,0,0.5477,0,FN
2024-01-03,0,0,0.8801,1,TN
2024-01-04,0,1,0.6231,0,FP
2024-01-05,0,0,0.6821,1,TN
2024-01-08,0,0,0.8174,1,TN
2024-01-09,0,1,0.6682,0,FP
2024-01-10,0,1,0.6824,0,FP
2024-01-11,0,0,0.8393,1,TN
2024-01-12,0,1,0.5231,0,FP
2024-01-15,1,0,0.8845,0,FN
2024-01-16,0,0,0.6963,1,TN
2024-01-17,0,0,0.975,1,TN
2024-01-18,1,0,0.9731,0,FN
2024-01-19,1,0,0.9045,0,FN
2024-01-22,0,1,0.8401,0,FP
2024-01-23,1,0,0.5733,0,FN
2024-01-24,0,1,0.8977,0,FP
2024-01-25,1,0,0.5475,0,FN
2024-01-26,1,1,0.7091,1,TP
2024-01-29,1,1,0.6237,1,TP
2024-01-30,0,1,0.562,0,FP
2024-01-31,0,1,0.8651,0,FP
2024-02-01,1,1,0.7455,1,TP
2024-02-02,1,1,0.8409,1,TP
2024-02-05,0,1,0.5919,0,FP
2024-02-06,0,0,0.6211,1,TN
2024-02-07,1,0,0.7866,0,FN
2024-02-08,1,1,0.6612,1,TP
2024-02-13,1,1,0.6322,1,TP
2024-02-14,0,0,0.631,1,TN
2024-02-15,0,1,0.5131,0,FP
2024-02-16,1,1,0.8856,1,TP
2024-02-19,1,1,0.5012,1,TP
2024-02-20,0,1,0.8413,0,FP
2024-02-21,0,1,0.583,0,FP
2024-02-22,1,1,0.7444,1,TP
2024-02-23,1,1,0.6955,1,TP
2024-02-26,0,1,0.7443,0,FP
2024-02-27,0,1,0.5504,0,FP
2024-02-28,1,0,0.654,0,FN
2024-02-29,0,1,0.6633,0,FP
2024-03-04,1,0,0.7283,0,FN
2024-03-05,0,1,0.7577,0,FP
2024-03-06,0,1,0.6428,0,FP
2024-03-07,1,0,0.5902,0,FN
2024-03-08,1,1,0.5428,1,TP
2024-03-11,0,1,0.7265,0,FP
2024-03-12,1,1,0.508,1,TP
2024-03-13,1,0,0.5713,0,FN
2024-03-14,1,1,0.6086,1,TP
2024-03-15,0,0,0.5826,1,TN
2024-03-18,1,0,0.5957,0,FN
2024-03-19,0,1,0.5581,0,FP
2024-03-20,1,1,0.6657,1,TP
2024-03-21,1,1,0.7219,1,TP
2024-03-22,0,0,0.6545,1,TN
2024-03-25,0,1,0.5874,0,FP
2024-03-26,1,1,0.6092,1,TP
2024-03-27,0,0,0.6341,1,TN
2024-03-28,0,1,0.6958,0,FP
2024-03-29,1,1,0.6674,1,TP
2024-04-01,1,0,0.7623,0,FN
2024-04-02,1,0,0.5527,0,FN
2024-04-03,0,0,0.82,1,TN
2024-04-04,1,1,0.517,1,TP
2024-04-05,0,1,0.5229,0,FP
2024-04-08,1,1,0.5165,1,TP
2024-04-09,0,1,0.5222,0,FP
2024-04-11,1,1,0.516,1,TP
2024-04-12,0,1,0.5213,0,FP
2024-04-15,0,1,0.515,0,FP
2024-04-16,0,1,0.5094,0,FP
2024-04-17,0,1,0.5033,0,FP
2024-04-18,1,0,0.5025,0,FN
2024-04-19,0,1,0.503,0,FP
2024-04-22,1,0,0.5024,0,FN
2024-04-23,0,1,0.5035,0,FP
2024-04-24,1,0,0.5023,0,FN
2024-04-25,0,1,0.5035,0,FP
2024-04-26,1,0,0.5015,0,FN
2024-04-29,1,1,0.5038,1,TP
2024-04-30,1,1,0.5097,1,TP
2024-05-02,0,1,0.5147,0,FP
2024-05-03,0,1,0.5087,0,FP
2024-05-07,1,1,0.5035,1,TP
2024-05-08,1,1,0.5087,1,TP
2024-05-09,0,1,0.5143,0,FP
2024-05-10,1,1,0.5087,1,TP
2024-05-13,0,1,0.5138,0,FP
2024-05-14,1,1,0.755,1,TP
2024-05-16,1,1,0.6893,1,TP
2024-05-17,0,1,0.7501,0,FP
2024-05-20,1,1,0.5819,1,TP
2024-05-21,0,0,0.769,1,TN
2024-05-22,0,1,0.8204,0,FP
2024-05-23,0,0,0.5598,1,TN
2024-05-24,0,0,0.8217,1,TN
2024-05-27,1,1,0.7932,1,TP
2024-05-28,0,1,0.7408,0,FP
2024-05-29,0,1,0.687,0,FP
2024-05-30,0,0,0.5654,1,TN
2024-05-31,1,1,0.832,1,TP
2024-06-03,1,1,0.8781,1,TP
2024-06-04,0,0,0.6037,1,TN
2024-06-05,1,0,0.5832,0,FN
2024-06-07,1,0,0.7098,0,FN
2024-06-10,0,0,0.826,1,TN
2024-06-11,1,0,0.7871,0,FN
2024-06-12,1,1,0.911,1,TP
2024-06-13,1,1,0.6352,1,TP
2024-06-14,1,1,0.614,1,TP
2024-06-17,0,0,0.587,1,TN
2024-06-18,1,0,0.6206,0,FN
2024-06-19,1,0,0.6616,0,FN
2024-06-20,1,0,0.5681,0,FN
2024-06-21,0,0,0.6193,1,TN
2024-06-24,0,1,0.6355,0,FP
2024-06-25,1,1,0.7706,1,TP
2024-06-26,1,0,0.7713,0,FN
2024-06-27,0,0,0.8317,1,TN
2024-06-28,1,1,0.5508,1,TP
2024-07-01,1,0,0.7364,0,FN
2024-07-02,0,1,0.5193,0,FP
2024-07-03,1,1,0.7451,1,TP
2024-07-04,1,1,0.6662,1,TP
2024-07-05,1,0,0.5417,0,FN
2024-07-08,0,1,0.6705,0,FP
2024-07-09,1,1,0.7894,1,TP
2024-07-10,1,0,0.6313,0,FN
2024-07-11,1,1,0.6384,1,TP
2024-07-12,0,1,0.6989,0,FP
2024-07-15,1,1,0.7675,1,TP
2024-07-16,1,0,0.6169,0,FN
2024-07-17,0,0,0.5086,1,TN
2024-07-18,0,1,0.7295,0,FP
2024-07-19,0,1,0.5712,0,FP
2024-07-22,0,0,0.7332,1,TN
2024-07-23,1,1,0.5364,1,TP
2024-07-24,0,0,0.5413,1,TN
2024-07-25,0,1,0.6413,0,FP
2024-07-26,1,0,0.5114,0,FN
2024-07-29,1,1,0.6652,1,TP
2024-07-30,0,0,0.6015,1,TN
2024-07-31,1,0,0.5289,0,FN
2024-08-01,1,1,0.596,1,TP
2024-08-02,0,1,0.506,0,FP
2024-08-05,0,1,0.7032,0,FP
2024-08-06,1,1,0.5766,1,TP
2024-08-07,1,0,0.782,0,FN
2024-08-08,0,0,0.7429,1,TN
2024-08-09,1,1,0.5891,1,TP
2024-08-12,1,1,0.7876,1,TP
2024-08-13,1,1,0.7887,1,TP
2024-08-14,1,1,0.7899,1,TP
2024-08-16,1,1,0.5888,1,TP
2024-08-19,0,1,0.6009,0,FP
2024-08-20,1,1,0.8406,1,TP
2024-08-21,1,1,0.7985,1,TP
2024-08-22,1,1,0.7729,1,TP
2024-08-23,0,1,0.5885,0,FP
2024-08-26,0,1,0.7709,0,FP
2024-08-27,0,1,0.7415,0,FP
2024-08-28,1,0,0.5222,0,FN
2024-08-29,0,1,0.5777,0,FP
