Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,0,0.6072,1,TN
2023-08-24,1,0,0.7374,0,FN
2023-08-25,0,1,0.6998,0,FP
2023-08-28,1,0,0.8809,0,FN
2023-08-29,1,1,0.7051,1,TP
2023-08-30,1,1,0.8896,1,TP
2023-08-31,0,1,0.6195,0,FP
2023-09-01,1,0,0.6206,0,FN
2023-09-04,1,1,0.624,1,TP
2023-09-05,0,1,0.687,0,FP
2023-09-06,0,0,0.5458,1,TN
2023-09-07,0,0,0.8608,1,TN
2023-09-08,0,0,0.52,1,TN
2023-09-11,1,0,0.6384,0,FN
2023-09-12,0,1,0.5254,0,FP
2023-09-13,0,1,0.5653,0,FP
2023-09-14,1,0,0.9394,0,FN
2023-09-15,1,1,0.6257,1,TP
2023-09-18,0,0,0.8725,1,TN
2023-09-19,0,0,0.6898,1,TN
2023-09-20,1,0,0.9398,0,FN
2023-09-21,0,0,0.8516,1,TN
2023-09-22,0,0,0.9661,1,TN
2023-09-25,0,0,0.6071,1,TN
2023-09-26,0,0,0.9941,1,TN
2023-09-27,1,0,0.6222,0,FN
2023-10-04,0,0,0.5955,1,TN
2023-10-05,0,0,0.6119,1,TN
2023-10-06,1,0,0.6274,0,FN
2023-10-10,0,0,0.6012,1,TN
2023-10-11,1,0,0.6169,0,FN
2023-10-12,1,0,0.5918,0,FN
2023-10-13,0,0,0.5681,1,TN
2023-10-16,0,0,0.585,1,TN
2023-10-17,1,0,0.601,0,FN
2023-10-18,1,0,0.5775,0,FN
2023-10-19,0,0,0.5554,1,TN
2023-10-20,0,0,0.5723,1,TN
2023-10-23,0,0,0.5883,1,TN
2023-10-24,1,0,0.6034,0,FN
2023-10-25,0,0,0.5808,1,TN
2023-10-26,0,0,0.596,1,TN
2023-10-27,1,0,0.6105,0,FN
2023-10-30,1,0,0.5882,0,FN
2023-10-31,0,0,0.5671,1,TN
2023-11-01,1,0,0.5824,0,FN
2023-11-02,1,0,0.5619,0,FN
2023-11-03,1,0,0.5424,0,FN
2023-11-06,1,0,0.5239,0,FN
2023-11-07,0,0,0.5062,1,TN
2023-11-08,0,1,0.5657,0,FP
2023-11-09,1,1,0.6076,1,TP
2023-11-10,0,0,0.5905,1,TN
2023-11-13,0,0,0.7186,1,TN
2023-11-14,1,0,0.728,0,FN
2023-11-15,1,1,0.7333,1,TP
2023-11-16,1,0,0.7103,0,FN
2023-11-17,0,0,0.5581,1,TN
2023-11-20,1,0,0.8077,0,FN
2023-11-21,1,1,0.7595,1,TP
2023-11-22,1,1,0.704,1,TP
2023-11-23,1,0,0.7441,0,FN
2023-11-24,0,1,0.6261,0,FP
2023-11-27,0,1,0.5196,0,FP
2023-11-28,1,1,0.9224,1,TP
2023-11-29,0,1,0.7388,0,FP
2023-11-30,1,1,0.5175,1,TP
