Date,Actual,Predicted,Confidence,Is_Correct,Error_Type
2023-08-23,0,0,0.5816,1,TN
2023-08-24,1,0,0.812,0,FN
2023-08-25,0,1,0.5926,0,FP
2023-08-28,1,0,0.9291,0,FN
2023-08-29,1,1,0.8314,1,TP
2023-08-30,1,1,0.8809,1,TP
2023-08-31,0,1,0.6939,0,FP
2023-09-01,1,0,0.5966,0,FN
2023-09-04,1,1,0.774,1,TP
2023-09-05,0,1,0.6581,0,FP
2023-09-06,0,0,0.5236,1,TN
2023-09-07,0,0,0.9026,1,TN
2023-09-08,0,1,0.6165,0,FP
2023-09-11,1,0,0.6734,0,FN
2023-09-12,0,0,0.6843,1,TN
2023-09-13,0,1,0.5534,0,FP
2023-09-14,1,0,0.9544,0,FN
2023-09-15,1,1,0.5637,1,TP
2023-09-18,0,0,0.8877,1,TN
2023-09-19,0,0,0.7106,1,TN
2023-09-20,1,0,0.9469,0,FN
2023-09-21,0,0,0.8401,1,TN
2023-09-22,0,0,0.9719,1,TN
2023-09-25,0,0,0.6465,1,TN
2023-09-26,0,0,0.995,1,TN
2023-09-27,1,0,0.6162,0,FN
2023-10-04,0,0,0.5919,1,TN
2023-10-05,0,0,0.6071,1,TN
2023-10-06,1,0,0.6214,0,FN
2023-10-10,0,0,0.5976,1,TN
2023-10-11,1,0,0.6122,0,FN
2023-10-12,1,0,0.5893,0,FN
2023-10-13,0,0,0.5676,1,TN
2023-10-16,0,0,0.5831,1,TN
2023-10-17,1,0,0.5978,0,FN
2023-10-18,1,0,0.5763,0,FN
2023-10-19,0,0,0.556,1,TN
2023-10-20,0,0,0.5715,1,TN
2023-10-23,0,0,0.5862,1,TN
2023-10-24,1,0,0.6001,0,FN
2023-10-25,0,0,0.5795,1,TN
2023-10-26,0,0,0.5935,1,TN
2023-10-27,1,0,0.6068,0,FN
2023-10-30,1,0,0.5864,0,FN
2023-10-31,0,0,0.5671,1,TN
2023-11-01,1,0,0.5811,0,FN
2023-11-02,1,0,0.5623,0,FN
2023-11-03,1,0,0.5444,0,FN
2023-11-06,1,0,0.5273,0,FN
2023-11-07,0,0,0.511,1,TN
2023-11-08,0,1,0.5985,0,FP
2023-11-09,1,1,0.6418,1,TP
2023-11-10,0,0,0.609,1,TN
2023-11-13,0,0,0.7324,1,TN
2023-11-14,1,0,0.705,0,FN
2023-11-15,1,1,0.7745,1,TP
2023-11-16,1,0,0.6653,0,FN
2023-11-17,0,0,0.5042,1,TN
2023-11-20,1,0,0.7898,0,FN
2023-11-21,1,1,0.7264,1,TP
2023-11-22,1,1,0.7766,1,TP
2023-11-23,1,0,0.7111,0,FN
2023-11-24,0,1,0.5789,0,FP
2023-11-27,0,1,0.5348,0,FP
2023-11-28,1,1,0.9179,1,TP
2023-11-29,0,1,0.8341,0,FP
2023-11-30,1,1,0.5595,1,TP
2023-12-01,0,0,0.6231,1,TN
2023-12-04,1,1,0.5777,1,TP
2023-12-05,0,0,0.6486,1,TN
2023-12-06,1,0,0.7793,0,FN
2023-12-07,0,1,0.6503,0,FP
2023-12-08,1,1,0.7303,1,TP
2023-12-11,1,0,0.5927,0,FN
2023-12-12,1,1,0.7319,1,TP
2023-12-13,0,0,0.6962,1,TN
2023-12-14,1,1,0.6108,1,TP
2023-12-15,1,1,0.8477,1,TP
2023-12-18,1,1,0.5399,1,TP
2023-12-19,1,0,0.6463,0,FN
2023-12-20,1,1,0.8815,1,TP
2023-12-21,0,1,0.714,0,FP
2023-12-22,0,0,0.7215,1,TN
2023-12-26,1,0,0.7531,0,FN
2023-12-27,1,1,0.8894,1,TP
2023-12-28,1,1,0.8066,1,TP
2024-01-02,1,0,0.5677,0,FN
2024-01-03,0,0,0.866,1,TN
2024-01-04,0,1,0.5479,0,FP
2024-01-05,0,0,0.5735,1,TN
2024-01-08,0,0,0.7978,1,TN
2024-01-09,0,1,0.8146,0,FP
2024-01-10,0,0,0.6085,1,TN
2024-01-11,0,0,0.8573,1,TN
2024-01-12,0,0,0.6123,1,TN
2024-01-15,1,0,0.8272,0,FN
2024-01-16,0,0,0.8819,1,TN
2024-01-17,0,0,0.8603,1,TN
2024-01-18,1,0,0.9093,0,FN
2024-01-19,1,0,0.7645,0,FN
2024-01-22,0,1,0.6042,0,FP
2024-01-23,1,0,0.5093,0,FN
2024-01-24,0,1,0.8216,0,FP
2024-01-25,1,0,0.5528,0,FN
2024-01-26,1,1,0.7278,1,TP
2024-01-29,1,1,0.6386,1,TP
2024-01-30,0,1,0.5503,0,FP
2024-01-31,0,1,0.8325,0,FP
2024-02-01,1,1,0.6089,1,TP
2024-02-02,1,0,0.516,0,FN
2024-02-05,0,1,0.5651,0,FP
2024-02-06,0,0,0.6492,1,TN
2024-02-07,1,0,0.5731,0,FN
2024-02-08,1,1,0.6578,1,TP
2024-02-13,1,1,0.7212,1,TP
2024-02-14,0,0,0.5652,1,TN
2024-02-15,0,1,0.7171,0,FP
2024-02-16,1,1,0.692,1,TP
2024-02-19,1,0,0.5392,0,FN
2024-02-20,0,1,0.8369,0,FP
2024-02-21,0,0,0.5753,1,TN
2024-02-22,1,1,0.6661,1,TP
2024-02-23,1,1,0.6272,1,TP
2024-02-26,0,1,0.5947,0,FP
2024-02-27,0,0,0.5523,1,TN
2024-02-28,1,0,0.6481,0,FN
2024-02-29,0,1,0.5963,0,FP
2024-03-04,1,0,0.7118,0,FN
2024-03-05,0,1,0.6739,0,FP
2024-03-06,0,1,0.6489,0,FP
2024-03-07,1,0,0.5671,0,FN
2024-03-08,1,0,0.551,0,FN
2024-03-11,0,1,0.6174,0,FP
2024-03-12,1,1,0.6998,1,TP
2024-03-13,1,1,0.6357,1,TP
2024-03-14,1,1,0.6634,1,TP
2024-03-15,0,1,0.5405,0,FP
2024-03-18,1,1,0.5149,1,TP
2024-03-19,0,0,0.5564,1,TN
2024-03-20,1,1,0.611,1,TP
2024-03-21,1,1,0.5535,1,TP
2024-03-22,0,0,0.6414,1,TN
2024-03-25,0,0,0.6644,1,TN
2024-03-26,1,1,0.6992,1,TP
2024-03-27,0,0,0.5543,1,TN
2024-03-28,0,0,0.5009,1,TN
2024-03-29,1,1,0.6622,1,TP
2024-04-01,1,0,0.624,0,FN
2024-04-02,1,0,0.5104,0,FN
2024-04-03,0,0,0.6247,1,TN
2024-04-04,1,1,0.5244,1,TP
2024-04-05,0,1,0.5327,0,FP
2024-04-08,1,1,0.5234,1,TP
2024-04-09,0,1,0.5319,0,FP
2024-04-11,1,1,0.5227,1,TP
2024-04-12,0,1,0.5302,0,FP
2024-04-15,0,1,0.5207,0,FP
2024-04-16,0,1,0.5126,0,FP
2024-04-17,0,1,0.5034,0,FP
