Date,Target,US_Interest_Rate_10Y__diff1,US_Interest_Rate_3Y__diff1,KR_Interest_Rate_10Y__diff1,KR_Interest_Rate_3Y__diff1,US_Spread_10Y_3Y__diff1,KR_Spread_10Y_3Y__diff1,VIX,S&P500__logdiff1,Nikkei225__logdiff1,TaiwanWeighted__logdiff1,USD_KRW__logdiff1,Dollar_Index__logdiff1,Log_Return,RSI_14,ATR_14__logdiff1,Volatility_20__logdiff1,MACD__diff1,Volume_ROC,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund,Net_Purchase_Financial_Investment,Net_Purchase_Foreigner,Volume,Transaction_Value__logdiff1
2023-05-04,0,-0.06,-0.09,-0.048,-0.054,0.03,0.006000043,17.78000069,-0.012040088,0,-0.005326758,-0.000364971,-0.006099407,-0.009148871,36.82574769,0.003820657,0.037916467,-2.32841092,0.268336491,-24640022215,-19957725851,-1.92E+11,-91428316585,889609358,-0.007067167
2023-05-08,1,-0.01,-0.11,-0.046,-0.071,0.1,0.025000097,18.34000015,-0.007022908,0,0.003569693,-0.00528105,0.000591942,-0.000183898,32.78127401,-0.039838834,-0.012853044,-1.990463705,-0.089287632,7450229244,-63699621016,-2.61E+11,39620053616,810178245,0.01308524
2023-05-09,0,0.15,0.23,0.032,0.051,-0.08,-0.019000055,20.09000015,-0.007244913,-0.007161487,0.005783733,-0.013777526,-0.00029589,0.004894167,33.69876222,0.010262155,-0.095078653,-0.687509874,-0.190874254,35558512859,-1.12E+11,4.46E+11,2.53E+11,655536077,-0.082295243
2023-05-10,0,0.01,-0.03,0.008,-0.005,0.04,0.013000011,16.97999954,0.018758193,0.010067995,0.001790158,0.004129835,0.002659937,-0.001254124,31.44964835,0.008924179,-0.073153638,-0.888921468,0.146614126,7424806742,28258174569,14371563962,1.15E+11,751646926,0.015086493
2023-05-11,0,-0.1,-0.12,0.023,0.017,0.02,0.006000044,17.70999908,-0.004589939,-0.004134012,-0.005479256,0.00274878,-0.001575384,-0.00541292,29.97524765,-0.009173457,-0.026393549,-1.866233732,-0.154343594,-4684242130,-61461501851,-1.11E+11,1.16E+11,635635038,-0.048202102
2023-05-12,0,-0.04,0.01,-0.049,-0.053,-0.05,0.00399995,16.94000053,0.004473942,0.000155917,-0.008160174,-0.006051227,0.005699084,-0.002209524,27.60727819,0.027539917,-0.154437247,-1.969295965,0.019664347,26152016461,17623274813,13706685978,1829048943,648134386,0.010050336
2023-05-15,1,0.07,0.09,-0.018,0.005,-0.02,-0.023000005,16.93000031,-0.001698065,0.008940673,-0.000791779,0.008935308,0.006056507,-0.006274189,27.0864247,-0.012107173,0.015353863,-2.830910905,0.231580992,-13548821653,-34266627,-61425594326,-2.47E+11,798229990,-0.046625841
2023-05-16,1,0.04,0.02,0.058,0.054,0.02,0.003999948,17.03000069,-0.001584562,0.008067163,-0.001763256,0.008714598,-0.002437718,0.001586421,31.57958049,-0.02045449,-0.020138177,-1.917330723,-0.392950908,4991779430,48066738562,91931794877,-49794741705,484564791,-0.216182966
2023-05-17,1,0.04,0.07,-0.029,-0.037,-0.03,0.007999897,17.12000084,0.002953798,0.007286154,0.012767897,-0.004572424,0.001268328,0.000358857,36.18419103,-0.005661505,-0.02262633,-1.422242564,0.297543248,-1689197625,902871183,-12011852011,2.28E+11,628743773,0.156212961
2023-05-18,1,0.03,0.06,0.016,0.032,-0.03,-0.015999794,17.98999977,-0.006398108,0.008362208,0.015911481,0.005250554,0.003115264,0.005797086,52.06589841,-0.10510856,0.037511682,0.061173488,-0.102318618,36099119311,57824376465,39718012319,1.64E+11,564411579,-0.113773778
2023-05-19,1,0.08,0.14,0.048,0.042,-0.06,0.006000044,16.87000084,0.011820689,0.015835488,0.011027614,-0.006187042,0.006781044,0.008279386,59.98688769,0.011000094,0.069838187,1.726861905,0.014799487,17219251298,10270990698,-84102266428,5.38E+11,572764581,0.074701385
2023-05-22,1,0.05,0.04,0.052,0.024,0.01,0.027999876,16.04999924,0.009400723,0.00763807,0.004525862,0.000442106,-0.003675455,0.008861841,62.76297897,-0.03206924,0.059417855,3.14384472,-0.004656601,16815142051,-1.16E+11,6.57E+11,5.58E+11,570097445,0.167647146
2023-05-23,1,0.02,0,-0.021,-0.019,0.02,-0.002000096,16.80999947,-0.001446914,0.008998201,0.000369005,-0.007920483,0,0.007572374,65.6013143,0.009601465,0.028002584,3.970887916,0.041260532,-8779370836,17149190029,5.17E+11,2.99E+11,593619969,-0.113850561
2023-05-24,0,-0.02,0.01,0.075,0.052,-0.03,0.02300024,17.20999908,0.000155023,-0.004159943,0.000441202,-0.007869524,0.002806146,0.004086143,63.02829046,-0.008363439,-0.024764705,3.870008747,-0.029605827,-16820874351,45130308340,3.54E+11,-53533549246,576045359,-0.098482075
2023-05-25,0,0.03,0.05,0.029,0.005,-0.02,0.02399993,18.53000069,-0.011285469,-0.008925687,-0.001775105,0.004563989,0.003857672,-3.90E-05,73.13482867,-0.030211823,-0.051621779,2.90367337,0.861728423,-32629028741,39268859617,-1.39E+11,93525128152,1072440018,0.059991911
2023-05-26,1,0.1,0.17,0.095,0.102,-0.07,-0.007000205,20.03000069,-0.007345513,0.00385309,0.008177198,-0.001000581,0.003075444,-0.004982307,67.3330856,0.024236744,-0.145914506,1.10357518,-0.144424424,-12419225686,-83975340772,-4.85E+11,2.24E+11,917553486,0.175972329
